ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1951,1951-09-30,1,23.262,GNB,,CHI,L 20-31,3,44,14.67,0,1,24,24.00,0
2,1951,1951-10-07,2,23.269,GNB,,PIT,W 35-33,1,20,20.00,1,0,0,,0
3,1951,1951-10-14,3,23.276,GNB,,PHI,W 37-24,2,40,20.00,0,0,0,,0
4,1951,1951-10-21,4,23.283,GNB,,RAM,L 0-28,6,35,5.83,0,0,0,,0
5,1951,1951-10-28,5,23.290,GNB,@,NYY,W 29-27,5,56,11.20,1,0,0,,0
6,1951,1951-11-04,6,23.297,GNB,,DET,L 17-24,1,22,22.00,0,0,0,,0
7,1951,1951-11-11,7,23.304,GNB,@,PIT,L 7-28,1,-4,-4.00,0,1,19,19.00,0
8,1951,1951-11-18,8,23.311,GNB,@,CHI,L 13-24,4,31,7.75,0,0,0,,0
9,1951,1951-11-22,9,23.315,GNB,@,DET,L 35-52,4,95,23.75,1,0,0,,0
10,1951,1951-12-02,10,23.325,GNB,,NYY,L 28-31,7,90,12.86,1,0,0,,0
11,1951,1951-12-09,11,23.332,GNB,@,SFO,L 19-31,3,9,3.00,1,0,0,,0
12,1951,1951-12-16,12,23.339,GNB,@,RAM,L 14-42,1,24,24.00,0,1,1,1.00,0
13,1952,1952-09-28,1,24.261,GNB,,CHI,L 14-24,1,10,10.00,0,0,0,,0
14,1952,1952-10-19,4,24.282,CRD,@,NYG,W 24-23,1,11,11.00,0,0,0,,0
15,1952,1952-11-16,8,24.310,DTX,@,DET,L 13-43,4,76,19.00,1,0,0,,0
16,1952,1952-11-23,9,24.317,DTX,@,GNB,L 14-42,4,54,13.50,0,0,0,,0
17,1952,1952-11-27,10,24.321,DTX,,CHI,W 27-23,5,67,13.40,0,0,0,,0
18,1952,1952-12-07,11,24.331,DTX,@,PHI,L 21-38,2,22,11.00,0,0,0,,0
19,1952,1952-12-13,12,24.337,DTX,@,DET,L 6-41,3,24,8.00,1,0,0,,0
20,1953,1953-09-27,1,25.259,NYG,@,RAM,L 7-21,3,37,12.33,1,0,0,,0
21,1953,1953-10-03,2,25.265,NYG,@,PIT,L 14-24,1,9,9.00,0,0,0,,0
22,1953,1953-10-11,3,25.273,NYG,@,WAS,L 9-13,2,12,6.00,0,0,0,,0
23,1953,1953-10-18,4,25.280,NYG,,CRD,W 21-7,2,68,34.00,1,0,0,,0
24,1953,1953-10-25,5,25.287,NYG,,CLE,L 0-7,2,37,18.50,0,0,0,,0
25,1953,1953-11-15,8,25.308,NYG,,PIT,L 10-14,2,31,15.50,0,0,0,,0
26,1953,1953-11-29,10,25.322,NYG,,PHI,W 37-28,1,21,21.00,0,0,0,,0
27,1953,1953-12-06,11,25.329,NYG,@,CLE,L 14-62,1,2,2.00,0,0,0,,0
28,1953,1953-12-13,12,25.336,NYG,,DET,L 16-27,3,16,5.33,1,0,0,,0
