ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,26.353,WAS,,NOR,W 41-3,,,,,,,
2,1975,1975-09-28,2,26.360,WAS,,NYG,W 49-13,,,,,,,
3,1975,1975-10-05,3,27.002,WAS,@,PHI,L 10-26,,,,,,,
4,1975,1975-10-13,4,27.010,WAS,,STL,W 27-17,,,,,,,
5,1975,1975-10-19,5,27.016,WAS,@,HOU,L 10-13,,,,,,,
6,1975,1975-10-26,6,27.023,WAS,@,CLE,W 23-7,,,,,,,
7,1975,1975-11-02,7,27.030,WAS,,DAL,W 30-24,,,,,,,
8,1975,1975-11-16,9,27.044,WAS,@,STL,L 17-20,,,,,,,
9,1975,1975-11-23,10,27.051,WAS,,OAK,L 23-26,,,,,,,
10,1975,1975-11-30,11,27.058,WAS,,MIN,W 31-30,,,,,,,
11,1975,1975-12-07,12,27.065,WAS,@,ATL,W 30-27,,,,,,,
12,1975,1975-12-13,13,27.071,WAS,@,DAL,L 10-31,,,,,,,
13,1975,1975-12-21,14,27.079,WAS,,PHI,L 3-26,,,,,,,
14,1976,1976-09-12,1,27.345,WAS,,NYG,W 19-17,,,,,,,
15,1976,1976-09-19,2,27.352,WAS,,SEA,W 31-7,,,,,,,
16,1976,1976-09-27,3,27.360,WAS,@,PHI,W 20-17,,,,,,,
17,1976,1976-10-03,4,28.000,WAS,@,CHI,L 7-33,1,0,0.00,0,0,0,0
18,1976,1976-10-10,5,28.007,WAS,,KAN,L 30-33,,,,,,,
19,1976,1976-10-17,6,28.014,WAS,,DET,W 20-7,,,,,,,
20,1976,1976-10-25,7,28.022,WAS,,STL,W 20-10,,,,,,,
21,1976,1976-10-31,8,28.028,WAS,,DAL,L 7-20,,,,,,,
22,1976,1976-11-07,9,28.035,WAS,@,SFO,W 24-21,,,,,,,
23,1976,1976-11-14,10,28.042,WAS,@,NYG,L 9-12,,,,,,,
24,1976,1976-11-21,11,28.049,WAS,@,STL,W 16-10,,,,,,,
25,1976,1976-11-28,12,28.056,WAS,,PHI,W 24-0,,,,,,,
26,1976,1976-12-05,13,28.063,WAS,@,NYJ,W 37-16,,,,,,,
27,1976,1976-12-12,14,28.070,WAS,@,DAL,W 27-14,,,,,,,
28,1977,1977-09-18,1,28.350,WAS,@,NYG,L 17-20,,,,,,,
29,1977,1977-09-25,2,28.357,WAS,,ATL,W 10-6,,,,,,,
30,1977,1977-10-02,3,28.364,WAS,,STL,W 24-14,,,,,,,
31,1977,1977-10-09,4,29.006,WAS,@,TAM,W 10-0,,,,,,,
32,1977,1977-10-16,5,29.013,WAS,@,DAL,L 16-34,,,,,,,
33,1977,1977-10-23,6,29.020,WAS,,NYG,L 6-17,,,,,,,
34,1977,1977-10-30,7,29.027,WAS,,PHI,W 23-17,,,,,,,
35,1977,1977-11-13,9,29.041,WAS,@,PHI,W 17-14,,,,,,,
36,1977,1977-11-21,10,29.049,WAS,,GNB,W 10-9,,,,,,,
37,1977,1977-11-27,11,29.055,WAS,,DAL,L 7-14,,,,,,,
