ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1993,1993-09-05,1,22.065,NWE,@,BUF,L 14-38,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,29,29.00,0,2,14,7.00,0,0,0,0,0,0
2,1993,1993-09-12,2,22.072,NWE,,DET,L 16-19,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,4,80,20.00,0,2,27,13.50,0,0,0,0,0,0
3,1993,1993-09-19,3,22.079,NWE,,SEA,L 14-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,16,16.00,0,1,0,0.00,0,0,0,0,0,0
4,1993,1993-09-26,4,22.086,NWE,@,NYJ,L 7-45,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,2,20,10.00,0,1,10,10.00,0,0,0,0,0,0
5,1993,1993-10-10,5,22.100,NWE,@,PHO,W 23-21,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,32,8.00,0,0,0,0,0,0
6,1993,1993-10-17,6,22.107,NWE,,HOU,L 14-28,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,,,,,,3,26,8.67,0,2,13,6.50,0,0,0,0,0,0
7,1993,1993-10-24,7,22.114,NWE,@,SEA,L 9-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,1,15,15.00,0,5,54,10.80,0,0,0,0,0,0
8,1993,1993-10-31,8,22.121,NWE,@,IND,L 6-9,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,20,20.00,0,0,0,,0,0,0,0,0,0
9,1993,1993-11-07,9,22.128,NWE,,BUF,L 10-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,1,27,27.00,0,3,38,12.67,0,0,0,0,0,0
10,1993,1993-11-21,10,22.142,NWE,@,MIA,L 13-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,1,10,10.00,0,3,21,7.00,0,0,0,0,0,0
