ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2015,2015-12-27,15,23.022,SEA,,STL,L 17-23,,0,0,0,,0,0.0%,,0,0,,0
2,2015,2016-01-03,16,23.029,SEA,@,ARI,W 36-6,,1,1,8,8.00,0,100.0%,8.00,1,5,5.00,0
3,2016,2017-01-01,16,24.027,SEA,@,SFO,W 25-23,,1,0,0,,0,0.0%,0.00,0,0,,0
4,2017,2017-09-10,1,24.279,CLE,,PIT,L 18-21,,2,0,0,,0,0.0%,0.00,0,0,,0
5,2017,2017-09-24,3,24.293,CLE,@,IND,L 28-31,,2,1,10,10.00,0,50.0%,5.00,0,0,,0
6,2017,2017-10-01,4,24.300,CLE,,CIN,L 7-31,,2,0,0,,0,0.0%,0.00,0,0,,0
7,2017,2017-10-08,5,24.307,CLE,,NYJ,L 14-17,*,5,4,33,8.25,0,80.0%,6.60,0,0,,0
8,2017,2017-10-15,6,24.314,CLE,@,HOU,L 17-33,*,6,4,41,10.25,0,66.7%,6.83,0,0,,0
9,2017,2017-10-22,7,24.321,CLE,,TEN,L 9-12,,1,0,0,,0,0.0%,0.00,0,0,,0
10,2017,2017-10-29,8,24.328,CLE,,MIN,L 16-33,,0,0,0,,0,0.0%,,0,0,,0
