ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-20,2,23.300,NOR,@,SFO,W 25-22,,,,,,,0.0%,,,,,,,,,,,
2,2010,2010-09-26,3,23.306,NOR,,ATL,L 24-27,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,1,0
3,2010,2010-10-03,4,23.313,NOR,,CAR,W 16-14,,0,0,0,,0,0.0%,,1,3,3.00,0,,0,0,0.0,0,0
4,2010,2010-10-10,5,23.320,NOR,@,ARI,L 20-30,*,,,,,,0.0%,,,,,,,,,,,
5,2010,2010-10-17,6,23.327,NOR,@,TAM,W 31-6,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,0,0
6,2010,2010-10-24,7,23.334,NOR,,CLE,L 17-30,,4,4,38,9.50,0,100.0%,9.50,0,0,,0,,0,0,0.0,0,0
7,2010,2010-10-31,8,23.341,NOR,,PIT,W 20-10,,,,,,,0.0%,,,,,,,,,,,
8,2010,2010-11-07,9,23.348,NOR,@,CAR,W 34-3,*,4,3,49,16.33,1,75.0%,12.25,0,0,,0,,1,6,0.0,0,0
9,2010,2010-11-21,10,23.362,NOR,,SEA,W 34-19,,8,5,72,14.40,0,62.5%,9.00,0,0,,0,,0,0,0.0,0,0
10,2010,2010-11-25,11,24.001,NOR,@,DAL,W 30-27,*,7,3,23,7.67,0,42.9%,3.29,0,0,,0,,0,0,0.0,0,0
11,2010,2010-12-05,12,24.011,NOR,@,CIN,W 34-30,,3,3,72,24.00,0,100.0%,24.00,0,0,,0,,0,0,0.0,0,0
12,2010,2010-12-12,13,24.018,NOR,,STL,W 31-13,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,0,0,0.0,0,0
13,2010,2010-12-19,14,24.025,NOR,@,BAL,L 24-30,,7,5,29,5.80,2,71.4%,4.14,0,0,,0,,2,12,0.0,0,0
14,2010,2010-12-27,15,24.033,NOR,@,ATL,W 17-14,*,5,4,26,6.50,1,80.0%,5.20,0,0,,0,,1,6,0.0,0,0
15,2010,2011-01-02,16,24.039,NOR,,TAM,L 13-23,*,2,2,15,7.50,1,100.0%,7.50,0,0,,0,,1,6,0.0,0,0
16,2011,2011-09-08,1,24.288,NOR,@,GNB,L 34-42,*,7,4,56,14.00,1,57.1%,8.00,0,0,,0,,1,6,0.0,0,0
17,2011,2011-09-18,2,24.298,NOR,,CHI,W 30-13,*,7,6,79,13.17,0,85.7%,11.29,0,0,,0,,0,0,0.0,0,0
18,2011,2011-09-25,3,24.305,NOR,,HOU,W 40-33,*,8,4,100,25.00,1,50.0%,12.50,0,0,,0,,1,6,0.0,0,0
19,2011,2011-10-02,4,24.312,NOR,@,JAX,W 23-10,*,14,10,132,13.20,1,71.4%,9.43,0,0,,0,,1,6,0.0,0,0
