ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1992,1992-10-11,6,22.142,NOR,,RAM,W 13-10,,0,0,,0,0.0%,,0,0,,0,3,34,11.33,0,0,0
2,1992,1992-10-18,7,22.149,NOR,@,PHO,W 30-21,1,1,6,6.00,0,100.0%,6.00,0,0,,0,4,-6,-1.50,0,0,0
3,1992,1992-11-01,8,22.163,NOR,,TAM,W 23-21,,0,0,,0,0.0%,,0,0,,0,3,9,3.00,0,0,0
4,1992,1992-11-08,9,22.170,NOR,@,NWE,W 31-14,,0,0,,0,0.0%,,0,0,,0,2,0,0.00,0,0,0
5,1993,1993-09-05,1,23.106,NOR,,HOU,W 33-21,,0,0,,0,0.0%,,0,0,,0,,,,,,
6,1993,1993-09-12,2,23.113,NOR,@,ATL,W 34-31,3,3,18,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0
7,1993,1993-09-19,3,23.120,NOR,,DET,W 14-3,,0,0,,0,0.0%,,0,0,,0,,,,,,
8,1993,1993-09-26,4,23.127,NOR,,SFO,W 16-13,,0,0,,0,0.0%,,0,0,,0,,,,,,
9,1993,1993-10-03,5,23.134,NOR,@,RAM,W 37-6,,0,0,,0,0.0%,,0,0,,0,,,,,,
10,1993,1993-10-24,7,23.155,NOR,,ATL,L 15-26,1,,,,,0.0%,,0,52,,0,,,,,,
11,1993,1993-10-31,8,23.162,NOR,@,PHO,W 20-17,,0,0,,0,0.0%,,0,0,,0,,,,,,
12,1993,1993-11-14,9,23.176,NOR,,GNB,L 17-19,4,3,28,9.33,1,75.0%,7.00,0,0,,0,0,0,,0,1,6
13,1993,1993-11-22,10,23.184,NOR,@,SFO,L 7-42,2,0,0,,0,0.0%,0.00,0,0,,0,,,,,,
14,1995,1995-09-10,2,25.111,ARI,,PHI,L 19-31,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0
15,1995,1995-09-17,3,25.118,ARI,@,DET,W 20-17,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0
16,1995,1995-09-24,4,25.125,ARI,@,DAL,L 20-34,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0
17,1995,1995-10-01,5,25.132,ARI,,KAN,L 3-24,6,4,42,10.50,0,66.7%,7.00,0,0,,0,1,0,0.00,0,0,0
18,1995,1995-10-15,7,25.146,ARI,,WAS,W 24-20,,,,,,0.0%,,,,,,,,,,,
19,1995,1995-10-29,8,25.160,ARI,,SEA,W 20-14,0,0,0,,0,0.0%,,2,42,21.00,0,0,0,,0,0,0
20,1995,1995-11-05,9,25.167,ARI,@,DEN,L 6-38,0,0,0,,0,0.0%,,6,109,18.17,0,0,0,,0,0,0
21,1995,1995-11-12,10,25.174,ARI,,MIN,L 24-30,1,1,9,9.00,0,100.0%,9.00,2,40,20.00,0,0,0,,0,0,0
22,1995,1995-11-19,11,25.181,ARI,@,CAR,L 7-27,0,0,0,,0,0.0%,,5,90,18.00,0,0,0,,0,0,0
23,1995,1995-11-26,12,25.188,ARI,,ATL,W 40-37,0,0,0,,0,0.0%,,1,20,20.00,0,0,0,,0,0,0
24,1995,1995-11-30,13,25.192,ARI,,NYG,L 6-10,1,1,5,5.00,0,100.0%,5.00,1,19,19.00,0,0,0,,0,0,0
25,1995,1995-12-17,15,25.209,ARI,@,PHI,L 20-21,,,,,,0.0%,,,,,,,,,,,
26,1995,1995-12-25,16,25.217,ARI,,DAL,L 13-37,0,0,0,,0,0.0%,,1,24,24.00,0,0,0,,0,0,0
27,1996,1996-09-01,1,26.102,ARI,@,IND,L 13-20,1,1,11,11.00,0,100.0%,11.00,0,0,,0,1,9,9.00,0,0,0
28,1996,1996-09-08,2,26.109,ARI,,MIA,L 10-38,2,1,9,9.00,0,50.0%,4.50,0,0,,0,2,14,7.00,0,0,0
29,1996,1996-09-15,3,26.116,ARI,@,NWE,L 0-31,3,0,0,,0,0.0%,0.00,0,0,,0,2,27,13.50,0,0,0
30,1996,1996-09-22,4,26.123,ARI,@,NOR,W 28-14,3,2,28,14.00,0,66.7%,9.33,0,0,,0,3,44,14.67,0,0,0
31,1996,1996-09-29,5,26.130,ARI,,STL,W 31-28,3,2,20,10.00,0,66.7%,6.67,0,0,,0,3,24,8.00,0,0,0
32,1996,1996-10-13,6,26.144,ARI,@,DAL,L 3-17,1,0,0,,0,0.0%,0.00,0,0,,0,3,18,6.00,0,0,0
33,1996,1996-10-20,7,26.151,ARI,,TAM,W 13-9,2,2,13,6.50,0,100.0%,6.50,0,0,,0,1,12,12.00,0,0,0
34,1996,1996-10-27,8,26.158,ARI,,NYJ,L 21-31,2,1,11,11.00,0,50.0%,5.50,0,0,,0,2,6,3.00,0,0,0
35,1996,1996-11-03,9,26.165,ARI,@,NYG,L 8-16,7,3,41,13.67,0,42.9%,5.86,1,14,14.00,0,5,75,15.00,0,0,0
36,1996,1996-11-10,10,26.172,ARI,@,WAS,W 37-34,7,3,92,30.67,1,42.9%,13.14,1,26,26.00,0,3,24,8.00,0,1,6
37,1996,1996-11-17,11,26.179,ARI,,NYG,W 31-23,5,2,25,12.50,0,40.0%,5.00,0,0,,0,4,30,7.50,0,0,0
38,1996,1996-11-24,12,26.186,ARI,,PHI,W 36-30,3,2,42,21.00,1,66.7%,14.00,2,60,30.00,0,2,9,4.50,0,1,6
