ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1995,1995-09-17,3,22.284,ARI,@,DET,W 20-17,,,,,,,,
2,1995,1995-09-24,4,22.291,ARI,@,DAL,L 20-34,,,,,,,,
3,1995,1995-10-01,5,22.298,ARI,,KAN,L 3-24,,,,,,,,
4,1995,1995-10-08,6,22.305,ARI,@,NYG,L 21-27,,,,,,,,
5,1995,1995-10-15,7,22.312,ARI,,WAS,W 24-20,,,,,,,,
6,1995,1995-10-29,8,22.326,ARI,,SEA,W 20-14,,0,0,,0,1,4,0
7,1995,1995-11-05,9,22.333,ARI,@,DEN,L 6-38,,,,,,,,
8,1995,1995-11-12,10,22.340,ARI,,MIN,L 24-30,,,,,,,,
9,1995,1995-11-19,11,22.347,ARI,@,CAR,L 7-27,,,,,,,,
10,1995,1995-11-26,12,22.354,ARI,,ATL,W 40-37,,,,,,,,
11,1995,1995-11-30,13,22.358,ARI,,NYG,L 6-10,,,,,,,,
12,1995,1995-12-09,14,23.002,ARI,@,SDG,L 25-28,,,,,,,,
13,1995,1995-12-17,15,23.010,ARI,@,PHI,L 20-21,,,,,,,,
14,1995,1995-12-25,16,23.018,ARI,,DAL,L 13-37,,,,,,,,
15,1996,1996-09-01,1,23.269,ARI,@,IND,L 13-20,,,,,,,,
16,1996,1996-09-08,2,23.276,ARI,,MIA,L 10-38,,,,,,,,
17,1996,1996-09-15,3,23.283,ARI,@,NWE,L 0-31,,,,,,,,
18,1996,1996-09-22,4,23.290,ARI,@,NOR,W 28-14,,,,,,,,
19,1996,1996-09-29,5,23.297,ARI,,STL,W 31-28,,,,,,,,
20,1996,1996-10-13,6,23.311,ARI,@,DAL,L 3-17,,,,,,,,
21,1996,1996-10-20,7,23.318,ARI,,TAM,W 13-9,,,,,,,,
22,1996,1996-10-27,8,23.325,ARI,,NYJ,L 21-31,,,,,,,,
23,1996,1996-11-03,9,23.332,ARI,@,NYG,L 8-16,,,,,,,,
24,1996,1996-11-10,10,23.339,ARI,@,WAS,W 37-34,,,,,,,,
25,1996,1996-11-17,11,23.346,ARI,,NYG,W 31-23,,,,,,,,
26,1996,1996-11-24,12,23.353,ARI,,PHI,W 36-30,,,,,,,,
27,1996,1996-12-01,13,23.360,ARI,@,MIN,L 17-41,,,,,,,,
28,1996,1996-12-08,14,24.001,ARI,,DAL,L 6-10,,,,,,,,
29,1996,1996-12-15,15,24.008,ARI,,WAS,W 27-26,,,,,,,,
30,1996,1996-12-22,16,24.015,ARI,@,PHI,L 19-29,,,,,,,,
31,1997,1997-08-31,1,24.267,ARI,@,CIN,L 21-24,,,,,,,,
32,1997,1997-09-21,3,24.288,CIN,@,DEN,L 20-38,,,,,,,,
33,1997,1997-09-28,4,24.295,CIN,,NYJ,L 14-31,,,,,,,,
34,1997,1997-10-05,5,24.302,CIN,@,JAX,L 13-21,,,,,,,,
35,1997,1997-10-12,6,24.309,CIN,@,TEN,L 7-30,,,,,,,,
36,1997,1997-10-19,7,24.316,CIN,,PIT,L 10-26,,,,,,,,
37,1997,1997-10-26,8,24.323,CIN,@,NYG,L 27-29,,,,,,,,
38,1997,1997-11-02,9,24.330,CIN,,SDG,W 38-31,,,,,,,,
39,1997,1997-11-09,10,24.337,CIN,@,IND,W 28-13,,,,,,,,
40,1997,1997-11-16,11,24.344,CIN,@,PIT,L 3-20,,,,,,,,
41,1997,1997-11-23,12,24.351,CIN,,JAX,W 31-26,,,,,,,,
42,1997,1997-11-30,13,24.358,CIN,@,PHI,L 42-44,,,,,,,,
43,1997,1997-12-04,14,24.362,CIN,,TEN,W 41-14,,,,,,,,
44,1997,1997-12-14,15,25.007,CIN,,DAL,W 31-24,,,,,,,,
45,1997,1997-12-21,16,25.014,MIN,,IND,W 39-28,,,,,,,,
46,1998,1998-09-07,1,25.274,DEN,,NWE,W 27-21,,,,,,,,
47,1998,1998-09-13,2,25.280,DEN,,DAL,W 42-23,,,,,,,,
48,1998,1998-09-20,3,25.287,DEN,@,OAK,W 34-17,,,,,,,,
49,1998,1998-09-27,4,25.294,DEN,@,WAS,W 38-16,,,,,,,,
50,1998,1998-10-04,5,25.301,DEN,,PHI,W 41-16,,,,,,,,
51,1998,1998-10-11,6,25.308,DEN,@,SEA,W 21-16,,,,,,,,
52,1998,1998-10-25,7,25.322,DEN,,JAX,W 37-24,,,,,,,,
53,1998,1998-11-01,8,25.329,DEN,@,CIN,W 33-26,,,,,,,,
54,1998,1998-11-08,9,25.336,DEN,,SDG,W 27-10,,1,0,0.00,0,0,0,0
55,1998,1998-11-16,10,25.344,DEN,@,KAN,W 30-7,,,,,,,,
56,1998,1998-11-22,11,25.350,DEN,,OAK,W 40-14,,,,,,,,
57,1998,1998-11-29,12,25.357,DEN,@,SDG,W 31-16,,,,,,,,
58,1998,1998-12-06,13,25.364,DEN,,KAN,W 35-31,,,,,,,,
59,1998,1998-12-13,14,26.006,DEN,@,NYG,L 16-20,,,,,,,,
60,1998,1998-12-21,15,26.014,DEN,@,MIA,L 21-31,,,,,,,,
61,1998,1998-12-27,16,26.020,DEN,,SEA,W 28-21,,,,,,,,
62,1999,1999-10-03,4,26.300,WAS,,CAR,W 38-36,,,,,,,,
63,1999,1999-10-17,5,26.314,WAS,@,ARI,W 24-10,,,,,,,,
64,1999,1999-10-24,6,26.321,WAS,@,DAL,L 20-38,,,,,,,,
65,1999,1999-10-31,7,26.328,WAS,,CHI,W 48-22,,,,,,,,
66,1999,1999-11-07,8,26.335,WAS,,BUF,L 17-34,,,,,,,,
67,1999,1999-11-14,9,26.342,WAS,@,PHI,L 28-35,,,,,,,,
