ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1986,1986-12-13,15,23.082,WAS,@,DEN,L 30-31,0,0,,0,4,49,12.25,0
2,1986,1986-12-21,16,23.090,WAS,@,PHI,W 21-14,0,0,,0,5,94,18.80,0
3,1987,1987-09-13,1,23.356,WAS,,PHI,W 34-24,0,0,,0,4,18,4.50,0
4,1987,1987-09-20,2,23.363,WAS,@,ATL,L 20-21,1,5,5.00,0,4,61,15.25,0
5,1987,1987-10-25,6,24.033,WAS,,NYJ,W 17-16,0,0,,0,7,16,2.29,0
6,1987,1987-11-01,7,24.040,WAS,@,BUF,W 27-7,0,0,,0,2,25,12.50,0
7,1987,1987-11-08,8,24.047,WAS,@,PHI,L 27-31,0,0,,0,4,21,5.25,0
8,1987,1987-11-15,9,24.054,WAS,,DET,W 20-13,0,0,,0,1,3,3.00,0
9,1987,1987-11-23,10,24.062,WAS,,RAM,L 26-30,0,0,,0,4,26,6.50,0
10,1987,1987-11-29,11,24.068,WAS,,NYG,W 23-19,0,0,,0,3,46,15.33,0
11,1987,1987-12-06,12,24.075,WAS,@,STL,W 34-17,0,0,,0,4,36,9.00,0
12,1987,1987-12-13,13,24.082,WAS,,DAL,W 24-20,0,0,,0,2,16,8.00,0
13,1987,1987-12-20,14,24.089,WAS,@,MIA,L 21-23,0,0,,0,2,5,2.50,0
14,1987,1987-12-26,15,24.095,WAS,@,MIN,W 27-24,0,0,,0,0,0,,0
