ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1984,1984-09-02,1,23.343,WAS,,MIA,L 17-35,0,0,,0,2,38,19.00,0
2,1984,1984-09-30,5,24.005,RAI,@,DEN,L 13-16,,,,,,,,
3,1984,1984-10-07,6,24.012,RAI,,SEA,W 28-14,,,,,,,,
4,1984,1984-10-14,7,24.019,RAI,,MIN,W 23-20,,,,,,,,
5,1984,1984-10-21,8,24.026,RAI,@,SDG,W 44-37,,,,,,,,
6,1984,1984-10-28,9,24.033,RAI,,DEN,L 19-22,,,,,,,,
7,1984,1984-11-04,10,24.040,RAI,@,CHI,L 6-17,,,,,,,,
8,1984,1984-11-12,11,24.048,RAI,@,SEA,L 14-17,,,,,,,,
9,1987,1987-10-04,3,27.009,MIN,,GNB,L 16-23,7,13,1.86,0,2,42,21.00,0
