ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1983,1983-09-04,1,22.022,RAM,@,NYG,W 16-6,0,0,,0,0,0,,0,,,,,,,,,,,,0,
2,1983,1983-09-11,2,22.029,RAM,,NOR,W 30-27,2,68,34.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
3,1983,1983-09-18,3,22.036,RAM,@,GNB,L 24-27,6,93,15.50,1,1,1,1.00,0,0,0,,0,0,0,,,,,,1,6
4,1983,1983-09-25,4,22.043,RAM,@,NYJ,L 24-27,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
5,1983,1983-10-02,5,22.050,RAM,,DET,W 21-10,0,0,,0,0,0,,0,,,,,,,,,,,,0,
6,1983,1983-10-09,6,22.057,RAM,@,SFO,W 10-7,0,0,,0,0,0,,0,,,,,,,,,,,,0,
7,1983,1983-10-16,7,22.064,RAM,,ATL,W 27-21,2,38,19.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
8,1983,1983-10-23,8,22.071,RAM,,SFO,L 35-45,0,0,,0,1,-11,-11.00,0,0,0,,0,0,0,,,,,,0,0
9,1983,1983-10-30,9,22.078,RAM,@,MIA,L 14-30,0,0,,0,0,0,,0,,,,,,,,,,,,0,
10,1983,1983-11-06,10,22.085,RAM,,CHI,W 21-14,0,0,,0,0,0,,0,,,,,,,,,,,,0,
11,1983,1983-11-14,11,22.093,RAM,@,ATL,W 36-13,0,0,,0,0,0,,0,,,,,,,,,,,,0,
12,1983,1983-11-20,12,22.099,RAM,,WAS,L 20-42,0,0,,0,0,0,,0,,,,,,,,,,,,0,
13,1983,1983-11-27,13,22.106,RAM,,BUF,W 41-17,0,0,,0,0,0,,0,,,,,,,,,,,,0,
14,1983,1983-12-04,14,22.113,RAM,@,PHI,L 9-13,0,0,,0,0,0,,0,,,,,,,,,,,,0,
15,1983,1983-12-11,15,22.120,RAM,,NWE,L 7-21,0,0,,0,0,0,,0,,,,,,,,,,,,0,
16,1983,1983-12-18,16,22.127,RAM,@,NOR,W 26-24,0,0,,0,0,0,,0,,,,,,,,,,,,0,
17,1984,1984-09-03,1,23.021,RAM,,DAL,L 13-20,2,24,12.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
18,1984,1984-09-09,2,23.027,RAM,,CLE,W 20-17,0,0,,0,,,,,,,,,,,,,,,,,
19,1984,1984-09-16,3,23.034,RAM,@,PIT,L 14-24,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
20,1984,1984-09-23,4,23.041,RAM,@,CIN,W 24-14,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
21,1984,1984-09-30,5,23.048,RAM,,NYG,W 33-12,0,0,,0,,,,,,,,,,,,,,,,,
22,1984,1984-10-07,6,23.055,RAM,,ATL,L 28-30,0,0,,0,,,,,,,,,,,,,,,,,
23,1984,1984-10-14,7,23.062,RAM,@,NOR,W 28-10,0,0,,0,,,,,,,,,,,,,,,,,
24,1984,1984-10-22,8,23.070,RAM,@,ATL,W 24-10,4,18,4.50,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
25,1984,1984-10-28,9,23.076,RAM,,SFO,L 0-33,0,0,,0,,,,,,,,,,,,,,,,,
26,1984,1984-11-04,10,23.083,RAM,@,STL,W 16-13,0,0,,0,,,,,,,,,,,,,,,,,
27,1984,1984-11-11,11,23.090,RAM,,CHI,W 29-13,0,0,,0,,,,,,,,,,,,,,,,,
28,1984,1984-11-18,12,23.097,RAM,@,GNB,L 6-31,0,0,,0,,,,,,,,,,,,,,,,,
29,1984,1984-11-25,13,23.104,RAM,@,TAM,W 34-33,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
30,1984,1984-12-02,14,23.111,RAM,,NOR,W 34-21,0,0,,0,,,,,,,,,,,,,,,,,
31,1987,1987-10-04,3,26.052,PHI,,CHI,L 3-35,4,48,12.00,0,1,20,20.00,0,0,0,,0,0,0,,0,,,,0,0
32,1987,1987-10-11,4,26.059,PHI,@,DAL,L 22-41,5,97,19.40,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0
33,1987,1987-10-18,5,26.066,PHI,@,GNB,L 10-16,7,135,19.29,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
