ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1983,1983-09-04,1,22.153,PIT,,DEN,L 10-14,,,,,,,,,,
2,1983,1983-09-11,2,22.160,PIT,@,GNB,W 25-21,,,,,,,,,,
3,1983,1983-09-18,3,22.167,PIT,@,HOU,W 40-28,,,,,,,,,,
4,1983,1983-09-25,4,22.174,PIT,,NWE,L 23-28,,,,,,,,,,
5,1983,1983-10-02,5,22.181,PIT,,HOU,W 17-10,,,,,,,,,,
6,1983,1983-10-10,6,22.189,PIT,@,CIN,W 24-14,0,0,,0,1,6,1.0,1,70,1
7,1983,1983-10-16,7,22.195,PIT,,CLE,W 44-17,,,,,,,,,,
8,1983,1983-10-23,8,22.202,PIT,@,SEA,W 27-21,,,,,,,,,,
9,1983,1983-11-06,10,22.216,PIT,,SDG,W 26-3,,,,,,,,,,
10,1983,1983-11-20,12,22.230,PIT,,MIN,L 14-17,,,,,,,,,,
11,1983,1983-11-24,13,22.234,PIT,@,DET,L 3-45,0,0,,0,0,0,1.0,0,0,0
12,1983,1983-12-04,14,22.244,PIT,,CIN,L 10-23,,,,,,,,,,
13,1983,1983-12-10,15,22.250,PIT,@,NYJ,W 34-7,,,,,,,,,,
14,1983,1983-12-18,16,22.258,PIT,@,CLE,L 17-30,,,,,,,,,,
15,1984,1984-09-02,1,23.151,PIT,,KAN,L 27-37,0,0,,0,,,,,,
16,1984,1984-09-06,2,23.155,PIT,@,NYJ,W 23-17,0,0,,0,,,,,,
17,1984,1984-09-16,3,23.165,PIT,,RAM,W 24-14,0,0,,0,,,,,,
18,1984,1984-09-23,4,23.172,PIT,@,CLE,L 10-20,0,0,,0,,,,,,
19,1984,1984-10-01,5,23.180,PIT,,CIN,W 38-17,0,0,,0,,,,,,
20,1984,1984-10-07,6,23.186,PIT,,MIA,L 7-31,0,0,,0,,,,,,
21,1984,1984-10-28,9,23.207,PIT,,ATL,W 35-10,0,0,,0,,,,,,
22,1984,1984-11-04,10,23.214,PIT,,HOU,W 35-7,0,0,,0,,,,,,
23,1984,1984-11-11,11,23.221,PIT,@,CIN,L 20-22,0,0,,0,0,0,1.0,0,0,0
24,1984,1984-11-19,12,23.229,PIT,@,NOR,L 24-27,0,0,,0,,,,,,
25,1984,1984-11-25,13,23.235,PIT,,SDG,W 52-24,0,0,,0,,,,,,
26,1984,1984-12-02,14,23.242,PIT,@,HOU,L 20-23,0,0,,0,0,0,0.0,1,0,0
27,1984,1984-12-09,15,23.249,PIT,,CLE,W 23-20,0,0,,0,,,,,,
28,1984,1984-12-16,16,23.256,PIT,@,RAI,W 13-7,1,0,0.00,0,0,0,0.0,0,0,0
29,1985,1985-09-08,1,24.157,PIT,,IND,W 45-3,,,,,,,,,,
30,1985,1985-09-16,2,24.165,PIT,@,CLE,L 7-17,,,,,,,,,,
31,1985,1985-09-22,3,24.171,PIT,,HOU,W 20-0,,,,,,,,,,
32,1985,1985-09-30,4,24.179,PIT,,CIN,L 24-37,,,,,,,,,,
33,1985,1985-10-06,5,24.185,PIT,@,MIA,L 20-24,,,,,,,,,,
34,1985,1985-10-13,6,24.192,PIT,@,DAL,L 13-27,,,,,,,,,,
35,1985,1985-10-20,7,24.199,PIT,,STL,W 23-10,,,,,,,,,,
36,1985,1985-10-27,8,24.206,PIT,@,CIN,L 21-26,,,,,,,,,,
37,1985,1985-11-03,9,24.213,PIT,,CLE,W 10-9,,,,,,,,,,
38,1985,1985-11-10,10,24.220,PIT,@,KAN,W 36-28,,,,,,,,,,
39,1985,1985-11-17,11,24.227,PIT,@,HOU,W 30-7,,,,,,,,,,
40,1985,1985-11-24,12,24.234,PIT,,WAS,L 23-30,,,,,,,,,,
41,1985,1985-12-08,14,24.248,PIT,@,SDG,L 44-54,,,,,,,,,,
42,1985,1985-12-21,16,24.261,PIT,@,NYG,L 10-28,,,,,,,,,,
43,1986,1986-09-07,1,25.156,PIT,@,SEA,L 0-30,0,0,,0,0,0,0.0,1,0,0
44,1986,1986-09-15,2,25.164,PIT,,DEN,L 10-21,,,,,,,,,,
45,1986,1986-09-21,3,25.170,PIT,@,MIN,L 7-31,,,,,,,,,,
46,1986,1986-09-28,4,25.177,PIT,@,HOU,W 22-16,,,,,,,,,,
47,1986,1986-10-05,5,25.184,PIT,,CLE,L 24-27,,,,,,,,,,
48,1986,1986-10-13,6,25.192,PIT,@,CIN,L 22-24,,,,,,,,,,
49,1986,1986-10-19,7,25.198,PIT,,NWE,L 0-34,,,,,,,,,,
50,1986,1986-10-26,8,25.205,PIT,,CIN,W 30-9,,,,,,,,,,
51,1986,1986-11-02,9,25.212,PIT,,GNB,W 27-3,0,0,,0,0,0,0.0,1,4,0
52,1986,1986-11-09,10,25.219,PIT,@,BUF,L 12-16,,,,,,,,,,
53,1986,1986-11-16,11,25.226,PIT,,HOU,W 21-10,0,0,,0,0,0,0.0,1,14,0
54,1986,1986-11-23,12,25.233,PIT,@,CLE,L 31-37,,,,,,,,,,
55,1986,1986-12-07,14,25.247,PIT,,DET,W 27-17,,,,,,,,,,
56,1986,1986-12-13,15,25.253,PIT,@,NYJ,W 45-24,,,,,,,,,,
57,1986,1986-12-21,16,25.261,PIT,,KAN,L 19-24,,,,,,,,,,
58,1987,1987-09-20,2,26.169,NYG,,DAL,L 14-16,,,,,,,,,,
59,1987,1987-10-25,6,26.204,NYG,,STL,W 30-7,,,,,,,,,,
