ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1998,1998-09-06,1,23.055,ATL,@,CAR,W 19-14,,1,1,44,44.00,1,100.0%,44.00,0,0,,0,0,0,,0,0,0,,0,0,,,3,70,23.33,0,1,0,0.00,0,1,6
2,1998,1998-09-13,2,23.062,ATL,,PHI,W 17-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,36,36.00,0,3,24,8.00,0,0,0
3,1998,1998-09-27,3,23.076,ATL,@,SFO,L 20-31,,2,0,0,,0,0.0%,0.00,3,12,4.00,0,0,0,,0,0,0,,0,0,,,6,127,21.17,0,3,36,12.00,0,0,0
4,1998,1998-10-04,4,23.083,ATL,,CAR,W 51-23,,0,0,0,,0,0.0%,,2,7,3.50,0,1,1,100.00,22,0,0,118.7,0,0,22.00,22.00,4,169,42.25,1,0,0,,0,1,6
5,1998,1998-10-11,5,23.090,ATL,@,NYG,W 34-20,,1,1,21,21.00,0,100.0%,21.00,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,4,89,22.25,0,5,46,9.20,0,0,0
6,1998,1998-10-18,6,23.097,ATL,,NOR,W 31-23,,0,0,0,,0,0.0%,,1,4,4.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,88,22.00,0,3,16,5.33,0,0,0
7,1998,1998-10-25,7,23.104,ATL,@,NYJ,L 3-28,,1,1,20,20.00,0,100.0%,20.00,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,2,56,28.00,0,1,10,10.00,0,0,0
8,1998,1998-11-29,12,23.139,ATL,@,STL,W 21-10,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,2,40,20.00,0,7,75,10.71,0,0,0
9,1998,1998-12-06,13,23.146,ATL,,IND,W 28-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,3,88,29.33,0,3,29,9.67,0,0,0
10,1998,1998-12-13,14,23.153,ATL,@,NOR,W 27-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,2,57,28.50,0,2,5,2.50,0,0,0
11,1998,1998-12-20,15,23.160,ATL,@,DET,W 24-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,2,67,33.50,0,2,11,5.50,0,0,0
12,1998,1998-12-27,16,23.167,ATL,,MIA,W 38-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,3,86,28.67,0,1,11,11.00,0,0,0
13,1999,1999-09-12,1,24.061,ATL,,MIN,L 14-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,3,67,22.33,0,0,0,,0,0,0
14,1999,1999-09-20,2,24.069,ATL,@,DAL,L 7-24,,1,1,45,45.00,1,100.0%,45.00,0,0,,0,0,0,,0,0,0,,,,,,3,50,16.67,0,1,4,4.00,0,1,6
15,1999,1999-10-10,5,24.089,ATL,@,NOR,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,4,69,17.25,0,2,-5,-2.50,0,0,0
16,1999,1999-10-17,6,24.096,ATL,,STL,L 13-41,,3,2,56,28.00,0,66.7%,18.67,1,9,9.00,0,0,0,,0,0,0,,,,,,7,157,22.43,0,1,17,17.00,0,0,0
17,1999,1999-10-25,7,24.104,ATL,@,PIT,L 9-13,*,7,3,44,14.67,0,42.9%,6.29,2,8,4.00,0,0,0,,0,0,0,,,,,,3,61,20.33,0,2,15,7.50,0,0,0
18,1999,1999-10-31,8,24.110,ATL,,CAR,W 27-20,*,4,3,61,20.33,2,75.0%,15.25,0,0,,0,0,0,,0,0,0,,,,,,4,100,25.00,0,1,11,11.00,0,2,12
19,1999,1999-11-07,9,24.117,ATL,,JAX,L 7-30,*,4,2,47,23.50,1,50.0%,11.75,0,0,,0,0,0,,0,0,0,,,,,,6,142,23.67,0,2,27,13.50,0,1,6
20,1999,1999-11-21,10,24.131,ATL,@,TAM,L 10-19,*,6,4,20,5.00,0,66.7%,3.33,1,8,8.00,1,0,0,,0,0,0,,,,,,5,102,20.40,0,3,31,10.33,0,1,6
21,1999,1999-11-28,11,24.138,ATL,@,CAR,L 28-34,*,9,5,102,20.40,0,55.6%,11.33,1,3,3.00,0,0,0,,0,0,0,,,,,,6,115,19.17,0,2,15,7.50,0,0,0
22,1999,1999-12-05,12,24.145,ATL,,NOR,W 35-12,*,3,2,80,40.00,1,66.7%,26.67,0,0,,0,0,0,,0,0,0,,,,,,3,81,27.00,0,1,5,5.00,0,1,6
23,1999,1999-12-26,15,24.166,ATL,,ARI,W 37-14,*,4,3,52,17.33,0,75.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,21,7.00,0,0,0
24,1999,2000-01-03,16,24.174,ATL,,SFO,W 34-29,*,9,7,162,23.14,2,77.8%,18.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,79,39.50,1,3,18
25,2000,2000-09-03,1,25.052,ATL,,SFO,W 36-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,3,74,24.67,0,2,21,10.50,0,0,0
26,2000,2000-09-10,2,25.059,ATL,@,DEN,L 14-42,,3,2,60,30.00,1,66.7%,20.00,2,5,2.50,0,0,0,,0,0,0,,,,,,6,149,24.83,0,3,50,16.67,0,1,6
27,2000,2000-10-01,5,25.080,ATL,@,PHI,L 10-38,,7,3,55,18.33,0,42.9%,7.86,0,0,,0,0,0,,0,0,0,,,,,,5,102,20.40,0,3,85,28.33,1,1,6
28,2000,2000-10-08,6,25.087,ATL,,NYG,L 6-13,*,3,1,1,1.00,0,33.3%,0.33,2,1,0.50,0,0,0,,0,0,0,,,,,,2,50,25.00,0,2,-2,-1.00,0,0,0
29,2000,2000-10-15,7,25.094,ATL,@,STL,L 29-45,,6,3,35,11.67,1,50.0%,5.83,0,0,,0,0,0,,0,0,0,,,,,,3,56,18.67,0,0,0,,0,1,6
30,2000,2000-10-22,8,25.101,ATL,,NOR,L 19-21,,4,3,85,28.33,1,75.0%,21.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
31,2000,2000-10-29,9,25.108,ATL,,CAR,W 13-12,,4,3,37,12.33,0,75.0%,9.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,23,7.67,0,0,0
