ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1956,1956-09-30,1,22.237,RAM,,PHI,W 27-7,2,10,5.00,1,0,0,,0,,,,,1,,,,,
2,1956,1956-10-07,2,22.244,RAM,@,SFO,L 30-33,3,10,3.33,0,0,0,,0,,,,,0,,,,,
3,1956,1956-10-14,3,22.251,RAM,@,DET,L 21-24,1,2,2.00,0,1,4,4.00,0,,,,,0,,,,,
4,1956,1956-10-21,4,22.258,RAM,@,GNB,L 17-42,2,5,2.50,0,0,0,,0,,,,,0,,,,,
5,1956,1956-10-28,5,22.265,RAM,,DET,L 7-16,4,8,2.00,0,0,0,,0,,,,,0,,,,,
6,1956,1956-11-11,7,22.279,RAM,,SFO,W 30-6,8,16,2.00,1,1,7,7.00,0,,,,,1,,,,,
7,1956,1956-11-18,8,22.286,RAM,@,CHI,L 21-30,2,0,0.00,0,2,13,6.50,0,,,,,0,,,,,
8,1956,1956-11-25,9,22.293,RAM,@,BAL,L 21-56,10,60,6.00,0,3,17,5.67,0,,,,,0,,,,,
9,1956,1956-12-02,10,22.300,RAM,@,PIT,L 13-30,15,71,4.73,0,4,-2,-0.50,0,,,,,0,,,,,
10,1956,1956-12-09,11,22.307,RAM,,BAL,W 31-7,16,58,3.63,2,1,31,31.00,0,,,,,2,,,,,
11,1956,1956-12-16,12,22.314,RAM,,GNB,W 49-21,12,58,4.83,3,0,0,,0,,,,,3,,,,,
12,1957,1957-09-29,1,23.235,RAM,,PHI,W 17-13,8,37,4.63,1,2,8,4.00,0,,,,,1,,,,,
13,1957,1957-10-06,2,23.242,RAM,@,SFO,L 20-23,0,0,,0,2,8,4.00,0,,,,,0,,,,,
14,1957,1957-10-13,3,23.249,RAM,@,DET,L 7-10,11,41,3.73,0,1,6,6.00,0,,,,,0,,,,,
15,1957,1957-10-27,5,23.263,RAM,,DET,W 35-17,14,55,3.93,0,1,-2,-2.00,0,,,,,0,,,,,
16,1957,1957-11-03,6,23.270,RAM,,CHI,L 10-16,10,23,2.30,0,1,3,3.00,0,,,,,0,,,,,
17,1957,1957-11-10,7,23.277,RAM,,SFO,W 37-24,12,51,4.25,1,0,0,,0,,,,,1,,,,,
18,1957,1957-11-17,8,23.284,RAM,@,GNB,W 31-27,5,24,4.80,0,0,0,,0,,,,,0,,,,,
19,1957,1957-11-24,9,23.291,RAM,@,CLE,L 31-45,8,48,6.00,0,0,0,,0,,,,,0,,,,,
20,1957,1957-12-01,10,23.298,RAM,@,BAL,L 14-31,5,18,3.60,0,0,0,,0,,,,,0,,,,,
21,1957,1957-12-08,11,23.305,RAM,,GNB,W 42-17,16,95,5.94,1,4,85,21.25,1,,,,,2,,,,,
22,1957,1957-12-15,12,23.312,RAM,,BAL,W 37-21,15,89,5.93,0,5,63,12.60,0,,,,,0,,,,,
23,1958,1958-09-28,1,24.234,RAM,,CLE,L 27-30,1,4,4.00,0,1,15,15.00,0,,,,,0,,,,,
24,1958,1958-10-05,2,24.241,RAM,@,SFO,W 33-3,7,20,2.86,0,0,0,,0,,,,,0,,,,,
25,1958,1958-10-12,3,24.248,RAM,@,DET,W 42-28,4,34,8.50,1,0,0,,0,,,,,1,,,,,
26,1958,1958-10-19,4,24.255,RAM,@,CHI,L 10-31,5,38,7.60,0,0,0,,0,,,,,0,,,,,
27,1958,1958-10-26,5,24.262,RAM,,DET,L 24-41,4,13,3.25,0,3,21,7.00,0,,,,,0,,,,,
28,1958,1958-11-02,6,24.269,RAM,,CHI,W 41-35,10,29,2.90,0,0,0,,0,,,,,0,,,,,
29,1958,1958-11-09,7,24.276,RAM,,SFO,W 56-7,15,119,7.93,0,1,15,15.00,0,,,,,0,,,,,
30,1958,1958-11-16,8,24.283,RAM,@,GNB,W 20-7,13,56,4.31,0,0,0,,0,,,,,0,,,,,
31,1958,1958-11-23,9,24.290,RAM,@,BAL,L 7-34,4,22,5.50,0,2,13,6.50,0,,,,,0,,,,,
32,1958,1958-11-30,10,24.297,RAM,@,CRD,W 20-14,16,61,3.81,0,3,23,7.67,0,,,,,0,,,,,
33,1958,1958-12-06,11,24.303,RAM,,BAL,W 30-28,4,10,2.50,0,0,0,,0,,,,,0,,,,,
34,1958,1958-12-14,12,24.311,RAM,,GNB,W 34-20,6,22,3.67,0,0,0,,0,,,,,0,,,,,
35,1959,1959-09-26,1,25.232,RAM,,NYG,L 21-23,4,8,2.00,0,1,8,8.00,1,,,,,1,,,,,
36,1959,1959-10-04,2,25.240,RAM,@,SFO,L 0-34,1,1,1.00,0,1,1,1.00,0,,,,,0,,,,,
37,1959,1959-10-11,3,25.247,RAM,@,CHI,W 28-21,6,9,1.50,1,0,0,,0,,,,,1,,,,,
38,1959,1959-10-18,4,25.254,RAM,@,GNB,W 45-6,4,4,1.00,1,1,3,3.00,0,,,,,1,,,,,
39,1959,1959-10-25,5,25.261,RAM,,DET,L 7-17,2,21,10.50,0,2,14,7.00,0,,,,,0,,,,,
40,1959,1959-11-08,7,25.275,RAM,,SFO,L 16-24,3,12,4.00,0,2,38,19.00,0,,,,,0,,,,,
41,1959,1959-11-15,8,25.282,RAM,@,DET,L 17-23,6,28,4.67,0,1,2,2.00,0,,,,,0,,,,,
42,1959,1959-11-22,9,25.289,RAM,@,PHI,L 20-23,10,38,3.80,0,2,15,7.50,0,,,,,0,,,,,
43,1959,1959-11-29,10,25.296,RAM,@,BAL,L 21-35,2,2,1.00,0,0,0,,0,,,,,0,,,,,
44,1959,1959-12-06,11,25.303,RAM,,GNB,L 20-38,6,20,3.33,1,0,0,,0,,,,,1,,,,,
45,1959,1959-12-12,12,25.309,RAM,,BAL,L 26-45,8,33,4.13,1,0,0,,0,,,,,1,,,,,
46,1960,1960-10-09,3,26.246,RAM,@,CHI,L 27-34,2,19,9.50,1,2,-11,-5.50,0,0,0,,0,1,6,0,0,,0
47,1960,1960-10-16,4,26.253,RAM,@,BAL,L 17-31,2,7,3.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
48,1960,1960-10-23,5,26.260,RAM,,CHI,T 24-24,5,71,14.20,0,1,12,12.00,0,0,0,,0,0,0,0,0,,0
49,1960,1960-10-30,6,26.267,RAM,,DET,W 48-35,6,8,1.33,0,1,10,10.00,0,0,0,,0,0,0,0,0,,0
50,1960,1960-11-06,7,26.274,RAM,@,DAL,W 38-13,9,115,12.78,2,1,-10,-10.00,0,0,0,,0,2,12,0,0,,0
51,1960,1960-11-13,8,26.281,RAM,@,DET,L 10-12,6,-2,-0.33,0,1,9,9.00,0,0,0,,0,0,0,0,0,,0
52,1960,1960-12-04,10,26.302,RAM,,SFO,L 7-23,4,15,3.75,0,0,0,,0,0,0,,0,0,0,0,0,,0
53,1960,1960-12-11,11,26.309,RAM,,BAL,W 10-3,8,7,0.88,0,3,22,7.33,0,0,0,,0,0,0,6,287,47.83,0
54,1960,1960-12-17,12,26.315,RAM,,GNB,L 21-35,0,0,,0,0,0,,0,0,0,,0,0,0,4,121,30.25,1
55,1961,1961-10-01,3,27.237,RAM,,PIT,W 24-14,1,3,3.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
56,1961,1961-10-08,4,27.244,RAM,@,SFO,L 0-35,0,0,,0,1,5,5.00,0,0,0,,0,0,0,0,0,,0
57,1961,1961-11-05,8,27.272,RAM,,MIN,W 31-17,7,40,5.71,1,1,5,5.00,0,0,0,,0,1,6,0,0,,0
58,1961,1961-11-12,9,27.279,RAM,,SFO,W 17-7,12,36,3.00,1,0,0,,0,0,0,,0,1,6,0,0,,0
59,1961,1961-11-26,11,27.293,RAM,@,CHI,L 24-28,2,7,3.50,0,0,0,,0,0,0,,0,0,0,3,144,48.00,0
60,1961,1961-12-03,12,27.300,RAM,@,MIN,L 21-42,1,3,3.00,0,1,2,2.00,0,0,0,,0,0,0,3,121,40.33,0
61,1961,1961-12-09,13,27.306,RAM,,BAL,W 34-17,11,51,4.64,1,1,8,8.00,1,0,0,,0,2,12,0,0,,0
62,1961,1961-12-17,14,27.314,RAM,,GNB,L 17-24,2,6,3.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
63,1962,1962-09-16,1,28.222,CHI,@,SFO,W 30-14,3,5,1.67,0,0,0,,0,0,0,,0,0,0,0,0,,0
64,1962,1962-09-23,2,28.229,CHI,@,RAM,W 27-23,15,81,5.40,1,2,5,2.50,0,0,0,,0,1,6,0,0,,0
65,1962,1962-09-30,3,28.236,CHI,@,GNB,L 0-49,11,46,4.18,0,2,76,38.00,0,0,0,,0,0,0,0,0,,0
66,1962,1962-10-07,4,28.243,CHI,@,MIN,W 13-0,3,7,2.33,0,1,30,30.00,0,0,0,,0,0,0,0,0,,0
67,1962,1962-10-14,5,28.250,CHI,,SFO,L 27-34,0,0,,0,2,36,18.00,1,0,0,,0,1,6,0,0,,0
68,1962,1962-10-21,6,28.257,CHI,,BAL,W 35-15,5,21,4.20,2,0,0,,0,0,0,,0,2,12,0,0,,0
69,1962,1962-10-28,7,28.264,CHI,@,DET,L 3-11,6,-3,-0.50,0,3,23,7.67,0,0,0,,0,0,0,0,0,,0
70,1962,1962-11-04,8,28.271,CHI,,GNB,L 7-38,4,29,7.25,0,2,10,5.00,0,2,30,15.00,0,0,0,0,0,,0
71,1962,1962-11-18,10,28.285,CHI,@,DAL,W 34-33,6,16,2.67,1,2,10,5.00,0,0,0,,0,1,6,0,0,,0
72,1962,1962-11-25,11,28.292,CHI,@,BAL,W 57-0,11,23,2.09,1,2,50,25.00,0,0,0,,0,1,6,0,0,,0
73,1962,1962-12-02,12,28.299,CHI,,NYG,L 24-26,9,50,5.56,0,4,59,14.75,0,0,0,,0,0,0,0,0,,0
74,1962,1962-12-09,13,28.306,CHI,,RAM,W 30-14,3,10,3.33,0,2,-2,-1.00,0,0,0,,0,0,0,0,0,,0
75,1962,1962-12-16,14,28.313,CHI,,DET,W 3-0,13,121,9.31,0,1,9,9.00,0,0,0,,0,0,0,0,0,,0
76,1963,1963-09-15,1,29.221,CHI,@,GNB,W 10-3,9,23,2.56,1,4,27,6.75,0,1,15,15.00,0,1,6,0,0,,0
77,1963,1963-09-22,2,29.228,CHI,@,MIN,W 28-7,2,4,2.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
78,1963,1963-09-29,3,29.235,CHI,@,DET,W 37-21,9,30,3.33,0,0,0,,0,0,0,,0,0,0,0,0,,0
79,1963,1963-10-06,4,29.242,CHI,,BAL,W 10-3,8,42,5.25,0,1,22,22.00,0,0,0,,0,0,0,0,0,,0
80,1963,1963-10-13,5,29.249,CHI,@,RAM,W 52-14,5,37,7.40,0,0,0,,0,0,0,,0,0,0,0,0,,0
81,1963,1963-10-20,6,29.256,CHI,@,SFO,L 14-20,0,0,,0,3,4,1.33,0,0,0,,0,0,0,0,0,,0
82,1963,1963-10-27,7,29.263,CHI,,PHI,W 16-7,16,62,3.88,0,5,69,13.80,1,0,0,,0,1,6,0,0,,0
83,1963,1963-11-03,8,29.270,CHI,@,BAL,W 17-7,11,32,2.91,0,2,70,35.00,0,0,0,,0,0,0,0,0,,0
84,1963,1963-11-10,9,29.277,CHI,,RAM,W 6-0,10,32,3.20,0,1,-2,-2.00,0,0,0,,0,0,0,0,0,,0
85,1963,1963-11-17,10,29.284,CHI,,GNB,W 26-7,14,52,3.71,0,1,28,28.00,0,0,0,,0,0,0,0,0,,0
86,1963,1963-11-24,11,29.291,CHI,@,PIT,T 17-17,6,19,3.17,0,3,3,1.00,0,1,0,0.00,0,0,0,0,0,,0
87,1963,1963-12-01,12,29.298,CHI,,MIN,T 17-17,6,12,2.00,0,4,50,12.50,1,0,0,,0,1,6,0,0,,0
88,1963,1963-12-08,13,29.305,CHI,,SFO,W 27-7,9,53,5.89,1,2,50,25.00,0,0,0,,0,1,6,0,0,,0
89,1963,1963-12-15,14,29.312,CHI,,DET,W 24-14,12,44,3.67,0,2,14,7.00,0,0,0,,0,0,0,0,0,,0
