ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1985,1985-09-08,1,23.245,NYG,,PHI,W 21-0,,0,0,,0,0,0,,0,0,0,,0,,,,5,234,46.80,0
2,1985,1985-09-15,2,23.252,NYG,@,GNB,L 20-23,,0,0,,0,0,0,,0,0,0,,0,,,,8,365,45.63,0
3,1985,1985-09-22,3,23.259,NYG,,STL,W 27-17,,0,0,,0,0,0,,0,0,0,,0,,,,5,246,49.20,0
4,1985,1985-09-29,4,23.266,NYG,@,PHI,W 16-10,,0,0,,0,0,0,,0,0,0,,0,,,,6,265,44.17,0
5,1985,1985-10-06,5,23.273,NYG,,DAL,L 29-30,,0,0,,0,0,0,,0,0,0,,0,,,,2,76,38.00,0
6,1985,1985-10-13,6,23.280,NYG,@,CIN,L 30-35,,0,0,,0,0,0,,0,0,0,,0,,,,3,126,42.00,0
7,1985,1985-10-20,7,23.287,NYG,,WAS,W 17-3,,0,0,,0,0,0,,0,0,0,,0,,,,3,154,51.33,0
8,1985,1985-10-27,8,23.294,NYG,@,NOR,W 21-13,,0,0,,0,0,0,,0,0,0,,0,,,,3,127,42.33,0
9,1985,1985-11-03,9,23.301,NYG,,TAM,W 22-20,,0,0,,0,0,0,,0,0,0,,0,,,,4,164,41.00,0
10,1985,1985-11-10,10,23.308,NYG,,RAM,W 24-19,,0,0,,0,0,0,,0,0,0,,0,,,,6,267,44.50,0
11,1985,1985-11-18,11,23.316,NYG,@,WAS,L 21-23,,0,0,,0,0,0,,0,0,0,,0,,,,7,294,42.00,0
12,1985,1985-11-24,12,23.322,NYG,@,STL,W 34-3,,0,0,,0,0,0,,0,0,0,,0,,,,6,224,37.33,0
13,1985,1985-12-01,13,23.329,NYG,,CLE,L 33-35,,0,0,,0,0,0,,0,0,0,,0,,,,6,267,44.50,0
14,1985,1985-12-08,14,23.336,NYG,@,HOU,W 35-14,,0,0,,0,0,0,,0,0,0,,0,,,,7,266,38.00,0
15,1985,1985-12-15,15,23.343,NYG,@,DAL,L 21-28,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,6,237,39.50,0
16,1985,1985-12-21,16,23.349,NYG,,PIT,W 28-10,,0,0,,0,0,0,,0,0,0,,0,,,,4,160,40.00,0
17,1986,1986-09-08,1,24.245,NYG,@,DAL,L 28-31,,0,0,,0,0,0,,0,0,0,,,,,,7,320,45.71,0
18,1986,1986-09-14,2,24.251,NYG,,SDG,W 20-7,,0,0,,0,0,0,,0,0,0,,,,,,5,199,39.80,0
19,1986,1986-09-21,3,24.258,NYG,@,RAI,W 14-9,,0,0,,0,0,0,,0,0,0,,,,,,5,245,49.00,0
20,1986,1986-09-28,4,24.265,NYG,,NOR,W 20-17,,0,0,,0,0,0,,0,0,0,,,,,,3,134,44.67,0
21,1986,1986-10-05,5,24.272,NYG,@,STL,W 13-6,,0,0,,0,0,0,,0,0,0,,,,,,9,431,47.89,0
22,1986,1986-10-12,6,24.279,NYG,,PHI,W 35-3,,0,0,,0,0,0,,0,0,0,,,,,,5,199,39.80,0
23,1986,1986-10-19,7,24.286,NYG,@,SEA,L 12-17,,0,0,,0,0,0,,0,0,0,,,,,,3,133,44.33,0
24,1986,1986-10-27,8,24.294,NYG,,WAS,W 27-20,,0,0,,0,0,0,,0,0,0,,,,,,6,259,43.17,0
25,1986,1986-11-02,9,24.300,NYG,,DAL,W 17-14,,0,0,,0,0,0,,0,0,0,,,,,,4,185,46.25,0
26,1986,1986-11-09,10,24.307,NYG,@,PHI,W 17-14,,0,0,,0,0,0,,0,0,0,,,,,,7,318,45.43,0
27,1986,1986-11-16,11,24.314,NYG,@,MIN,W 22-20,,0,0,,0,0,0,,0,0,0,,,,,,2,115,57.50,0
28,1986,1986-11-23,12,24.321,NYG,,DEN,W 19-16,,0,0,,0,0,0,,0,0,0,,,,,,6,293,48.83,0
29,1986,1986-12-01,13,24.329,NYG,@,SFO,W 21-17,,0,0,,0,0,0,,0,0,0,,,,,,3,123,41.00,0
30,1986,1986-12-07,14,24.335,NYG,@,WAS,W 24-14,,0,0,,0,0,0,,0,0,0,,,,,,6,224,37.33,0
31,1986,1986-12-14,15,24.342,NYG,,STL,W 27-7,,0,0,,0,0,0,,0,0,0,,,,,,6,251,41.83,0
32,1986,1986-12-20,16,24.348,NYG,,GNB,W 55-24,,0,0,,0,0,0,,0,0,0,,,,,,2,110,55.00,0
33,1987,1987-09-14,1,25.251,NYG,@,CHI,L 19-34,,0,0,,0,0,0,,0,0,0,,,,,,9,379,42.11,0
34,1987,1987-09-20,2,25.257,NYG,,DAL,L 14-16,,0,0,,0,0,0,,0,0,0,,,,,,4,161,40.25,0
35,1987,1987-10-25,6,25.292,NYG,,STL,W 30-7,,0,0,,0,0,0,,0,0,0,,,,,,4,183,45.75,0
36,1987,1987-11-02,7,25.300,NYG,@,DAL,L 24-33,,0,0,,0,0,0,,0,0,0,,,,,,5,247,49.40,0
