ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2016,2016-10-30,7,22.286,GNB,@,ATL,L 32-33,,4,2,21,10.50,1,50.0%,5.25,0,0,,0,1,6
2,2016,2016-11-06,8,22.293,GNB,,IND,L 26-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
3,2016,2016-11-13,9,22.300,GNB,@,TEN,L 25-47,,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0
4,2016,2016-11-20,10,22.307,GNB,@,WAS,L 24-42,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
5,2016,2016-11-28,11,22.315,GNB,@,PHI,W 27-13,,0,0,0,,0,0.0%,,0,0,,0,0,0
6,2016,2016-12-04,12,22.321,GNB,,HOU,W 21-13,,0,0,0,,0,0.0%,,0,0,,0,0,0
7,2016,2016-12-11,13,22.328,GNB,,SEA,W 38-10,,0,0,0,,0,0.0%,,0,0,,0,0,0
8,2016,2016-12-18,14,22.335,GNB,@,CHI,W 30-27,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
9,2016,2016-12-24,15,22.341,GNB,,MIN,W 38-25,*,7,4,66,16.50,0,57.1%,9.43,0,0,,0,0,0
10,2016,2017-01-01,16,22.349,GNB,@,DET,W 31-24,*,6,4,91,22.75,1,66.7%,15.17,0,0,,0,1,6
11,2017,2017-09-17,2,23.242,GNB,@,ATL,L 23-34,,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0
12,2017,2017-09-24,3,23.249,GNB,,CIN,W 27-24,,8,6,122,20.33,0,75.0%,15.25,0,0,,0,0,0
13,2017,2017-09-28,4,23.253,GNB,,CHI,W 35-14,,0,0,0,,0,0.0%,,0,0,,0,0,0
14,2017,2017-10-08,5,23.263,GNB,@,DAL,W 35-31,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
15,2017,2017-10-15,6,23.270,GNB,@,MIN,L 10-23,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0
16,2017,2017-10-22,7,23.277,GNB,,NOR,L 17-26,,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0
17,2017,2017-11-06,8,23.292,GNB,,DET,L 17-30,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
18,2017,2017-11-12,9,23.298,GNB,@,CHI,W 23-16,,0,0,0,,0,0.0%,,0,0,,0,0,0
19,2017,2017-11-19,10,23.305,GNB,,BAL,L 0-23,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0
20,2017,2017-11-26,11,23.312,GNB,@,PIT,L 28-31,,0,0,0,,0,0.0%,,0,0,,0,0,0
21,2017,2017-12-03,12,23.319,GNB,,TAM,W 26-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
22,2017,2017-12-10,13,23.326,GNB,@,CLE,W 27-21,,4,4,29,7.25,0,100.0%,7.25,0,0,,0,0,0
23,2017,2017-12-17,14,23.333,GNB,@,CAR,L 24-31,,8,5,33,6.60,0,62.5%,4.13,0,0,,0,0,0
24,2017,2017-12-23,15,23.339,GNB,,MIN,L 0-16,*,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0
25,2017,2017-12-31,16,23.347,GNB,@,DET,L 11-35,*,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0
26,2018,2018-09-09,1,24.234,GNB,,CHI,W 24-23,*,8,5,69,13.80,1,62.5%,8.63,0,0,,0,1,6
27,2018,2018-09-16,2,24.241,GNB,,MIN,T 29-29,*,6,6,64,10.67,0,100.0%,10.67,0,0,,0,0,0
28,2018,2018-09-23,3,24.248,GNB,@,WAS,L 17-31,*,4,2,76,38.00,1,50.0%,19.00,0,0,,0,1,6
