ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1995,1995-09-03,1,23.172,PIT,,DET,W 23-20,,0,0,,0,,,,
2,1995,1995-09-10,2,23.179,PIT,@,HOU,W 34-17,,0,0,,0,,,,
3,1995,1995-09-18,3,23.187,PIT,@,MIA,L 10-23,,1,10,10.00,0,0.0,0,0,0
4,1995,1995-09-24,4,23.193,PIT,,MIN,L 24-44,,0,0,,0,,,,
5,1995,1995-10-01,5,23.200,PIT,,SDG,W 31-16,,0,0,,0,,,,
6,1995,1995-10-08,6,23.207,PIT,@,JAX,L 16-20,,0,0,,0,,,,
7,1995,1995-10-19,7,23.218,PIT,,CIN,L 9-27,,0,0,,0,,,,
8,1995,1995-10-29,8,23.228,PIT,,JAX,W 24-7,,0,0,,0,,,,
9,1995,1995-11-05,9,23.235,PIT,@,CHI,W 37-34,,0,0,,0,,,,
10,1995,1995-11-13,10,23.243,PIT,,CLE,W 20-3,,0,0,,0,,,,
11,1995,1995-11-19,11,23.249,PIT,@,CIN,W 49-31,,0,0,,0,,,,
12,1995,1995-11-26,12,23.256,PIT,@,CLE,W 20-17,,0,0,,0,,,,
13,1996,1996-09-01,1,24.170,PIT,@,JAX,L 9-24,,,,,,,,,
14,1996,1996-09-08,2,24.177,NYJ,,IND,L 7-21,,,,,,,,,
15,1996,1996-09-16,3,24.185,PIT,,BUF,W 24-6,,,,,,,,,
16,1996,1996-09-29,4,24.198,PIT,,HOU,W 30-16,,,,,,,,,
17,1996,1996-10-07,5,24.206,PIT,@,KAN,W 17-7,,,,,,,,,
18,1996,1996-10-13,6,24.212,PIT,,CIN,W 20-10,,0,0,,0,1.0,0,0,0
19,1996,1996-10-20,7,24.219,PIT,@,HOU,L 13-23,,0,0,,0,1.0,0,0,0
20,1996,1996-10-27,8,24.226,PIT,@,ATL,W 20-17,,,,,,,,,
21,1996,1996-11-03,9,24.233,PIT,,STL,W 42-6,,0,0,,0,0.5,0,0,0
22,1996,1996-11-10,10,24.240,PIT,@,CIN,L 24-34,,,,,,,,,
23,1996,1996-11-17,11,24.247,PIT,,JAX,W 28-3,,,,,,,,,
24,1996,1996-11-25,12,24.255,PIT,@,MIA,W 24-17,,,,,,,,,
25,1996,1996-12-01,13,24.261,BUF,@,IND,L 10-13,,,,,,,,,
26,1996,1996-12-08,14,24.268,PIT,,SDG,W 16-3,,,,,,,,,
27,1996,1996-12-15,15,24.275,PIT,,SFO,L 15-25,,,,,,,,,
28,1996,1996-12-22,16,24.282,PIT,@,CAR,L 14-18,,,,,,,,,
29,1997,1997-08-31,1,25.169,PIT,,DAL,L 7-37,,,,,,,,,
