ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1981,1981-09-05,1,24.112,MIN,@,TAM,L 13-21,1,0,0.00,0,0,0,,0,0,0,,0
2,1981,1981-09-14,2,24.121,MIN,,OAK,L 10-36,4,20,5.00,0,0,0,,0,0,0,,0
3,1981,1981-09-20,3,24.127,MIN,,DET,W 26-24,0,0,,0,,,,,,,,
4,1982,1982-11-21,3,25.189,MIN,@,GNB,L 7-26,0,0,,0,0,0,,0,1,24,24.00,0
5,1982,1982-11-28,4,25.196,MIN,,CHI,W 35-7,2,2,1.00,0,0,0,,0,0,0,,0
6,1982,1982-12-05,5,25.203,MIN,@,MIA,L 14-22,0,0,,0,0,0,,0,1,18,18.00,0
7,1982,1982-12-12,6,25.210,MIN,,BAL,W 13-10,0,0,,0,,,,,0,0,,0
8,1982,1982-12-19,7,25.217,MIN,@,DET,W 34-31,0,0,,0,0,0,,0,4,124,31.00,0
9,1982,1982-12-26,8,25.224,MIN,,NYJ,L 14-42,0,0,,0,0,0,,0,4,84,21.00,0
10,1982,1983-01-03,9,25.232,MIN,,DAL,W 31-27,0,0,,0,0,0,,0,2,36,18.00,0
11,1983,1983-09-04,1,26.111,MIN,@,CLE,W 27-21,0,0,,0,0,0,,0,2,56,28.00,0
12,1983,1983-09-08,2,26.115,MIN,,SFO,L 17-48,0,0,,0,0,0,,0,4,95,23.75,0
13,1983,1983-09-18,3,26.125,MIN,@,TAM,W 19-16,0,0,,0,0,0,,0,2,49,24.50,0
14,1983,1983-09-25,4,26.132,MIN,,DET,W 20-17,0,0,,0,0,0,,0,1,19,19.00,0
15,1983,1983-10-02,5,26.139,MIN,,DAL,L 24-37,0,0,,0,0,0,,0,2,60,30.00,0
16,1983,1983-10-09,6,26.146,MIN,@,CHI,W 23-14,0,0,,0,0,0,,0,3,51,17.00,0
17,1983,1983-10-16,7,26.153,MIN,,HOU,W 34-14,0,0,,0,0,0,,0,3,94,31.33,0
18,1983,1983-10-23,8,26.160,MIN,@,GNB,W 20-17,0,0,,0,0,0,,0,1,21,21.00,0
19,1983,1983-10-30,9,26.167,MIN,@,STL,L 31-41,0,0,,0,0,0,,0,3,41,13.67,0
20,1983,1983-11-06,10,26.174,MIN,,TAM,L 12-17,0,0,,0,0,0,,0,2,37,18.50,0
21,1983,1983-11-13,11,26.181,MIN,,GNB,L 21-29,0,0,,0,0,0,,0,5,100,20.00,0
22,1983,1983-11-20,12,26.188,MIN,@,PIT,W 17-14,5,28,5.60,0,0,0,,0,3,72,24.00,0
23,1983,1983-11-27,13,26.195,MIN,@,NOR,L 16-17,0,0,,0,0,0,,0,2,34,17.00,0
24,1983,1983-12-05,14,26.203,MIN,@,DET,L 2-13,3,16,5.33,0,0,0,,0,4,75,18.75,0
25,1983,1983-12-11,15,26.209,MIN,,CHI,L 13-19,0,0,,0,0,0,,0,0,0,,0
26,1983,1983-12-17,16,26.215,MIN,,CIN,W 20-14,2,4,2.00,0,1,4,4.00,0,1,34,34.00,0
