ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2011,2011-09-11,1,23.220,BUF,@,KAN,W 41-7,,8,26,3.25,0,0,0,0,,0,0.0%,
2,2011,2011-09-18,2,23.227,BUF,,OAK,W 38-35,,,,,,,,,,,0.0%,
3,2011,2011-09-25,3,23.234,BUF,,NWE,W 34-31,,0,0,,0,0,0,0,,0,0.0%,
4,2011,2011-10-02,4,23.241,BUF,@,CIN,L 20-23,,0,0,,0,0,0,0,,0,0.0%,
5,2011,2011-10-09,5,23.248,BUF,,PHI,W 31-24,,,,,,,,,,,0.0%,
6,2011,2011-10-30,7,23.269,BUF,,WAS,W 23-0,,,,,,,,,,,0.0%,
7,2011,2011-11-20,10,23.290,BUF,@,MIA,L 8-35,,2,6,3.00,0,4,1,-3,-3.00,0,25.0%,-0.75
8,2011,2011-11-27,11,23.297,BUF,@,NYJ,L 24-28,,1,2,2.00,0,0,0,0,,0,0.0%,
9,2011,2011-12-04,12,23.304,BUF,,TEN,L 17-23,,0,0,,0,0,0,0,,0,0.0%,
10,2011,2011-12-11,13,23.311,BUF,@,SDG,L 10-37,,1,4,4.00,0,0,0,0,,0,0.0%,
11,2011,2011-12-18,14,23.318,BUF,,MIA,L 23-30,,,,,,,,,,,0.0%,
12,2011,2012-01-01,16,23.332,BUF,@,NWE,L 21-49,,,,,,,,,,,0.0%,
13,2012,2012-09-16,2,24.226,BUF,,KAN,W 35-17,,5,11,2.20,0,0,0,0,,0,0.0%,
14,2012,2012-09-23,3,24.233,BUF,@,CLE,W 24-14,,2,15,7.50,0,0,0,0,,0,0.0%,
15,2012,2012-09-30,4,24.240,BUF,,NWE,L 28-52,,1,8,8.00,0,0,0,0,,0,0.0%,
16,2012,2012-10-28,8,24.268,GNB,,JAX,W 24-15,,,,,,,,,,,0.0%,
17,2012,2012-11-04,9,24.275,GNB,,ARI,W 31-17,,,,,,,,,,,0.0%,
18,2012,2012-11-18,10,24.289,GNB,@,DET,W 24-20,,,,,,,,,,,0.0%,
19,2012,2012-11-25,11,24.296,GNB,@,NYG,L 10-38,,,,,,,,,,,0.0%,
