ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1966,1966-11-06,9,22.281,WAS,@,BAL,L 10-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,,0,0,0
2,1966,1966-11-13,10,22.288,WAS,,DAL,L 30-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,,0,0,0
3,1966,1966-11-20,11,22.295,WAS,@,CLE,L 3-14,3,11,3.67,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
4,1966,1966-11-27,12,22.302,WAS,,NYG,W 72-41,5,26,5.20,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
5,1966,1966-12-11,13,22.316,WAS,@,DAL,W 34-31,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
6,1966,1966-12-18,14,22.323,WAS,,PHI,L 28-37,1,-1,-1.00,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
7,1967,1967-09-17,1,23.231,NOR,,RAM,L 13-27,2,12,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
8,1967,1967-09-24,2,23.238,NOR,,WAS,L 10-30,3,-1,-0.33,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
9,1967,1967-10-01,3,23.245,NOR,,CLE,L 7-42,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,65,21.67,0,0,0,,0,0,0
10,1967,1967-10-08,4,23.252,NOR,@,NYG,L 21-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,48,16.00,0,0,0,,0,0,0
11,1967,1967-10-22,6,23.266,NOR,@,SFO,L 13-27,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
12,1967,1967-10-29,7,23.273,NOR,,PIT,L 10-14,7,26,3.71,0,1,29,29.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
