ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2012,2012-09-09,1,22.214,STL,@,DET,L 23-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,241,48.20,0
2,2012,2012-09-16,2,22.221,STL,,WAS,W 31-28,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,3,163,54.33,0
3,2012,2012-09-23,3,22.228,STL,@,CHI,L 6-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,279,46.50,0
4,2012,2012-09-30,4,22.235,STL,,SEA,W 19-13,,1,1,100.00,2,1,0,118.7,0,0,2.00,22.00,0,0,,0,,,,,,,0,0,0.0,0,0,4,156,39.00,0
5,2012,2012-10-04,5,22.239,STL,,ARI,W 17-3,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,7,398,56.86,0
6,2012,2012-10-14,6,22.249,STL,@,MIA,L 14-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,3,135,45.00,0
7,2012,2012-10-21,7,22.256,STL,,GNB,L 20-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,2,99,49.50,0
8,2012,2012-10-28,8,22.263,STL,,NWE,L 7-45,,0,0,,0,0,0,,0,0,,,1,-9,-9.00,0,,,,,,,0,0,0.0,0,0,4,195,48.75,0
9,2012,2012-11-11,9,22.277,STL,@,SFO,T 24-24,,2,2,100.00,40,0,0,118.7,0,0,20.00,20.00,0,0,,0,,,,,,,0,0,0.0,0,0,4,147,36.75,0
10,2012,2012-11-18,10,22.284,STL,,NYJ,L 13-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,251,50.20,0
11,2012,2012-11-25,11,22.291,STL,@,ARI,W 31-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,260,43.33,0
12,2012,2012-12-02,12,22.298,STL,,SFO,W 16-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,9,388,43.11,0
13,2012,2012-12-09,13,22.305,STL,@,BUF,W 15-12,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,8,302,37.75,0
14,2012,2012-12-16,14,22.312,STL,,MIN,L 22-36,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,4,164,41.00,0
15,2012,2012-12-23,15,22.319,STL,@,TAM,W 28-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,7,335,47.86,0
16,2012,2012-12-30,16,22.326,STL,@,SEA,L 13-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,243,48.60,0
17,2013,2013-09-08,1,23.212,STL,,ARI,W 27-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,3,147,49.00,0
18,2013,2013-09-15,2,23.219,STL,@,ATL,L 24-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,298,49.67,0
19,2013,2013-09-22,3,23.226,STL,@,DAL,L 7-31,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,5,238,47.60,0
20,2013,2013-09-26,4,23.230,STL,,SFO,L 11-35,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,11,490,44.55,0
21,2013,2013-10-06,5,23.240,STL,,JAX,W 34-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,7,286,40.86,1
22,2013,2013-10-13,6,23.247,STL,@,HOU,W 38-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,3,135,45.00,0
23,2013,2013-10-20,7,23.254,STL,@,CAR,L 15-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,4,159,39.75,0
24,2013,2013-10-28,8,23.262,STL,,SEA,L 9-14,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,4,182,45.50,0
