ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1974,1974-09-15,1,22.114,DEN,,RAM,L 10-17,,,,,,,,
2,1974,1974-09-22,2,22.121,DEN,,PIT,T 35-35,,,,,,,,
3,1974,1974-09-30,3,22.129,DEN,@,WAS,L 3-30,,,,,,,,
4,1974,1974-10-06,4,22.135,DEN,@,KAN,W 17-14,0,0,,0,1,15,15.00,0
5,1974,1974-10-13,5,22.142,DEN,,NOR,W 33-17,,,,,,,,
6,1974,1974-10-20,6,22.149,DEN,,SDG,W 27-7,,,,,,,,
7,1974,1974-10-27,7,22.156,DEN,@,CLE,L 21-23,,,,,,,,
8,1974,1974-11-03,8,22.163,DEN,,OAK,L 17-28,,,,,,,,
9,1974,1974-11-10,9,22.170,DEN,@,BAL,W 17-6,,,,,,,,
10,1974,1974-11-18,10,22.178,DEN,,KAN,L 34-42,,,,,,,,
11,1974,1974-11-24,11,22.184,DEN,@,OAK,W 20-17,,,,,,,,
12,1974,1974-11-28,12,22.188,DEN,@,DET,W 31-27,0,0,,0,2,41,20.50,0
13,1974,1974-12-08,13,22.198,DEN,,HOU,W 37-14,,,,,,,,
14,1974,1974-12-15,14,22.205,DEN,@,SDG,L 0-17,,,,,,,,
15,1975,1975-09-21,1,23.120,DEN,,KAN,W 37-33,,,,,,,,
16,1975,1975-09-29,2,23.128,DEN,,GNB,W 23-13,,,,,,,,
17,1975,1975-10-05,3,23.134,DEN,@,BUF,L 14-38,,,,,,,,
18,1975,1975-10-12,4,23.141,DEN,@,PIT,L 9-20,,,,,,,,
19,1975,1975-10-19,5,23.148,DEN,,CLE,W 16-15,,,,,,,,
20,1975,1975-10-26,6,23.155,DEN,@,KAN,L 13-26,,,,,,,,
21,1975,1975-11-02,7,23.162,DEN,,OAK,L 17-42,,,,,,,,
22,1975,1975-11-09,8,23.169,DEN,,CIN,L 16-17,,,,,,,,
23,1975,1975-11-16,9,23.176,DEN,@,SDG,W 27-17,,,,,,,,
24,1975,1975-11-23,10,23.183,DEN,@,ATL,L 21-35,,,,,,,,
25,1975,1975-11-30,11,23.190,DEN,,SDG,W 13-10,1,14,14.00,0,0,0,,0
26,1975,1975-12-08,12,23.198,DEN,@,OAK,L 10-17,,,,,,,,
27,1976,1976-09-12,1,24.111,DEN,@,CIN,L 7-17,,,,,,,,
28,1976,1976-09-19,2,24.118,DEN,,NYJ,W 46-3,,,,,,,,
29,1976,1976-09-26,3,24.125,DEN,,CLE,W 44-13,,,,,,,,
30,1976,1976-10-03,4,24.132,DEN,,SDG,W 26-0,,,,,,,,
31,1976,1976-10-10,5,24.139,DEN,@,HOU,L 3-17,,,,,,,,
32,1976,1976-10-17,6,24.146,DEN,,OAK,L 10-17,,,,,,,,
33,1976,1976-10-24,7,24.153,DEN,@,KAN,W 35-26,0,0,,0,1,14,14.00,0
34,1976,1976-10-31,8,24.160,DEN,@,OAK,L 6-19,0,0,,0,1,13,13.00,0
35,1976,1976-11-07,9,24.167,DEN,,TAM,W 48-13,,,,,,,,
36,1976,1976-11-14,10,24.174,DEN,@,SDG,W 17-0,,,,,,,,
37,1976,1976-11-21,11,24.181,DEN,,NYG,W 14-13,0,0,,0,1,14,14.00,0
38,1976,1976-11-28,12,24.188,DEN,@,NWE,L 14-38,,,,,,,,
39,1976,1976-12-05,13,24.195,DEN,,KAN,W 17-16,,,,,,,,
40,1976,1976-12-12,14,24.202,DEN,@,CHI,W 28-14,,,,,,,,
41,1977,1977-11-13,9,25.173,NYG,@,TAM,W 10-0,,,,,,,,
42,1977,1977-11-20,10,25.180,NYG,,CLE,L 7-21,,,,,,,,
43,1977,1977-11-27,11,25.187,NYG,@,CIN,L 13-30,,,,,,,,
44,1977,1977-12-04,12,25.194,NYG,,STL,W 27-7,,,,,,,,
45,1977,1977-12-11,13,25.201,NYG,@,PHI,L 14-17,,,,,,,,
46,1977,1977-12-18,14,25.208,NYG,,CHI,L 9-12,,,,,,,,
