ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2016,2016-12-11,13,23.142,NYJ,@,SFO,W 23-17,,2,4,2.00,0,0,0,0,,0,0.0%,
2,2016,2016-12-17,14,23.148,NYJ,,MIA,L 13-34,,0,0,,0,0,0,0,,0,0.0%,
3,2016,2016-12-24,15,23.155,NYJ,@,NWE,L 3-41,,4,14,3.50,0,0,0,0,,0,0.0%,
4,2016,2017-01-01,16,23.163,NYJ,,BUF,W 30-10,,4,9,2.25,0,2,2,20,10.00,0,100.0%,10.00
5,2018,2018-09-16,2,25.056,JAX,,NWE,W 31-20,,3,4,1.33,0,0,0,0,,0,0.0%,
6,2018,2018-09-23,3,25.063,JAX,,TEN,L 6-9,,1,5,5.00,0,0,0,0,,0,0.0%,
