ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,1993,1993-09-06,1,21.001,WAS,,DAL,W 35-16,,,,,,
2,1993,1993-09-12,2,21.007,WAS,,PHO,L 10-17,,0,0,1,29,0
3,1993,1993-09-19,3,21.014,WAS,@,PHI,L 31-34,,,,,,
4,1993,1993-10-04,4,21.029,WAS,@,MIA,L 10-17,,0,0,1,0,0
5,1993,1993-10-10,5,21.035,WAS,,NYG,L 7-41,,,,,,
6,1993,1993-10-17,6,21.042,WAS,@,PHO,L 6-36,,0,0,1,0,0
7,1993,1993-11-01,7,21.057,WAS,@,BUF,L 10-24,,0,0,1,11,0
8,1993,1993-11-07,8,21.063,WAS,,IND,W 30-24,,,,,,
9,1993,1993-11-14,9,21.070,WAS,@,NYG,L 6-20,,0,0,1,14,0
10,1993,1993-11-21,10,21.077,WAS,@,RAM,L 6-10,,,,,,
11,1993,1993-11-28,11,21.084,WAS,,PHI,L 14-17,,,,,,
12,1993,1993-12-19,14,21.105,WAS,,ATL,W 30-17,,0,0,1,0,0
13,1993,1993-12-26,15,21.112,WAS,@,DAL,L 3-38,,,,,,
14,1993,1993-12-31,16,21.117,WAS,,MIN,L 9-14,,,,,,
15,1994,1994-09-04,1,21.364,WAS,,SEA,L 7-28,,,,,,
16,1994,1994-09-11,2,22.006,WAS,@,NOR,W 38-24,,0,0,1,16,0
17,1994,1994-09-18,3,22.013,WAS,@,NYG,L 23-31,,,,,,
18,1994,1994-09-25,4,22.020,WAS,,ATL,L 20-27,,,,,,
19,1994,1994-10-02,5,22.027,WAS,,DAL,L 7-34,,0,0,1,2,0
20,1994,1994-10-09,6,22.034,WAS,@,PHI,L 17-21,,,,,,
21,1994,1994-10-16,7,22.041,WAS,,ARI,L 16-19,,0,0,1,40,0
22,1994,1994-10-23,8,22.048,WAS,@,IND,W 41-27,,,,,,
23,1994,1994-10-30,9,22.055,WAS,,PHI,L 29-31,,,,,,
24,1994,1994-11-06,10,22.062,WAS,,SFO,L 22-37,,,,,,
25,1994,1994-11-20,11,22.076,WAS,@,DAL,L 7-31,,,,,,
26,1994,1994-11-27,12,22.083,WAS,,NYG,L 19-21,,,,,,
27,1994,1994-12-04,13,22.090,WAS,@,TAM,L 21-26,,,,,,
28,1994,1994-12-11,14,22.097,WAS,@,ARI,L 15-17,,,,,,
29,1994,1994-12-18,15,22.104,WAS,,TAM,L 14-17,,,,,,
30,1994,1994-12-24,16,22.110,WAS,@,RAM,W 24-21,,,,,,
31,1995,1995-09-03,1,22.363,WAS,,ARI,W 27-7,,0,0,1,31,0
32,1995,1995-09-10,2,23.005,WAS,,OAK,L 8-20,,,,,,
33,1995,1995-09-17,3,23.012,WAS,@,DEN,L 31-38,,,,,,
34,1995,1995-09-24,4,23.019,WAS,@,TAM,L 6-14,,,,,,
35,1995,1995-10-01,5,23.026,WAS,,DAL,W 27-23,,0,0,1,34,0
36,1995,1995-10-08,6,23.033,WAS,@,PHI,L 34-37,,,,,,
37,1995,1995-10-15,7,23.040,WAS,@,ARI,L 20-24,,,,,,
38,1995,1995-10-22,8,23.047,WAS,,DET,W 36-30,,,,,,
39,1995,1995-10-29,9,23.054,WAS,,NYG,L 15-24,,,,,,
40,1995,1995-11-05,10,23.061,WAS,@,KAN,L 3-24,,,,,,
41,1995,1995-11-19,11,23.075,WAS,,SEA,L 20-27,,0,0,1,0,0
42,1995,1995-11-26,12,23.082,WAS,,PHI,L 7-14,,,,,,
43,1995,1995-12-03,13,23.089,WAS,@,DAL,W 24-17,,,,,,
44,1995,1995-12-10,14,23.096,WAS,@,NYG,L 13-20,,,,,,
