ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,22.057,KAN,,TEN,L 10-26,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
2,2014,2014-10-19,6,22.099,KAN,@,SDG,W 23-20,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
3,2014,2014-10-26,7,22.106,KAN,,STL,W 34-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0
4,2014,2014-11-02,8,22.113,KAN,,NYJ,W 24-10,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
5,2014,2014-11-09,9,22.120,KAN,@,BUF,W 17-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
6,2014,2014-11-16,10,22.127,KAN,,SEA,W 24-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,0
7,2014,2014-11-20,11,22.131,KAN,@,OAK,L 20-24,,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
8,2014,2014-11-30,12,22.141,KAN,,DEN,L 16-29,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,0.0,0,0
9,2014,2014-12-07,13,22.148,KAN,@,ARI,L 14-17,*,8,4,53,13.25,0,50.0%,6.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
10,2014,2014-12-14,14,22.155,KAN,,OAK,W 31-13,,5,3,69,23.00,0,60.0%,13.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
11,2014,2014-12-21,15,22.162,KAN,@,PIT,L 12-20,*,7,5,87,17.40,0,71.4%,12.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
12,2014,2014-12-28,16,22.169,KAN,,SDG,W 19-7,,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
13,2015,2015-09-13,1,23.063,KAN,@,HOU,W 27-20,*,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
14,2015,2015-09-17,2,23.067,KAN,,DEN,L 24-31,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
15,2015,2015-09-28,3,23.078,KAN,@,GNB,L 28-38,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
16,2015,2015-10-18,6,23.098,KAN,@,MIN,L 10-16,,6,3,57,19.00,1,50.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
17,2015,2015-10-25,7,23.105,KAN,,PIT,W 23-13,*,6,3,71,23.67,0,50.0%,11.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
18,2015,2015-11-01,8,23.112,KAN,,DET,W 45-10,*,4,3,12,4.00,0,75.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
19,2015,2015-11-15,9,23.126,KAN,@,DEN,W 29-13,*,4,1,16,16.00,0,25.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
20,2015,2015-11-22,10,23.133,KAN,@,SDG,W 33-3,*,4,4,56,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
21,2015,2015-11-29,11,23.140,KAN,,BUF,W 30-22,*,3,3,25,8.33,0,100.0%,8.33,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
22,2015,2015-12-06,12,23.147,KAN,@,OAK,W 34-20,*,3,1,17,17.00,0,33.3%,5.67,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
23,2015,2015-12-13,13,23.154,KAN,,SDG,W 10-3,*,6,4,87,21.75,1,66.7%,14.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
24,2015,2015-12-20,14,23.161,KAN,@,BAL,W 34-14,*,4,4,27,6.75,0,100.0%,6.75,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
25,2015,2015-12-27,15,23.168,KAN,,CLE,W 17-13,*,4,3,34,11.33,0,75.0%,8.50,2,5,2.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
26,2015,2016-01-03,16,23.175,KAN,,OAK,W 23-17,*,6,3,24,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
27,2016,2016-09-11,1,24.061,KAN,,SDG,W 33-27,*,5,3,1,0.33,0,60.0%,0.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
28,2016,2016-09-18,2,24.068,KAN,@,HOU,L 12-19,,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
29,2016,2016-09-25,3,24.075,KAN,,NYJ,W 24-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
30,2016,2016-10-02,4,24.082,KAN,@,PIT,L 14-43,,8,5,52,10.40,0,62.5%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
31,2016,2016-10-16,5,24.096,KAN,@,OAK,W 26-10,,1,1,26,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
