ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1992,1992-09-13,1,23.093,NWE,@,RAM,L 0-14,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,
2,1992,1992-09-20,2,23.100,NWE,,SEA,L 6-10,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
3,1992,1992-09-27,3,23.107,NWE,,BUF,L 7-41,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,0,0,,0,0,
4,1992,1992-10-04,4,23.114,NWE,@,NYJ,L 21-30,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,,,,,,1,11,11.00,0,0,0
5,1992,1992-10-11,5,23.121,NWE,,SFO,L 12-24,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,0,0,,0,0,
6,1992,1992-10-18,6,23.128,NWE,@,MIA,L 17-38,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
7,1992,1992-10-25,7,23.135,NWE,,CLE,L 17-19,,3,2,31,15.50,1,66.7%,10.33,2,5,2.50,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
8,1992,1992-11-01,8,23.142,NWE,@,BUF,L 7-16,,,0,0,,0,0.0%,,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1992,1992-11-08,9,23.149,NWE,,NOR,L 14-31,,,0,0,,0,0.0%,,1,11,11.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
10,1992,1992-11-15,10,23.156,NWE,@,IND,W 37-34,,1,1,-1,-1.00,0,100.0%,-1.00,4,15,3.75,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
11,1992,1992-11-22,11,23.163,NWE,,NYJ,W 24-3,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,
12,1992,1992-11-29,12,23.170,NWE,@,ATL,L 0-34,,,0,0,,0,0.0%,,2,10,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
13,1992,1992-12-06,13,23.177,NWE,,IND,L 0-6,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,
14,1992,1992-12-13,14,23.184,NWE,@,KAN,L 20-27,,2,1,6,6.00,1,50.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
15,1992,1992-12-20,15,23.191,NWE,@,CIN,L 10-20,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,
16,1992,1992-12-27,16,23.198,NWE,,MIA,L 13-16,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,
17,1993,1993-09-05,1,24.085,NWE,@,BUF,L 14-38,,,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
18,1993,1993-09-12,2,24.092,NWE,,DET,L 16-19,,2,2,-4,-2.00,0,100.0%,-2.00,1,11,11.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
