ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,23.033,NYJ,@,SFO,L 30-36,,0,0,,0,0,0,1,34,0
2,1998,1998-09-20,3,23.047,NYJ,,IND,W 44-6,,,,,,,,,,
3,1998,1998-10-04,4,23.061,NYJ,,MIA,W 20-9,,,,,,,,,,
4,1998,1998-10-11,5,23.068,NYJ,@,STL,L 10-30,,,,,,,,,,
5,1998,1998-10-19,6,23.076,NYJ,@,NWE,W 24-14,,,,,,,,,,
6,1998,1998-10-25,7,23.082,NYJ,,ATL,W 28-3,,,,,,,,,,
7,1998,1998-11-01,8,23.089,NYJ,@,KAN,W 20-17,,,,,,,,,,
8,1998,1998-11-08,9,23.096,NYJ,,BUF,W 34-12,,4,78,19.50,0,0,0,0,0,0
9,1998,1998-11-15,10,23.103,NYJ,@,IND,L 23-24,,2,53,26.50,0,0,0,0,0,0
10,1998,1998-11-22,11,23.110,NYJ,@,TEN,W 24-3,,,,,,,,,,
11,1998,1998-11-29,12,23.117,NYJ,,CAR,W 48-21,,,,,,,,,,
12,1998,1998-12-13,14,23.131,NYJ,@,MIA,W 21-16,,2,45,22.50,0,0,0,0,0,0
13,1998,1998-12-19,15,23.137,NYJ,@,BUF,W 17-10,,2,38,19.00,0,0,0,0,0,0
14,1998,1998-12-27,16,23.145,NYJ,,NWE,W 31-10,,1,16,16.00,0,0,0,0,0,0
15,1999,1999-09-12,1,24.039,NYJ,,NWE,L 28-30,,1,19,19.00,0,0,0,0,0,0
16,1999,1999-09-19,2,24.046,NYJ,@,BUF,L 3-17,,1,15,15.00,0,0,0,0,0,0
17,1999,1999-09-26,3,24.053,NYJ,,WAS,L 20-27,,3,111,37.00,0,0,0,0,0,0
18,1999,1999-10-03,4,24.060,NYJ,@,DEN,W 21-13,,1,21,21.00,0,0,0,0,0,0
19,2000,2000-09-03,1,25.030,NYJ,@,GNB,W 20-16,*,,,,,,,,,
20,2000,2000-09-11,2,25.038,NYJ,,NWE,W 20-19,*,3,73,24.33,0,0,0,0,0,0
21,2000,2000-09-17,3,25.044,NYJ,,BUF,W 27-14,,2,117,58.50,1,1,6,0,0,0
22,2000,2000-09-24,4,25.051,NYJ,@,TAM,W 21-17,*,3,93,31.00,0,0,0,0,0,0
23,2000,2000-10-08,5,25.065,NYJ,,PIT,L 3-20,,2,47,23.50,0,0,0,0,0,0
24,2000,2000-10-15,6,25.072,NYJ,@,NWE,W 34-17,*,3,66,22.00,0,0,0,0,0,0
25,2000,2000-10-23,7,25.080,NYJ,,MIA,W 40-37,*,6,113,18.83,0,0,0,0,0,0
26,2000,2000-10-29,8,25.086,NYJ,@,BUF,L 20-23,,2,42,21.00,0,0,0,0,0,0
27,2000,2000-11-05,9,25.093,NYJ,,DEN,L 23-30,,,,,,,,,,
28,2000,2000-12-17,15,25.135,MIA,,IND,L 13-20,,1,24,24.00,0,0,0,0,0,0
29,2000,2000-12-24,16,25.142,MIA,@,NWE,W 27-24,,2,40,20.00,0,0,0,0,0,0
30,2002,2002-09-08,1,27.035,HOU,,DAL,W 19-10,,,,,,,,,,
31,2002,2002-09-15,2,27.042,HOU,@,SDG,L 3-24,,,,,,,,,,
32,2002,2002-09-22,3,27.049,HOU,,IND,L 3-23,,,,,,,,,,
33,2002,2002-10-27,7,27.084,HOU,@,JAX,W 21-19,,,,,,,,,,
34,2002,2002-11-03,8,27.091,HOU,,CIN,L 3-38,,,,,,,,,,
35,2002,2002-11-10,9,27.098,HOU,@,TEN,L 10-17,,,,,,,,,,
36,2002,2002-11-17,10,27.105,HOU,,JAX,L 21-24,,,,,,,,,,
37,2002,2002-11-24,11,27.112,HOU,,NYG,W 16-14,,,,,,,,,,
38,2002,2002-12-01,12,27.119,HOU,@,IND,L 3-19,,,,,,,,,,
39,2002,2002-12-08,13,27.126,HOU,@,PIT,W 24-6,,,,,,,,,,
40,2002,2002-12-15,14,27.133,HOU,,BAL,L 19-23,,,,,,,,,,
41,2002,2002-12-22,15,27.140,HOU,@,WAS,L 10-26,,,,,,,,,,
42,2002,2002-12-29,16,27.147,HOU,,TEN,L 3-13,,,,,,,,,,
