ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1968,1968-09-29,3,21.321,PHI,,DAL,L 13-45,1,-4,-4.00,0,0,0,,0,0,0,,0,0,0
2,1968,1968-10-13,5,21.335,PHI,@,DAL,L 14-34,3,43,14.33,0,0,0,,0,0,0,,0,0,0
3,1968,1968-10-20,6,21.342,PHI,,CHI,L 16-29,8,6,0.75,0,6,99,16.50,0,0,0,,0,0,0
4,1968,1968-11-10,9,21.363,PHI,,WAS,L 10-16,8,28,3.50,0,2,21,10.50,0,0,0,,0,0,0
5,1968,1968-11-17,10,22.004,PHI,@,NYG,L 6-7,5,14,2.80,0,3,24,8.00,0,0,0,,0,0,0
6,1968,1968-11-24,11,22.011,PHI,@,CLE,L 13-47,4,9,2.25,0,3,14,4.67,0,0,0,,0,0,0
7,1968,1968-11-28,12,22.015,PHI,@,DET,W 12-0,6,9,1.50,0,1,4,4.00,0,0,0,,0,0,0
8,1968,1968-12-15,14,22.032,PHI,,MIN,L 17-24,5,12,2.40,0,1,4,4.00,0,0,0,,0,0,0
9,1969,1969-09-28,2,22.319,PHI,,PIT,W 41-27,5,27,5.40,0,1,1,1.00,0,0,0,,0,0,0
10,1969,1969-10-05,3,22.326,PHI,,DAL,L 7-38,2,7,3.50,0,0,0,,0,0,0,,0,0,0
11,1969,1969-10-13,4,22.334,PHI,@,BAL,L 20-24,4,1,0.25,0,3,20,6.67,0,2,23,11.50,0,0,0
12,1969,1969-10-19,5,22.340,PHI,@,DAL,L 14-49,1,11,11.00,0,1,2,2.00,0,2,33,16.50,0,0,0
13,1969,1969-11-23,10,23.010,PHI,@,STL,W 34-30,1,1,1.00,0,1,6,6.00,0,0,0,,0,0,0
14,1969,1969-11-30,11,23.017,PHI,@,NOR,L 17-26,8,73,9.13,0,3,10,3.33,0,0,0,,0,0,0
15,1969,1969-12-07,12,23.024,PHI,,WAS,L 29-34,0,0,,0,1,20,20.00,0,0,0,,0,0,0
16,1969,1969-12-14,13,23.031,PHI,,ATL,L 3-27,14,61,4.36,0,1,7,7.00,0,0,0,,0,0,0
17,1969,1969-12-21,14,23.038,PHI,@,SFO,L 13-14,25,128,5.12,1,1,11,11.00,0,0,0,,0,1,6
18,1970,1970-09-20,1,23.311,PHI,,DAL,L 7-17,3,11,3.67,0,1,9,9.00,0,0,0,,0,0,0
19,1970,1970-09-27,2,23.318,PHI,@,CHI,L 16-20,16,27,1.69,0,3,21,7.00,0,0,0,,0,0,0
20,1970,1970-10-04,3,23.325,PHI,,WAS,L 21-33,4,68,17.00,1,1,5,5.00,0,0,0,,0,1,6
21,1970,1970-10-11,4,23.332,PHI,@,NYG,L 23-30,,,,,,,,,,,,,,
22,1970,1970-10-18,5,23.339,PHI,,STL,L 20-35,4,11,2.75,0,1,14,14.00,0,0,0,,0,0,0
23,1970,1970-10-25,6,23.346,PHI,@,GNB,L 17-30,16,74,4.63,1,0,5,,0,0,0,,0,1,6
24,1970,1970-11-01,7,23.353,PHI,@,DAL,L 17-21,20,83,4.15,0,2,33,16.50,0,0,0,,0,0,0
25,1970,1970-11-08,8,23.360,PHI,,MIA,W 24-17,23,99,4.30,0,1,7,7.00,0,0,0,,0,0,0
26,1970,1970-11-15,9,24.002,PHI,,ATL,T 13-13,9,28,3.11,0,8,79,9.88,0,0,0,,0,0,0
27,1970,1970-11-23,10,24.010,PHI,,NYG,W 23-20,19,89,4.68,0,3,25,8.33,0,0,0,,0,0,0
28,1970,1970-11-29,11,24.016,PHI,@,STL,L 14-23,6,27,4.50,0,0,0,,0,0,0,,0,0,0
29,1970,1970-12-06,12,24.023,PHI,@,BAL,L 10-29,15,51,3.40,0,3,15,5.00,0,0,0,,0,0,0
30,1970,1970-12-13,13,24.030,PHI,@,WAS,L 6-24,18,36,2.00,0,4,27,6.75,0,0,0,,0,0,0
31,1970,1970-12-20,14,24.037,PHI,,PIT,W 30-20,13,53,4.08,0,1,9,9.00,0,0,0,,0,0,0
32,1971,1971-09-26,2,24.317,CHI,@,MIN,W 20-17,3,3,1.00,0,2,8,4.00,0,0,0,,0,0,0
33,1971,1971-10-03,3,24.324,CHI,@,RAM,L 3-17,4,28,7.00,0,1,3,3.00,0,0,0,,0,0,0
34,1971,1971-10-10,4,24.331,CHI,,NOR,W 35-14,11,65,5.91,0,1,9,9.00,0,0,0,,0,0,0
35,1971,1971-10-17,5,24.338,CHI,@,SFO,L 0-13,5,7,1.40,0,1,-1,-1.00,0,0,0,,0,0,0
36,1971,1971-10-24,6,24.345,CHI,@,DET,W 28-23,7,45,6.43,0,2,2,1.00,0,0,0,,0,0,0
37,1971,1971-10-31,7,24.352,CHI,,DAL,W 23-19,1,5,5.00,0,0,0,,0,0,0,,0,0,0
38,1971,1971-11-14,9,25.001,CHI,,WAS,W 16-15,6,72,12.00,1,0,0,,0,0,0,,0,1,6
39,1971,1971-11-21,10,25.008,CHI,,DET,L 3-28,12,44,3.67,0,0,0,,0,0,0,,0,0,0
40,1971,1971-11-29,11,25.016,CHI,@,MIA,L 3-34,5,17,3.40,0,3,30,10.00,0,0,0,,0,0,0
41,1971,1971-12-05,12,25.022,CHI,@,DEN,L 3-6,5,9,1.80,0,0,0,,0,0,0,,0,0,0
42,1971,1971-12-12,13,25.029,CHI,@,GNB,L 10-31,4,16,4.00,0,0,0,,0,0,0,,0,0,0
43,1971,1971-12-19,14,25.036,CHI,,MIN,L 10-27,,,,,,,,,,,,,,
44,1972,1972-09-17,1,25.309,CHI,,ATL,L 21-37,7,23,3.29,0,0,0,,0,0,0,,0,0,0
45,1972,1972-09-24,2,25.316,CHI,,RAM,T 13-13,4,6,1.50,0,0,0,,0,0,0,,0,0,0
46,1972,1972-10-01,3,25.323,CHI,,DET,L 24-38,9,40,4.44,1,1,13,13.00,0,0,0,,0,1,6
47,1972,1972-10-08,4,25.330,CHI,@,GNB,L 17-20,16,52,3.25,1,0,0,,0,0,0,,0,1,6
48,1972,1972-10-15,5,25.337,CHI,@,CLE,W 17-0,10,36,3.60,0,0,0,,0,0,0,,0,0,0
49,1972,1972-10-23,6,25.345,CHI,,MIN,W 13-10,11,26,2.36,0,0,0,,0,0,0,,0,0,0
50,1972,1972-10-29,7,25.351,CHI,@,STL,W 27-10,6,18,3.00,0,0,0,,0,0,0,,0,0,0
51,1972,1972-11-05,8,25.358,CHI,@,DET,L 0-14,,,,,,,,,,,,,,
52,1972,1972-11-12,9,25.365,CHI,,GNB,L 17-23,1,4,4.00,1,0,0,,0,0,0,,0,1,6
53,1972,1972-11-19,10,26.006,CHI,,SFO,L 21-34,,,,,,,,,,,,,,
54,1972,1972-12-03,12,26.020,CHI,@,MIN,L 10-23,2,9,4.50,0,0,0,,0,1,14,14.00,0,0,0
55,1972,1972-12-10,13,26.027,CHI,@,PHI,W 21-12,19,86,4.53,0,0,0,,0,0,0,,0,0,0
56,1972,1972-12-17,14,26.034,CHI,@,OAK,L 21-28,2,0,0.00,0,0,0,,0,0,0,,0,0,0
57,1973,1973-11-04,8,26.356,DAL,,CIN,W 38-10,1,3,3.00,0,0,0,,0,0,0,,0,0,0
58,1973,1973-11-11,9,26.363,DAL,@,NYG,W 23-10,4,2,0.50,0,0,0,,0,0,0,,0,0,0
59,1973,1973-11-18,10,27.005,DAL,,PHI,W 31-10,,,,,,,,,,,,,,
60,1973,1973-12-02,12,27.019,DAL,@,DEN,W 22-10,,,,,,,,,,,,,,
61,1973,1973-12-16,14,27.033,DAL,@,STL,W 30-3,7,10,1.43,0,0,0,,0,0,0,,0,0,0
