ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1984,1984-09-02,1,22.045,SDG,@,MIN,W 42-13,0,0,,0,,,,,,
2,1984,1984-09-09,2,22.052,SDG,@,SEA,L 17-31,0,0,,0,,,,,,
3,1984,1984-09-16,3,22.059,SDG,,HOU,W 31-14,0,0,,0,,,,,,
4,1984,1984-09-24,4,22.067,SDG,@,RAI,L 30-33,0,0,,0,,,,,,
5,1984,1984-09-30,5,22.073,SDG,,DET,W 27-24,0,0,,0,,,,,,
6,1984,1984-10-07,6,22.080,SDG,@,GNB,W 34-28,0,0,,0,,,,,,
7,1984,1984-10-14,7,22.087,SDG,@,KAN,L 13-31,0,0,,0,,,,,,
8,1984,1984-10-21,8,22.094,SDG,,RAI,L 37-44,2,47,23.50,0,0,0,,0,0,0
9,1984,1984-10-29,9,22.102,SDG,,SEA,L 0-24,4,48,12.00,0,0,0,,0,0,0
10,1984,1984-11-04,10,22.108,SDG,@,IND,W 38-10,3,44,14.67,0,0,0,,0,0,0
11,1984,1984-11-11,11,22.115,SDG,,DEN,L 13-16,1,9,9.00,0,0,0,,0,0,0
12,1984,1984-11-18,12,22.122,SDG,,MIA,W 34-28,0,0,,0,,,,,,
13,1984,1984-11-25,13,22.129,SDG,@,PIT,L 24-52,2,13,6.50,0,0,0,,0,0,0
14,1984,1984-12-03,14,22.137,SDG,,CHI,W 20-7,0,0,,0,,,,,,
15,1984,1984-12-09,15,22.143,SDG,@,DEN,L 13-16,3,44,14.67,0,0,0,,0,0,0
16,1984,1984-12-16,16,22.150,SDG,,KAN,L 21-42,1,8,8.00,0,0,0,,0,0,0
17,1985,1985-09-08,1,23.051,SDG,@,BUF,W 14-9,0,0,,0,0,0,,0,,
18,1985,1985-09-15,2,23.058,SDG,,SEA,L 35-49,1,7,7.00,0,0,0,,0,0,0
19,1985,1985-09-22,3,23.065,SDG,@,CIN,W 44-41,3,32,10.67,0,0,0,,0,0,0
20,1985,1985-09-29,4,23.072,SDG,,CLE,L 7-21,2,77,38.50,1,0,0,,0,1,6
21,1985,1985-10-06,5,23.079,SDG,@,SEA,L 21-26,0,0,,0,0,0,,0,,
22,1985,1985-10-13,6,23.086,SDG,,KAN,W 31-20,0,0,,0,0,0,,0,,
23,1985,1985-10-20,7,23.093,SDG,@,MIN,L 17-21,0,0,,0,1,2,2.00,0,0,0
24,1985,1985-10-28,8,23.101,SDG,@,RAI,L 21-34,3,29,9.67,1,0,0,,0,1,6
25,1985,1985-11-03,9,23.107,SDG,,DEN,W 30-10,0,0,,0,0,0,,0,,
26,1985,1985-11-10,10,23.114,SDG,,RAI,W 40-34,0,0,,0,0,0,,0,,
27,1985,1985-11-17,11,23.121,SDG,@,DEN,L 24-30,0,0,,0,0,0,,0,,
28,1985,1985-11-24,12,23.128,SDG,@,HOU,L 35-37,0,0,,0,0,0,,0,,
29,1985,1985-12-01,13,23.135,SDG,,BUF,W 40-7,0,0,,0,0,0,,0,,
30,1985,1985-12-08,14,23.142,SDG,,PIT,W 54-44,0,0,,0,0,0,,0,,
31,1985,1985-12-15,15,23.149,SDG,,PHI,W 20-14,0,0,,0,0,0,,0,,
32,1985,1985-12-22,16,23.156,SDG,@,KAN,L 34-38,2,11,5.50,0,0,0,,0,0,0
33,1987,1987-10-04,3,25.077,PHI,,CHI,L 3-35,,,,,,,,,,
34,1987,1987-10-11,4,25.084,PHI,@,DAL,L 22-41,,,,,,,,,,
35,1987,1987-10-18,5,25.091,PHI,@,GNB,L 10-16,,,,,,,,,,
