ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2012,2012-09-09,1,22.150,STL,@,DET,L 23-27,,2,20,10.00,0,0,0,0,,0,0.0%,,,0,0
2,2012,2012-09-16,2,22.157,STL,,WAS,W 31-28,,15,83,5.53,0,3,2,19,9.50,0,66.7%,6.33,1,0,2
3,2012,2012-09-23,3,22.164,STL,@,CHI,L 6-23,,4,16,4.00,0,1,1,4,4.00,0,100.0%,4.00,,0,0
4,2012,2012-09-30,4,22.171,STL,,SEA,W 19-13,,6,16,2.67,0,3,2,13,6.50,0,66.7%,4.33,,0,0
5,2012,2012-10-04,5,22.175,STL,,ARI,W 17-3,,9,35,3.89,0,2,0,0,,0,0.0%,0.00,,0,0
6,2012,2012-10-14,6,22.185,STL,@,MIA,L 14-17,,11,76,6.91,0,3,2,23,11.50,0,66.7%,7.67,,0,0
7,2012,2012-10-21,7,22.192,STL,,GNB,L 20-30,,8,36,4.50,0,3,3,43,14.33,0,100.0%,14.33,,0,0
8,2012,2012-10-28,8,22.199,STL,,NWE,L 7-45,,7,53,7.57,0,4,4,-3,-0.75,0,100.0%,-0.75,,0,0
9,2012,2012-11-11,9,22.213,STL,@,SFO,T 24-24,,7,58,8.29,0,2,1,0,0.00,0,50.0%,0.00,,0,0
10,2012,2012-11-18,10,22.220,STL,,NYJ,L 13-27,,6,26,4.33,0,3,1,18,18.00,0,33.3%,6.00,,0,0
11,2012,2012-11-25,11,22.227,STL,@,ARI,W 31-17,,7,32,4.57,0,0,0,0,,0,0.0%,,,0,0
12,2012,2012-12-02,12,22.234,STL,,SFO,W 16-13,,3,6,2.00,0,3,3,7,2.33,0,100.0%,2.33,,0,0
13,2012,2012-12-09,13,22.241,STL,@,BUF,W 15-12,,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0
14,2012,2012-12-16,14,22.248,STL,,MIN,L 22-36,,3,5,1.67,0,6,3,25,8.33,0,50.0%,4.17,,0,0
15,2012,2012-12-23,15,22.255,STL,@,TAM,W 28-13,,5,9,1.80,0,1,0,0,,0,0.0%,0.00,,0,0
16,2012,2012-12-30,16,22.262,STL,@,SEA,L 13-20,,2,0,0.00,0,2,2,14,7.00,0,100.0%,7.00,,0,0
17,2013,2013-09-08,1,23.149,STL,,ARI,W 27-24,*,20,63,3.15,0,6,5,33,6.60,0,83.3%,5.50,,0,0
18,2013,2013-09-15,2,23.156,STL,@,ATL,L 24-31,*,10,35,3.50,0,6,5,45,9.00,0,83.3%,7.50,,0,0
19,2013,2013-09-22,3,23.163,STL,@,DAL,L 7-31,,,,,,,,,,,0.0%,,,,
20,2013,2013-09-26,4,23.167,STL,,SFO,L 11-35,*,12,16,1.33,0,2,1,8,8.00,0,50.0%,4.00,,0,0
21,2013,2013-10-06,5,23.177,STL,,JAX,W 34-20,,13,48,3.69,0,1,0,0,,0,0.0%,0.00,,0,0
22,2013,2013-10-13,6,23.184,STL,@,HOU,W 38-13,,3,5,1.67,0,1,1,18,18.00,0,100.0%,18.00,,0,0
23,2013,2013-10-20,7,23.191,STL,@,CAR,L 15-30,,3,9,3.00,0,1,1,9,9.00,0,100.0%,9.00,,0,0
24,2013,2013-10-28,8,23.199,STL,,SEA,L 9-14,,8,39,4.88,0,1,1,8,8.00,0,100.0%,8.00,,0,0
25,2016,2016-09-12,1,26.153,PIT,@,WAS,W 38-16,,0,0,,0,0,0,0,,0,0.0%,,,0,0
26,2016,2016-09-18,2,26.159,PIT,,CIN,W 24-16,,1,6,6.00,0,0,0,0,,0,0.0%,,,0,0
27,2016,2016-09-25,3,26.166,PIT,@,PHI,L 3-34,,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0
