ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1969,1969-09-21,1,23.045,MIN,@,NYG,L 23-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,220,36.67,0
2,1969,1969-09-28,2,23.052,MIN,,BAL,W 52-14,,4,6,66.67,35,0,0,81.9,0,0,5.83,5.83,0,0,,0,0,0,3,120,40.00,0
3,1969,1969-10-05,3,23.059,MIN,,GNB,W 19-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,195,39.00,0
4,1969,1969-10-12,4,23.066,MIN,@,CHI,W 31-0,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,187,37.40,0
5,1969,1969-10-19,5,23.073,MIN,@,STL,W 27-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,242,40.33,0
6,1969,1969-10-26,6,23.080,MIN,,DET,W 24-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,304,38.00,0
7,1969,1969-11-02,7,23.087,MIN,,CHI,W 31-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,169,42.25,0
8,1969,1969-11-09,8,23.094,MIN,,CLE,W 51-3,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,5,5.00,0,0,0,1,47,47.00,0
9,1969,1969-11-16,9,23.101,MIN,@,GNB,W 9-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,284,47.33,0
10,1969,1969-11-23,10,23.108,MIN,,PIT,W 52-14,,3,4,75.00,44,1,0,150.0,0,0,11.00,16.00,0,0,,0,0,0,3,139,46.33,0
11,1969,1969-11-27,11,23.112,MIN,@,DET,W 27-0,,0,0,,0,0,0,,0,0,,,1,7,7.00,0,0,0,3,136,45.33,0
12,1969,1969-12-07,12,23.122,MIN,@,RAM,W 20-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,275,39.29,0
13,1969,1969-12-14,13,23.129,MIN,,SFO,W 10-7,,0,0,,0,0,0,,0,0,,,1,-3,-3.00,0,0,0,6,219,36.50,0
14,1969,1969-12-21,14,23.136,MIN,@,ATL,L 3-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,143,35.75,0
15,1970,1970-10-11,4,24.065,MIN,@,CHI,W 24-0,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,0,,0
