ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1974,1974-09-15,1,23.079,STL,,PHI,W 7-3,,,,
2,1974,1974-09-22,2,23.086,STL,@,WAS,W 17-10,,,,
3,1974,1974-09-29,3,23.093,STL,,CLE,W 29-7,,,,
4,1974,1974-10-06,4,23.100,STL,@,SFO,W 34-9,,,,
5,1974,1974-10-13,5,23.107,STL,,DAL,W 31-28,1,1,1.00,0
6,1974,1974-10-20,6,23.114,STL,@,HOU,W 31-27,,,,
7,1974,1974-10-27,7,23.121,STL,,WAS,W 23-20,,,,
8,1974,1974-11-03,8,23.128,STL,@,DAL,L 14-17,,,,
9,1974,1974-11-11,9,23.136,STL,,MIN,L 24-28,,,,
10,1974,1974-11-17,10,23.142,STL,@,PHI,W 13-3,,,,
11,1974,1974-11-24,11,23.149,STL,@,NYG,W 23-21,,,,
12,1974,1974-12-01,12,23.156,STL,,KAN,L 13-17,,,,
13,1974,1974-12-08,13,23.163,STL,@,NOR,L 0-14,,,,
14,1974,1974-12-15,14,23.170,STL,,NYG,W 26-14,,,,
