ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-05,1,21.121,NYG,,DAL,L 17-24,,,,,,,0.0%,,,,,,,,,,
2,2012,2012-09-16,2,21.132,NYG,,TAM,W 41-34,,0,0,0,,0,0.0%,,2,23,11.50,0,0,0,0.0,0,0
3,2012,2012-09-20,3,21.136,NYG,@,CAR,W 36-7,,3,1,4,4.00,0,33.3%,1.33,1,6,6.00,0,0,0,0.0,0,0
4,2012,2012-09-30,4,21.146,NYG,@,PHI,L 17-19,,1,0,0,,0,0.0%,0.00,3,29,9.67,0,0,0,0.0,0,0
5,2012,2012-10-07,5,21.153,NYG,,CLE,W 41-27,,9,6,82,13.67,0,66.7%,9.11,1,8,8.00,0,0,0,0.0,0,0
6,2012,2012-10-14,6,21.160,NYG,@,SFO,W 26-3,,0,0,0,,0,0.0%,,2,2,1.00,0,0,0,0.0,0,0
7,2012,2012-10-21,7,21.167,NYG,,WAS,W 27-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
8,2012,2012-10-28,8,21.174,NYG,@,DAL,W 29-24,,2,2,68,34.00,0,100.0%,34.00,1,1,1.00,0,0,0,0.0,0,0
9,2012,2012-11-04,9,21.181,NYG,,PIT,L 20-24,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
10,2012,2012-11-11,10,21.188,NYG,@,CIN,L 13-31,,2,2,4,2.00,0,100.0%,2.00,2,28,14.00,0,0,0,0.0,0,0
11,2012,2012-11-25,11,21.202,NYG,,GNB,W 38-10,,2,2,26,13.00,1,100.0%,13.00,1,0,0.00,0,1,6,0.0,0,0
12,2012,2012-12-03,12,21.210,NYG,@,WAS,L 16-17,,2,1,13,13.00,0,50.0%,6.50,2,11,5.50,0,0,0,0.0,0,0
13,2012,2012-12-09,13,21.216,NYG,,NOR,W 52-27,,,,,,,0.0%,,,,,,,,,,
14,2012,2012-12-16,14,21.223,NYG,@,ATL,L 0-34,,,,,,,0.0%,,,,,,,,,,
15,2012,2012-12-23,15,21.230,NYG,@,BAL,L 14-33,,4,1,43,43.00,0,25.0%,10.75,0,0,,0,0,0,0.0,0,0
16,2012,2012-12-30,16,21.237,NYG,,PHI,W 42-7,*,4,4,58,14.50,2,100.0%,14.50,0,0,,0,2,12,0.0,0,0
17,2013,2013-09-08,1,22.124,NYG,@,DAL,L 31-36,,6,5,101,20.20,0,83.3%,16.83,4,20,5.00,0,0,0,0.0,0,0
