ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1987,1987-10-04,3,22.224,DAL,@,NYJ,W 38-24,3,46,15.33,1,0,0,,0,1,13,13.00,0,1,6
2,1987,1987-10-11,4,22.231,DAL,,PHI,W 41-22,3,110,36.67,1,0,0,,0,2,9,4.50,0,1,6
3,1987,1987-10-19,5,22.239,DAL,,WAS,L 7-13,1,12,12.00,0,0,0,,0,2,7,3.50,0,0,0
4,1988,1988-10-16,7,23.237,DAL,@,CHI,L 7-17,0,0,,0,0,0,,0,,,,,,
5,1988,1988-10-23,8,23.244,DAL,@,PHI,L 23-24,0,0,,0,2,36,18.00,0,0,0,,0,0,0
6,1988,1988-10-30,9,23.251,DAL,,PHO,L 10-16,0,0,,0,2,29,14.50,0,0,0,,0,0,0
7,1988,1988-11-06,10,23.258,DAL,@,NYG,L 21-29,0,0,,0,2,32,16.00,0,0,0,,0,0,0
8,1988,1988-11-13,11,23.265,DAL,,MIN,L 3-43,0,0,,0,5,130,26.00,0,0,0,,0,0,0
9,1988,1988-11-20,12,23.272,DAL,,CIN,L 24-38,0,0,,0,3,87,29.00,0,0,0,,0,0,0
10,1988,1988-11-24,13,23.276,DAL,,HOU,L 17-25,0,0,,0,4,112,28.00,0,0,0,,0,0,0
11,1988,1988-12-04,14,23.286,DAL,@,CLE,L 21-24,1,41,41.00,0,2,22,11.00,0,0,0,,0,0,0
12,1988,1988-12-11,15,23.293,DAL,@,WAS,W 24-17,0,0,,0,0,0,,0,,,,,,
13,1988,1988-12-18,16,23.300,DAL,,PHI,L 7-23,1,9,9.00,0,0,0,,0,0,0,,0,0,0
14,1989,1989-09-10,1,24.200,DAL,@,NOR,L 0-28,0,0,,0,3,55,18.33,0,0,0,,0,0,0
15,1989,1989-09-17,2,24.207,DAL,@,ATL,L 21-27,0,0,,0,0,0,,0,0,0,,0,,
16,1989,1989-11-05,9,24.256,DAL,@,WAS,W 13-3,0,0,,0,0,0,,0,0,0,,0,,
17,1989,1989-11-12,10,24.263,DAL,@,PHO,L 20-24,0,0,,0,0,0,,0,0,0,,0,,
18,1989,1989-11-19,11,24.270,DAL,,MIA,L 14-17,2,18,9.00,0,0,0,,0,0,0,,0,0,0
19,1989,1989-11-23,12,24.274,DAL,,PHI,L 0-27,0,0,,0,0,0,,0,0,0,,0,,
20,1989,1989-12-03,13,24.284,DAL,,RAM,L 31-35,7,64,9.14,0,0,0,,0,1,0,0.00,0,0,0
21,1989,1989-12-10,14,24.291,DAL,@,PHI,L 10-20,1,6,6.00,0,0,0,,0,1,0,0.00,0,0,0
22,1989,1989-12-16,15,24.297,DAL,@,NYG,L 0-15,2,22,11.00,0,0,0,,0,1,5,5.00,0,0,0
23,1989,1989-12-24,16,24.305,DAL,,GNB,L 10-20,5,24,4.80,0,0,0,,0,0,0,,0,0,0
