ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2016,2016-09-11,1,21.356,KAN,,SDG,W 33-27,,0,0,0,,0,0.0%,,0,0,,0,0,0
2,2016,2016-09-18,2,21.363,KAN,@,HOU,L 12-19,,0,0,0,,0,0.0%,,0,0,,0,0,0
3,2016,2016-09-25,3,22.004,KAN,,NYJ,W 24-3,,0,0,0,,0,0.0%,,0,0,,0,0,0
4,2016,2016-10-02,4,22.011,KAN,@,PIT,L 14-43,,0,0,0,,0,0.0%,,0,0,,0,0,0
5,2016,2016-10-16,5,22.025,KAN,@,OAK,W 26-10,,0,0,0,,0,0.0%,,0,0,,0,0,0
6,2016,2016-10-23,6,22.032,KAN,,NOR,W 27-21,,0,0,0,,0,0.0%,,0,0,,0,0,0
7,2016,2016-10-30,7,22.039,KAN,@,IND,W 30-14,,0,0,0,,0,0.0%,,0,0,,0,0,0
8,2016,2016-11-06,8,22.046,KAN,,JAX,W 19-14,,0,0,0,,0,0.0%,,0,0,,0,0,0
9,2016,2016-11-13,9,22.053,KAN,@,CAR,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0,0
10,2016,2016-11-20,10,22.060,KAN,,TAM,L 17-19,,0,0,0,,0,0.0%,,0,0,,0,0,0
11,2016,2016-11-27,11,22.067,KAN,@,DEN,W 30-27,,0,0,0,,0,0.0%,,0,0,,0,0,0
12,2016,2016-12-04,12,22.074,KAN,@,ATL,W 29-28,,0,0,0,,0,0.0%,,0,0,,0,0,0
13,2016,2016-12-08,13,22.078,KAN,,OAK,W 21-13,,0,0,0,,0,0.0%,,0,0,,0,0,0
14,2016,2016-12-18,14,22.088,KAN,,TEN,L 17-19,,0,0,0,,0,0.0%,,0,0,,0,0,0
15,2016,2016-12-25,15,22.095,KAN,,DEN,W 33-10,,0,0,0,,0,0.0%,,0,0,,0,0,0
16,2016,2017-01-01,16,22.102,KAN,@,SDG,W 37-27,,0,0,0,,0,0.0%,,0,0,,0,0,0
17,2017,2017-09-07,1,22.351,KAN,@,NWE,W 42-27,,0,0,0,,0,0.0%,,0,0,,0,0,0
18,2017,2017-09-17,2,22.361,KAN,,PHI,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,0,0
19,2017,2017-09-24,3,23.003,KAN,@,LAC,W 24-10,,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0
20,2017,2017-10-02,4,23.011,KAN,,WAS,W 29-20,,0,0,0,,0,0.0%,,0,0,,0,0,0
21,2017,2017-10-08,5,23.017,KAN,@,HOU,W 42-34,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0
22,2017,2017-10-15,6,23.024,KAN,,PIT,L 13-19,*,5,1,16,16.00,0,20.0%,3.20,0,0,,0,0,0
23,2017,2017-10-19,7,23.028,KAN,@,OAK,L 30-31,*,8,5,69,13.80,0,62.5%,8.63,0,0,,0,0,0
24,2017,2017-10-30,8,23.039,KAN,,DEN,W 29-19,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
25,2017,2017-11-05,9,23.045,KAN,@,DAL,L 17-28,*,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0
26,2017,2017-11-19,10,23.059,KAN,@,NYG,L 9-12,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0
27,2017,2017-11-26,11,23.066,KAN,,BUF,L 10-16,*,4,2,24,12.00,0,50.0%,6.00,0,0,,0,0,0
28,2017,2017-12-03,12,23.073,KAN,@,NYJ,L 31-38,*,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0
29,2017,2017-12-10,13,23.080,KAN,,OAK,W 26-15,,0,0,0,,0,0.0%,,0,0,,0,0,0
30,2017,2017-12-16,14,23.086,KAN,,LAC,W 30-13,,0,0,0,,0,0.0%,,0,0,,0,0,0
31,2017,2017-12-24,15,23.094,KAN,,MIA,W 29-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0
32,2017,2017-12-31,16,23.101,KAN,@,DEN,W 27-24,*,10,4,31,7.75,0,40.0%,3.10,1,-4,-4.00,0,0,0
33,2018,2018-09-09,1,23.353,KAN,@,LAC,W 38-28,,0,0,0,,0,0.0%,,0,0,,0,0,0
34,2018,2018-09-16,2,23.360,KAN,@,PIT,W 42-37,,1,1,3,3.00,1,100.0%,3.00,0,0,,0,1,6
35,2018,2018-09-23,3,24.002,KAN,,SFO,W 38-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
