ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1976,1976-09-26,3,27.098,CLE,@,DEN,L 13-44,,2,6,33.33,24,0,0,46.5,0,0,4.00,4.00,0,0,,0,1,54,54.00,0
2,1976,1976-10-10,5,27.112,CLE,,PIT,W 18-16,,5,9,55.56,70,0,0,80.8,0,0,7.78,7.78,3,14,4.67,0,0,0,,0
3,1976,1976-11-14,10,27.147,CLE,,PHI,W 24-3,,2,4,50.00,7,0,0,56.2,0,0,1.75,1.75,1,0,0.00,0,0,0,,0
4,1976,1976-12-12,14,27.175,CLE,@,KAN,L 14-39,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,1,0,0.00,0,1,37,37.00,0
5,1977,1977-10-02,3,28.104,CLE,,PIT,L 14-28,,1,3,33.33,4,0,2,2.8,0,0,1.33,-28.67,0,0,,0,0,0,,0
6,1977,1977-10-30,7,28.132,CLE,,KAN,W 44-7,,4,6,66.67,28,1,0,116.7,0,0,4.67,8.00,0,0,,0,0,0,,0
7,1977,1977-11-13,9,28.146,CLE,@,PIT,L 31-35,,17,32,53.13,269,3,2,86.6,0,0,8.41,7.47,1,2,2.00,0,0,0,,0
8,1977,1977-11-20,10,28.153,CLE,@,NYG,W 21-7,*,13,24,54.17,138,1,1,67.7,0,0,5.75,4.71,0,0,,0,0,0,,0
9,1977,1977-11-27,11,28.160,CLE,,RAM,L 0-9,*,10,18,55.56,96,0,2,31.0,0,0,5.33,0.33,2,1,0.50,0,0,0,,0
10,1977,1977-12-04,12,28.167,CLE,@,SDG,L 14-37,*,19,30,63.33,228,1,1,83.8,0,0,7.60,6.77,1,-1,-1.00,0,0,0,,0
11,1977,1977-12-11,13,28.174,CLE,,HOU,L 15-19,*,3,8,37.50,34,0,2,11.5,0,0,4.25,-7.00,0,0,,0,0,0,,0
12,1978,1978-10-29,9,29.131,BUF,@,CLE,L 20-41,,4,15,26.67,39,1,0,61.8,0,0,2.60,3.93,0,0,,0,0,0,,0
