ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2012,2012-11-04,8,23.136,IND,,MIA,W 23-20,,,,,,,0.0%,,,,,,,,
2,2012,2012-11-08,9,23.140,IND,@,JAX,W 27-10,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0.0,0,0
3,2012,2012-11-18,10,23.150,IND,@,NWE,L 24-59,,0,0,0,,0,0.0%,,1,5,5.00,0,0.0,0,0
4,2012,2012-11-25,11,23.157,IND,,BUF,W 20-13,*,,,,,,0.0%,,,,,,,,
5,2012,2012-12-09,13,23.171,IND,,TEN,W 27-23,,,0,0,,0,0.0%,,0,0,,0,0.0,2,0
6,2013,2013-10-06,5,24.107,IND,,SEA,W 34-28,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0.0,0,1
7,2014,2014-09-08,1,25.079,ARI,,SDG,W 18-17,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
8,2014,2014-09-14,2,25.085,ARI,@,NYG,W 25-14,,1,0,0,,0,0.0%,0.00,1,2,2.00,0,0.0,2,0
9,2014,2014-09-21,3,25.092,ARI,,SFO,W 23-14,,,,,,,0.0%,,,,,,,,
10,2014,2014-10-05,4,25.106,ARI,@,DEN,L 20-41,*,0,0,0,,0,0.0%,,1,0,0.00,0,0.0,0,0
11,2014,2014-10-12,5,25.113,ARI,,WAS,W 30-20,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
12,2014,2014-10-19,6,25.120,ARI,@,OAK,W 24-13,,,,,,,0.0%,,,,,,,,
13,2014,2014-10-26,7,25.127,ARI,,PHI,W 24-20,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0.0,0,0
14,2014,2014-11-02,8,25.134,ARI,@,DAL,W 28-17,*,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0.0,0,0
15,2014,2014-11-09,9,25.141,ARI,,STL,W 31-14,,,,,,,0.0%,,,,,,,,
16,2014,2014-11-16,10,25.148,ARI,,DET,W 14-6,,1,1,49,49.00,0,100.0%,49.00,1,2,2.00,0,0.0,0,0
17,2014,2014-11-23,11,25.155,ARI,@,SEA,L 3-19,*,0,0,0,,0,0.0%,,1,3,3.00,0,0.0,0,0
18,2014,2014-11-30,12,25.162,ARI,@,ATL,L 18-29,,,,,,,0.0%,,,,,,,,
19,2014,2014-12-07,13,25.169,ARI,,KAN,W 17-14,*,1,1,36,36.00,0,100.0%,36.00,1,-1,-1.00,0,0.0,0,1
20,2014,2014-12-11,14,25.173,ARI,@,STL,W 12-6,,,,,,,0.0%,,,,,,,,
21,2014,2014-12-21,15,25.183,ARI,,SEA,L 6-35,,0,0,0,,0,0.0%,,1,0,0.00,0,0.0,0,0
22,2014,2014-12-28,16,25.190,ARI,@,SFO,L 17-20,,3,1,10,10.00,0,33.3%,3.33,1,5,5.00,0,0.0,1,0
