ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1961,1961-09-17,1,23.311,PIT,@,DAL,L 24-27,0,0,1,30,0
2,1961,1961-11-05,8,23.360,PIT,@,CLE,W 17-13,0,0,1,5,0
3,1961,1961-11-12,9,24.002,PIT,,DAL,W 37-7,0,0,1,41,0
4,1962,1962-10-28,7,24.352,PIT,,CLE,L 14-41,0,0,1,18,0
5,1962,1962-11-04,8,24.359,PIT,,MIN,W 39-31,0,0,1,0,0
6,1962,1962-12-02,12,25.022,PIT,,STL,W 19-7,1,6,1,49,1
7,1962,1962-12-09,13,25.029,PIT,@,PHI,W 26-17,0,0,1,12,0
8,1962,1962-12-16,14,25.036,PIT,@,WAS,W 27-24,0,0,1,6,0
9,1964,1964-11-29,12,27.019,PIT,,STL,L 20-21,0,0,1,4,0
10,1964,1964-12-06,13,27.026,PIT,@,WAS,W 14-7,0,0,1,0,0
11,1965,1965-11-14,9,28.004,PIT,@,DAL,L 17-24,0,0,1,9,0
12,1967,1967-10-29,7,29.353,RAM,@,CHI,W 28-17,0,0,1,10,0
13,1967,1967-11-12,9,30.002,RAM,,PHI,W 33-17,0,0,1,35,0
14,1969,1969-10-05,3,31.329,RAM,,NOR,W 36-17,0,0,1,13,0
