ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1992,1992-12-06,13,22.075,PHO,,SDG,L 21-27,,0,0,,0,0.0%,,0,0,,0,5,133,26.60,0,4,25,6.25,0,0,0
2,1992,1992-12-12,14,22.081,PHO,,NYG,W 19-0,4,3,18,6.00,0,75.0%,4.50,1,-1,-1.00,0,2,32,16.00,0,3,25,8.33,0,0,0
3,1992,1992-12-20,15,22.089,PHO,@,IND,L 13-16,,0,0,,0,0.0%,,0,0,,0,3,52,17.33,0,3,20,6.67,0,0,0
4,1992,1992-12-27,16,22.096,PHO,,TAM,L 3-7,,0,0,,0,0.0%,,0,0,,0,1,34,34.00,0,3,31,10.33,0,0,0
5,1993,1993-10-31,8,23.039,PHO,,NOR,L 17-20,,0,0,,0,0.0%,,0,0,,0,1,26,26.00,0,1,7,7.00,0,0,0
6,1993,1993-11-07,9,23.046,PHO,,PHI,W 16-3,,0,0,,0,0.0%,,1,7,7.00,0,1,19,19.00,0,2,11,5.50,0,0,0
7,1993,1993-12-05,12,23.074,PHO,,RAM,W 38-10,,0,0,,0,0.0%,,1,2,2.00,0,2,45,22.50,0,2,36,18.00,0,0,0
8,1993,1993-12-12,13,23.081,PHO,,DET,L 14-21,4,3,22,7.33,0,75.0%,5.50,3,19,6.33,1,3,62,20.67,0,3,23,7.67,0,1,6
9,1993,1993-12-19,14,23.088,PHO,@,SEA,W 30-27,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,
10,1993,1994-01-02,16,23.102,PHO,@,ATL,W 27-10,2,2,14,7.00,0,100.0%,7.00,0,0,,0,1,11,11.00,0,1,13,13.00,0,0,0
