ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2017,2017-09-10,1,22.254,NYG,@,DAL,L 3-19,,,,,1,1,100.0,0,3
2,2017,2017-09-18,2,22.262,NYG,,DET,L 10-24,,1,1,100.0,1,1,100.0,0,4
3,2017,2017-09-24,3,22.268,NYG,@,PHI,L 24-27,,3,3,100.0,1,1,100.0,0,6
4,2017,2017-10-01,4,22.275,NYG,@,TAM,L 23-25,,2,2,100.0,1,2,50.0,0,5
5,2017,2017-10-08,5,22.282,NYG,,LAC,L 22-27,,2,2,100.0,,,,0,2
6,2017,2017-10-15,6,22.289,NYG,@,DEN,W 23-10,,2,2,100.0,3,4,75.0,0,11
7,2017,2017-10-22,7,22.296,NYG,,SEA,L 7-24,,1,1,100.0,,1,0.0,0,1
8,2017,2017-11-05,8,22.310,NYG,,LAR,L 17-51,,2,2,100.0,1,2,50.0,0,5
9,2017,2017-11-12,9,22.317,NYG,@,SFO,L 21-31,,1,1,100.0,2,3,66.7,0,7
10,2017,2017-11-19,10,22.324,NYG,,KAN,W 12-9,,,1,0.0,2,2,100.0,0,6
11,2017,2017-11-23,11,22.328,NYG,@,WAS,L 10-20,,1,1,100.0,1,1,100.0,0,4
12,2017,2017-12-03,12,22.338,NYG,@,OAK,L 17-24,,2,2,100.0,1,1,100.0,0,5
13,2017,2017-12-10,13,22.345,NYG,,DAL,L 10-30,,1,1,100.0,1,1,100.0,0,4
14,2017,2017-12-17,14,22.352,NYG,,PHI,L 29-34,,2,3,66.7,1,2,50.0,0,5
15,2017,2017-12-24,15,22.359,NYG,@,ARI,L 0-23,,,,,,1,0.0,0,0
16,2017,2017-12-31,16,23.001,NYG,,WAS,W 18-10,,,1,0.0,2,2,100.0,0,6
17,2018,2018-09-09,1,23.253,NYG,,JAX,L 15-20,,,,,3,3,100.0,0,9
18,2018,2018-09-16,2,23.260,NYG,@,DAL,L 13-20,,1,1,100.0,2,2,100.0,0,7
19,2018,2018-09-23,3,23.267,NYG,@,HOU,W 27-22,,3,3,100.0,2,2,100.0,0,9
