ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1963,1963-09-22,3,22.185,BUF,,KAN,T 27-27,,0,0,,0,0,0,,0,0,,,5,6,1.20,0,0,0,,0,0,0,,0,0,0,,0,0,0
2,1963,1963-10-13,6,22.206,BUF,@,KAN,W 35-26,,0,0,,0,0,0,,0,0,,,1,-10,-10.00,0,1,30,30.00,0,2,76,38.00,0,0,0,,0,0,0
3,1963,1963-10-20,7,22.213,BUF,@,HOU,L 14-28,,0,0,,0,0,0,,0,0,,,6,47,7.83,0,1,2,2.00,0,1,65,65.00,0,0,0,,0,0,0
4,1963,1963-10-26,8,22.219,BUF,,BOS,W 28-21,,0,0,,0,0,0,,0,0,,,5,8,1.60,0,0,10,,0,2,57,28.50,0,1,2,2.00,0,0,0
5,1963,1963-11-03,9,22.227,BUF,@,DEN,W 30-28,,0,0,,0,0,0,,0,0,,,6,1,0.17,0,1,7,7.00,0,2,53,26.50,0,0,0,,0,0,0
6,1963,1963-11-09,10,22.233,BUF,,DEN,W 27-17,,0,0,,0,0,0,,0,0,,,8,21,2.63,0,4,100,25.00,1,0,0,,0,4,21,5.25,0,1,6
7,1963,1963-11-17,11,22.241,BUF,,SDG,L 13-23,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,12,2.40,0,7,49,7.00,0,1,19,19.00,0,0,0,,0,0,0
8,1963,1963-12-01,12,22.255,BUF,@,BOS,L 7-17,,0,0,,0,0,0,,0,0,,,7,20,2.86,0,4,66,16.50,0,3,59,19.67,0,2,33,16.50,0,0,0
9,1963,1963-12-08,13,22.262,BUF,,NYJ,W 45-14,,0,0,,0,0,0,,0,0,,,4,30,7.50,0,1,0,0.00,0,1,39,39.00,0,1,11,11.00,0,0,0
10,1963,1963-12-14,14,22.268,BUF,@,NYJ,W 19-10,,0,0,,0,0,0,,0,0,,,1,9,9.00,0,0,0,,0,1,28,28.00,0,0,0,,0,0,0
11,1964,1964-09-13,1,23.176,BUF,,KAN,W 34-17,,0,0,,0,0,0,,0,0,,,0,0,,0,1,11,11.00,0,2,37,18.50,0,0,0,,0,0,0
12,1964,1964-09-20,2,23.183,BUF,,DEN,W 30-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,112,37.33,0,0,0,,0,0,0
13,1964,1964-10-03,4,23.196,BUF,,OAK,W 23-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,35,17.50,0,1,0,0.00,0,0,0
14,1964,1964-10-11,5,23.204,BUF,@,HOU,W 48-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,49,24.50,0,6,44,7.33,0,0,0
15,1964,1964-10-18,6,23.211,BUF,@,KAN,W 35-22,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,1,1,1.00,0,0,0
16,1964,1964-10-24,7,23.217,BUF,,NYJ,W 34-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,10,10.00,0,0,0,,0,0,0
17,1964,1964-11-08,9,23.232,BUF,@,NYJ,W 20-7,,0,0,,0,0,0,,0,0,,,0,0,,0,1,27,27.00,0,2,46,23.00,0,0,0,,0,0,0
18,1964,1964-11-15,10,23.239,BUF,,BOS,L 28-36,,0,0,,0,0,0,,0,0,,,0,0,,0,7,127,18.14,0,0,0,,0,0,0,,0,0,0
19,1964,1964-11-26,11,23.250,BUF,@,SDG,W 27-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,51,25.50,0,0,0,,0,0,0
