ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2000,2000-09-03,1,22.101,CHI,@,MIN,L 27-30,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
2,2000,2000-09-10,2,22.108,CHI,@,TAM,L 0-41,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
3,2000,2000-09-17,3,22.115,CHI,,NYG,L 7-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,0,0,0
4,2000,2000-09-24,4,22.122,CHI,,DET,L 14-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,1,0,0
5,2000,2000-10-01,5,22.129,CHI,@,GNB,W 27-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,0,0,0
6,2000,2000-10-08,6,22.136,CHI,,NOR,L 10-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,0,0,0
7,2000,2000-10-15,7,22.143,CHI,,MIN,L 16-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,2.0,,,0,0,0
8,2000,2000-10-22,8,22.150,CHI,@,PHI,L 9-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
9,2000,2000-11-05,9,22.164,CHI,,IND,W 27-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
10,2000,2000-11-12,10,22.171,CHI,@,BUF,L 3-20,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
11,2000,2000-11-19,11,22.178,CHI,,TAM,W 13-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,,,1,19,0
12,2000,2000-11-26,12,22.185,CHI,@,NYJ,L 10-17,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
13,2000,2000-12-03,13,22.192,CHI,,GNB,L 6-28,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
14,2000,2000-12-10,14,22.199,CHI,,NWE,W 24-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
15,2000,2000-12-17,15,22.206,CHI,@,SFO,L 0-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,0,0,0
16,2000,2000-12-24,16,22.213,CHI,@,DET,W 23-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,0,0,0
17,2001,2001-09-09,1,23.107,CHI,@,BAL,L 6-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
18,2001,2001-09-23,2,23.121,CHI,,MIN,W 17-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
19,2001,2001-10-07,3,23.135,CHI,@,ATL,W 31-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,1.0,,,1,10,0
20,2001,2001-10-14,4,23.142,CHI,,ARI,W 20-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
21,2001,2001-10-21,5,23.149,CHI,@,CIN,W 24-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,1.0,,,0,0,0
22,2001,2001-10-28,6,23.156,CHI,,SFO,W 37-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,0.0,,,1,9,0
23,2001,2001-11-04,7,23.163,CHI,,CLE,W 27-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
24,2001,2001-11-11,8,23.170,CHI,,GNB,L 12-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
25,2001,2001-11-18,9,23.177,CHI,@,TAM,W 27-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,1.0,,,0,0,0
