ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2017,2017-09-10,1,27.056,OAK,@,TEN,W 26-16,,2,2,100.0,4,4,100.0,0,14
2,2017,2017-09-17,2,27.063,OAK,,NYJ,W 45-20,,6,6,100.0,1,1,100.0,0,9
3,2017,2017-09-24,3,27.070,OAK,@,WAS,L 10-27,,1,1,100.0,1,1,100.0,0,4
4,2017,2017-10-01,4,27.077,OAK,@,DEN,L 10-16,,1,1,100.0,1,1,100.0,0,4
5,2017,2017-10-08,5,27.084,OAK,,BAL,L 17-30,,2,2,100.0,1,1,100.0,0,5
6,2017,2017-10-15,6,27.091,OAK,,LAC,L 16-17,,1,2,50.0,1,1,100.0,0,4
7,2017,2017-10-19,7,27.095,OAK,,KAN,W 31-30,,4,4,100.0,1,3,33.3,0,7
8,2017,2017-10-29,8,27.105,OAK,@,BUF,L 14-34,,2,2,100.0,,,,0,2
9,2017,2017-11-05,9,27.112,OAK,@,MIA,W 27-24,,3,3,100.0,2,2,100.0,0,9
10,2017,2017-11-19,10,27.126,OAK,,NWE,L 8-33,,,,,,,,0,0
11,2017,2017-11-26,11,27.133,OAK,,DEN,W 21-14,,3,3,100.0,,1,0.0,0,3
12,2017,2017-12-03,12,27.140,OAK,,NYG,W 24-17,,3,3,100.0,1,1,100.0,0,6
13,2017,2017-12-10,13,27.147,OAK,@,KAN,L 15-26,,1,1,100.0,,,,0,1
14,2017,2017-12-17,14,27.154,OAK,,DAL,L 17-20,,2,2,100.0,1,2,50.0,0,5
15,2017,2017-12-25,15,27.162,OAK,@,PHI,L 10-19,,1,1,100.0,1,2,50.0,0,4
16,2017,2017-12-31,16,27.168,OAK,@,LAC,L 10-30,,1,1,100.0,1,1,100.0,0,4
