ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1996,1996-09-01,1,23.074,PIT,@,JAX,L 9-24,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,2,54,27.00,0,0,0,,0
2,1996,1996-09-08,2,23.081,PIT,,BAL,W 31-17,,2,0,0,,0,0.0%,0.00,0,0,,0,1,20,20.00,0,0,0,,0
3,1996,1996-09-16,3,23.089,PIT,,BUF,W 24-6,,1,0,0,,0,0.0%,0.00,0,0,,0,1,24,24.00,0,0,0,,0
4,1996,1996-09-29,4,23.102,PIT,,HOU,W 30-16,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,1,30,30.00,0,0,0,,0
5,1996,1996-10-07,5,23.110,PIT,@,KAN,W 17-7,,1,1,26,26.00,0,100.0%,26.00,0,0,,0,1,28,28.00,0,0,0,,0
6,1996,1996-10-13,6,23.116,PIT,,CIN,W 20-10,,2,0,0,,0,0.0%,0.00,0,0,,0,2,47,23.50,0,0,0,,0
7,1996,1996-10-20,7,23.123,PIT,@,HOU,L 13-23,,6,1,14,14.00,0,16.7%,2.33,1,-3,-3.00,0,5,91,18.20,0,0,0,,0
8,1996,1996-10-27,8,23.130,PIT,@,ATL,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,3,76,25.33,0,0,0,,0
9,1996,1996-12-22,16,23.186,PIT,@,CAR,L 14-18,,3,2,11,5.50,0,66.7%,3.67,0,0,,0,3,55,18.33,0,2,6,3.00,0
10,1998,1998-10-11,5,25.114,PIT,@,CIN,L 20-25,,0,0,0,,0,0.0%,,0,0,,0,3,78,26.00,0,3,19,6.33,0
11,1998,1998-10-18,6,25.121,PIT,,BAL,W 16-6,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,0,0.00,0
12,1998,1998-11-15,10,25.149,PIT,@,TEN,L 14-23,,1,,,,,0.0%,,,,,,,,,,,,,
13,1999,1999-09-12,1,26.085,GNB,,OAK,W 28-24,,,,,,,0.0%,,,,,,,,,,,,,
