ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1999,1999-10-03,4,24.064,JAX,@,PIT,W 17-3,,,,,
2,1999,1999-10-11,5,24.072,JAX,@,NYJ,W 16-6,,,,,
3,1999,1999-10-17,6,24.078,JAX,,CLE,W 24-7,,,,,
4,1999,1999-10-31,7,24.092,JAX,@,CIN,W 41-10,,,,,
5,1999,1999-11-07,8,24.099,JAX,@,ATL,W 30-7,,,,,
6,1999,1999-11-14,9,24.106,JAX,,BAL,W 6-3,,,,,
7,1999,1999-11-21,10,24.113,JAX,,NOR,W 41-23,,,,,
8,1999,1999-11-28,11,24.120,JAX,@,BAL,W 30-23,,,,,
9,1999,1999-12-02,12,24.124,JAX,,PIT,W 20-6,,,,,
10,1999,1999-12-13,13,24.135,JAX,,DEN,W 27-24,,,,,
11,1999,1999-12-19,14,24.141,JAX,@,CLE,W 24-14,,,,,
12,1999,1999-12-26,15,24.148,JAX,@,TEN,L 14-41,,,,,
13,1999,2000-01-02,16,24.155,JAX,,CIN,W 24-7,,,,,
14,2000,2000-10-08,6,25.069,JAX,,BAL,L 10-15,,,,,
15,2000,2000-10-16,7,25.077,JAX,@,TEN,L 13-27,,,,,
16,2000,2000-10-22,8,25.083,JAX,,WAS,L 16-35,,,,,
17,2000,2000-10-29,9,25.090,JAX,@,DAL,W 23-17,*,,,,
18,2000,2000-11-12,10,25.104,JAX,,SEA,L 21-28,,1,0,0.00,0
19,2000,2000-11-19,11,25.111,JAX,@,PIT,W 34-24,,,,,
20,2000,2000-11-26,12,25.118,JAX,,TEN,W 16-13,,,,,
21,2000,2000-12-03,13,25.125,JAX,,CLE,W 48-0,,,,,
22,2000,2000-12-17,15,25.139,JAX,@,CIN,L 14-17,,,,,
