ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-26,3,24.053,PHI,@,JAX,W 28-3,,,,,,,,,,,0.0%,,,,,,,,,,,
2,2010,2010-10-17,6,24.074,PHI,,ATL,W 31-17,,,,,,,,,,,0.0%,,,,,,,,,,,
3,2010,2010-10-24,7,24.081,PHI,@,TEN,L 19-37,,,,,,,,,,,0.0%,,,,,,,,,,,
4,2010,2010-11-14,9,24.102,IND,,CIN,W 23-17,,,,,,,,,,,0.0%,,,,,,,,,,,
5,2010,2010-11-21,10,24.109,IND,@,NWE,L 28-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
6,2010,2010-11-28,11,24.116,IND,,SDG,L 14-36,,,,,,,,,,,0.0%,,,,,,,,,,,
7,2010,2010-12-05,12,24.123,IND,,DAL,L 35-38,,,,,,,,,,,0.0%,,,,,,,,,,,
8,2010,2010-12-09,13,24.127,IND,@,TEN,W 30-28,,,,,,,,,,,0.0%,,,,,,,,,,,
9,2012,2012-09-09,1,26.036,DET,,STL,W 27-23,,1,1,1.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
10,2012,2012-09-16,2,26.043,DET,@,SFO,L 19-27,,6,14,2.33,0,3,2,59,29.50,0,66.7%,19.67,0,0,,0,,0,0,0.0,0,0
11,2012,2012-09-23,3,26.050,DET,@,TEN,L 41-44,,5,23,4.60,0,5,4,44,11.00,0,80.0%,8.80,0,0,,0,,0,0,0.0,0,0
12,2012,2012-09-30,4,26.057,DET,,MIN,L 13-20,,1,2,2.00,0,8,6,72,12.00,0,75.0%,9.00,0,0,,0,,0,0,0.0,0,0
13,2012,2012-10-14,5,26.071,DET,@,PHI,W 26-23,,7,38,5.43,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,0,0,0.0,0,0
14,2012,2012-10-22,6,26.079,DET,@,CHI,L 7-13,,3,13,4.33,0,4,3,16,5.33,0,75.0%,4.00,0,0,,0,,0,0,0.0,0,0
15,2012,2012-10-28,7,26.085,DET,,SEA,W 28-24,,7,25,3.57,0,4,4,33,8.25,0,100.0%,8.25,0,0,,0,,0,0,0.0,0,0
16,2012,2012-11-04,8,26.092,DET,@,JAX,W 31-14,,13,73,5.62,1,4,3,36,12.00,0,75.0%,9.00,0,0,,0,,1,6,0.0,0,0
17,2012,2012-11-11,9,26.099,DET,@,MIN,L 24-34,,1,4,4.00,0,8,7,44,6.29,0,87.5%,5.50,0,0,,0,,0,0,0.0,0,0
18,2012,2012-11-18,10,26.106,DET,,GNB,L 20-24,,1,4,4.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0
19,2012,2012-11-22,11,26.110,DET,,HOU,L 31-34,,5,47,9.40,1,2,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,0,0
20,2012,2012-12-02,12,26.120,DET,,IND,L 33-35,,7,81,11.57,0,3,3,21,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0
21,2012,2012-12-09,13,26.127,DET,@,GNB,L 20-27,,12,49,4.08,0,7,5,47,9.40,0,71.4%,6.71,0,0,,0,,0,0,0.0,0,0
22,2012,2012-12-16,14,26.134,DET,@,ARI,L 10-38,,7,24,3.43,0,4,2,13,6.50,0,50.0%,3.25,0,0,,0,,0,0,0.0,0,0
23,2012,2012-12-22,15,26.140,DET,,ATL,L 18-31,,4,10,2.50,0,11,9,73,8.11,0,81.8%,6.64,0,0,,0,,0,0,0.0,0,0
24,2012,2012-12-30,16,26.148,DET,,CHI,L 24-26,,2,6,3.00,0,2,2,19,9.50,0,100.0%,9.50,2,54,27.00,0,,0,0,0.0,0,0
25,2013,2013-09-08,1,27.035,DET,,MIN,W 34-24,,6,25,4.17,2,6,5,67,13.40,0,83.3%,11.17,0,0,,0,,2,12,0.0,0,0
26,2013,2013-09-15,2,27.042,DET,@,ARI,L 21-25,,8,31,3.88,0,8,5,41,8.20,0,62.5%,5.13,0,0,,0,,0,0,0.0,0,0
27,2013,2013-09-22,3,27.049,DET,@,WAS,W 27-20,*,20,63,3.15,1,5,4,69,17.25,0,80.0%,13.80,0,0,,0,,1,6,0.0,0,0
28,2013,2013-09-29,4,27.056,DET,,CHI,W 40-32,,7,12,1.71,0,4,4,30,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,2,0
29,2013,2013-10-06,5,27.063,DET,@,GNB,L 9-22,*,5,21,4.20,0,4,4,30,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,0,0
30,2013,2013-10-13,6,27.070,DET,@,CLE,W 31-17,,7,25,3.57,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,0,0
31,2013,2013-10-20,7,27.077,DET,,CIN,L 24-27,*,5,27,5.40,0,4,3,29,9.67,0,75.0%,7.25,0,0,,0,,0,0,0.0,0,0
32,2013,2013-10-27,8,27.084,DET,,DAL,W 31-30,,4,32,8.00,1,1,1,22,22.00,0,100.0%,22.00,0,0,,0,,1,6,0.0,1,0
33,2013,2013-11-10,9,27.098,DET,@,CHI,W 21-19,,10,41,4.10,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
