ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,22.301,NOR,@,TAM,W 26-20,,0,0,,0,1,6,1,0,1
2,2002,2002-09-15,2,22.308,NOR,,GNB,W 35-20,,,,,,,,,,
3,2002,2002-09-22,3,22.315,NOR,@,CHI,W 29-23,,,,,,,,,,
4,2002,2002-10-13,6,22.336,NOR,@,WAS,W 43-27,,,,,,,,,,
5,2002,2002-10-20,7,22.343,NOR,,SFO,W 35-27,,,,,,,,,,
6,2002,2002-10-27,8,22.350,NOR,,ATL,L 35-37,,,,,,,,,,
7,2002,2002-11-10,9,22.364,NOR,@,CAR,W 34-24,,,,,,,,,,
8,2002,2002-11-17,10,23.006,NOR,@,ATL,L 17-24,,,,,,,,,,
9,2002,2002-11-24,11,23.013,NOR,,CLE,L 15-24,,,,,,,,,,
10,2002,2002-12-01,12,23.020,NOR,,TAM,W 23-20,,,,,,,,,,
11,2002,2002-12-08,13,23.027,NOR,@,BAL,W 37-25,,,,,,,,,,
12,2002,2002-12-15,14,23.034,NOR,,MIN,L 31-32,,,,,,,,,,
13,2002,2002-12-22,15,23.041,NOR,@,CIN,L 13-20,,,,,,,,,,
14,2002,2002-12-29,16,23.048,NOR,,CAR,L 6-10,*,,,,,,,,,
15,2003,2003-09-07,1,23.300,NOR,@,SEA,L 10-27,*,,,,,,,,,
16,2003,2003-09-14,2,23.307,NOR,,HOU,W 31-10,,1,8,8.00,0,0,0,0,0,0
17,2003,2003-09-21,3,23.314,NOR,@,TEN,L 12-27,,,,,,,,,,
18,2003,2003-09-28,4,23.321,NOR,,IND,L 21-55,,,,,,,,,,
19,2003,2003-10-05,5,23.328,NOR,@,CAR,L 13-19,,,,,,,,,,
20,2003,2003-10-12,6,23.335,NOR,,CHI,W 20-13,,,,,,,,,,
21,2003,2003-10-19,7,23.342,NOR,@,ATL,W 45-17,,,,,,,,,,
22,2003,2003-10-26,8,23.349,NOR,,CAR,L 20-23,,,,,,,,,,
23,2003,2003-11-02,9,23.356,NOR,@,TAM,W 17-14,,,,,,,,,,
24,2003,2003-11-16,10,24.005,NOR,,ATL,W 23-20,,,,,,,,,,
25,2003,2003-11-23,11,24.012,NOR,@,PHI,L 20-33,,,,,,,,,,
26,2003,2003-12-07,13,24.026,NOR,,TAM,L 7-14,,,,,,,,,,
27,2003,2003-12-14,14,24.033,NOR,,NYG,W 45-7,,,,,,,,,,
28,2003,2003-12-21,15,24.040,NOR,@,JAX,L 19-20,,,,,,,,,,
29,2003,2003-12-28,16,24.047,NOR,,DAL,W 13-7,,,,,,,,,,
30,2004,2004-09-12,1,24.306,NOR,,SEA,L 7-21,*,,,,,,,,,
31,2004,2004-09-19,2,24.313,NOR,,SFO,W 30-27,*,,,,,,,,,
32,2004,2004-09-26,3,24.320,NOR,@,STL,W 28-25,*,,,,,,,,,
33,2004,2004-10-03,4,24.327,NOR,@,ARI,L 10-34,*,,,,,,,,,
34,2004,2004-10-10,5,24.334,NOR,,TAM,L 17-20,*,,,,,,,,,
35,2004,2004-10-17,6,24.341,NOR,,MIN,L 31-38,,,,,,,,,,
36,2004,2004-10-24,7,24.348,NOR,@,OAK,W 31-26,,,,,,,,,,
37,2004,2004-11-07,8,24.362,NOR,@,SDG,L 17-43,,,,,,,,,,
38,2004,2004-11-14,9,25.003,NOR,,KAN,W 27-20,,,,,,,,,,
39,2004,2004-11-21,10,25.010,NOR,,DEN,L 13-34,,,,,,,,,,
40,2004,2004-11-28,11,25.017,NOR,@,ATL,L 21-24,,,,,,,,,,
41,2004,2004-12-05,12,25.024,NOR,,CAR,L 21-32,*,,,,,,,,,
42,2004,2004-12-12,13,25.031,NOR,@,DAL,W 27-13,*,,,,,,,,,
43,2004,2004-12-19,14,25.038,NOR,@,TAM,W 21-17,*,,,,,,,,,
44,2004,2004-12-26,15,25.045,NOR,,ATL,W 26-13,*,,,,,,,,,
45,2004,2005-01-02,16,25.052,NOR,@,CAR,W 21-18,*,,,,,,,,,
46,2005,2005-09-11,1,25.304,NOR,@,CAR,W 23-20,,,,,,,,,,
47,2005,2005-09-25,3,25.318,NOR,@,MIN,L 16-33,,,,,,,,,,
48,2005,2005-10-02,4,25.325,NOR,,BUF,W 19-7,,,,,,,,,,
