ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-09-11,1,22.173,HOU,@,OAK,W 37-22,1,-3,-3.00,0,0,0,,0,0,0,,0,0,0,0,0,0
2,1960,1960-09-18,2,22.180,HOU,,LAC,W 38-28,8,62,7.75,0,1,10,10.00,0,0,0,,0,0,0,0,0,0
3,1960,1960-10-30,7,22.222,HOU,@,BUF,L 24-25,0,0,,0,0,0,,0,1,16,16.00,0,0,0,0,0,0
4,1960,1960-11-06,8,22.229,HOU,@,DEN,W 45-25,0,0,,0,0,0,,0,1,16,16.00,0,0,0,0,0,0
5,1960,1960-11-20,10,22.243,HOU,,DEN,W 20-10,6,14,2.33,0,0,0,,0,0,0,,0,0,0,0,0,0
6,1960,1960-11-25,11,22.248,HOU,@,BOS,W 24-10,9,17,1.89,1,0,0,,0,0,0,,0,1,6,0,0,0
7,1960,1960-12-04,12,22.257,HOU,@,DTX,L 0-24,4,1,0.25,0,3,5,1.67,0,0,0,,0,0,0,0,0,0
8,1960,1960-12-11,13,22.264,HOU,,BUF,W 31-23,9,14,1.56,1,0,0,,0,0,0,,0,1,6,0,0,0
9,1960,1960-12-18,14,22.271,HOU,,BOS,W 37-21,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0,0,0
10,1961,1961-10-13,5,23.205,HOU,@,BOS,T 31-31,0,0,,0,0,0,,0,1,24,24.00,0,0,0,0,0,0
11,1961,1961-11-26,11,23.249,HOU,,DEN,W 45-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,24,0
12,1962,1962-11-25,11,24.248,HOU,,SDG,W 33-27,0,0,,0,0,0,,0,0,0,,0,0,0,1,14,0
13,1962,1962-12-15,14,24.268,HOU,@,NYT,W 44-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
14,1963,1963-10-27,8,25.219,HOU,,KAN,W 28-7,0,0,,0,0,0,,0,0,0,,0,0,0,2,16,0
15,1963,1963-11-10,10,25.233,HOU,,NYJ,W 31-27,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
16,1966,1966-09-25,4,28.187,HOU,@,BUF,L 20-27,0,0,,0,0,0,,0,0,0,,0,0,0,1,23,0
