ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1988,1988-09-04,1,22.165,KAN,,CLE,L 3-6,7,24,3.43,0,,1,5,5.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
2,1988,1988-09-11,2,22.172,KAN,@,SEA,L 10-31,2,6,3.00,0,,2,13,6.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
3,1988,1988-09-18,3,22.179,KAN,,DEN,W 20-13,1,3,3.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,27,27.00,0,0,0
4,1988,1988-09-25,4,22.186,KAN,,SDG,L 23-24,2,7,3.50,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1988,1988-10-02,5,22.193,KAN,@,NYJ,T 17-17,0,0,,0,,1,22,22.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
6,1988,1988-10-09,6,22.200,KAN,@,HOU,L 6-7,2,9,4.50,0,,1,15,15.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
7,1988,1988-10-16,7,22.207,KAN,,RAI,L 17-27,1,14,14.00,0,,2,18,9.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,1988,1988-10-23,8,22.214,KAN,,DET,L 6-7,1,1,1.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1988,1988-10-30,9,22.221,KAN,@,RAI,L 10-17,4,24,6.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,13,13.00,0,0,0
10,1988,1988-11-06,10,22.228,KAN,@,DEN,L 11-17,3,14,4.67,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
11,1988,1988-11-13,11,22.235,KAN,,CIN,W 31-28,0,0,,0,,1,9,9.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
12,1988,1988-11-20,12,22.242,KAN,,SEA,W 27-24,2,8,4.00,1,,1,12,12.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
13,1988,1988-11-27,13,22.249,KAN,@,PIT,L 10-16,1,0,0.00,0,,4,35,8.75,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,1988,1988-12-04,14,22.256,KAN,,NYJ,W 38-34,6,23,3.83,1,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
15,1988,1988-12-11,15,22.263,KAN,@,NYG,L 12-28,13,40,3.08,0,,4,32,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
16,1988,1988-12-18,16,22.270,KAN,@,SDG,L 13-24,15,63,4.20,0,,2,16,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
17,1989,1989-09-10,1,23.171,KAN,@,DEN,L 20-34,1,2,2.00,0,,1,2,2.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
