ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1990,1990-09-09,1,22.067,SEA,@,CHI,L 0-17,,2,6,3.00,0,,0,0,,0,,,2,41,20.50,0,0,0,,0,0,0
2,1990,1990-09-16,2,22.074,SEA,,RAI,L 13-17,,0,0,,0,,0,0,,0,,,1,14,14.00,0,0,0,,0,0,0
3,1990,1990-09-23,3,22.081,SEA,@,DEN,L 31-34,,2,1,0.50,0,,0,0,,0,,,2,43,21.50,0,0,0,,0,0,0
4,1990,1990-10-01,4,22.089,SEA,,CIN,W 31-16,,0,0,,0,,,,,,,,0,0,,0,,,,,,
5,1990,1990-10-07,5,22.095,SEA,@,NWE,W 33-20,,0,0,,0,,0,0,,0,,,1,26,26.00,0,0,0,,0,0,0
6,1990,1990-10-14,6,22.102,SEA,@,RAI,L 17-24,,0,0,,0,,0,0,,0,,,1,15,15.00,0,0,0,,0,0,0
7,1990,1990-10-21,7,22.109,SEA,,KAN,W 19-7,,3,5,1.67,0,,0,0,,0,,,1,17,17.00,0,0,0,,0,0,0
8,1990,1990-11-04,8,22.123,SEA,,SDG,L 14-31,,0,0,,0,,0,0,,0,,,3,51,17.00,0,0,0,,0,0,0
9,1990,1990-11-11,9,22.130,SEA,@,KAN,W 17-16,,0,0,,0,,0,0,,0,,,4,78,19.50,0,0,0,,0,0,0
10,1990,1990-11-18,10,22.137,SEA,,MIN,L 21-24,,0,0,,0,,0,0,,0,,,3,74,24.67,0,0,0,,0,0,0
11,1990,1990-11-25,11,22.144,SEA,@,SDG,W 13-10,,0,0,,0,,,,,,,,0,0,,0,,,,,,
12,1991,1991-09-01,1,23.059,SEA,@,NOR,L 24-27,,0,0,,0,,0,0,,0,,,2,45,22.50,0,0,0,,0,0,0
13,1991,1991-09-08,2,23.066,SEA,,NYJ,W 20-13,,0,0,,0,,,,,,,,0,0,,0,0,0,,0,,
14,1991,1991-09-15,3,23.073,SEA,@,DEN,L 10-16,,0,0,,0,,,,,,,,0,0,,0,0,0,,0,,
