ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1997,1997-08-31,1,22.146,NYG,,PHI,W 31-17,,20,88,4.40,1,5,3,32,10.67,0,60.0%,6.40,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
2,1997,1997-09-07,2,22.153,NYG,@,JAX,L 13-40,,11,17,1.55,1,4,3,43,14.33,0,75.0%,10.75,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
3,1997,1997-09-14,3,22.160,NYG,,BAL,L 23-24,,16,64,4.00,1,7,5,27,5.40,0,71.4%,3.86,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
4,1997,1997-09-21,4,22.167,NYG,@,STL,L 3-13,,9,4,0.44,0,5,3,15,5.00,0,60.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
5,1997,1997-09-28,5,22.174,NYG,,NOR,W 14-9,,11,42,3.82,0,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
6,1997,1997-11-09,10,22.216,NYG,@,TEN,L 6-10,,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
7,1997,1997-11-16,11,22.223,NYG,,ARI,W 19-10,,7,42,6.00,0,4,4,44,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
8,1997,1997-11-23,12,22.230,NYG,@,WAS,T 7-7,,6,23,3.83,0,8,7,65,9.29,0,87.5%,8.13,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
9,1997,1997-11-30,13,22.237,NYG,,TAM,L 8-20,,3,4,1.33,0,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
10,1997,1997-12-07,14,22.244,NYG,@,PHI,W 31-21,,21,114,5.43,0,6,4,28,7.00,1,66.7%,4.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
11,1997,1997-12-13,15,22.250,NYG,,WAS,W 30-10,,13,32,2.46,0,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
12,1997,1997-12-21,16,22.258,NYG,@,DAL,W 20-7,,17,82,4.82,0,5,1,2,2.00,0,20.0%,0.40,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
13,1998,1998-09-06,1,23.152,NYG,,WAS,W 31-24,,12,37,3.08,0,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
14,1998,1998-09-13,2,23.159,NYG,@,OAK,L 17-20,,13,32,2.46,0,7,5,34,6.80,0,71.4%,4.86,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
15,1998,1998-09-21,3,23.167,NYG,,DAL,L 7-31,,3,11,3.67,0,6,4,23,5.75,0,66.7%,3.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
16,1998,1998-09-27,4,23.173,NYG,@,SDG,W 34-16,,3,-3,-1.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
17,1998,1998-10-04,5,23.180,NYG,@,TAM,L 3-20,,2,-2,-1.00,0,6,3,10,3.33,0,50.0%,1.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
18,1998,1998-10-11,6,23.187,NYG,,ATL,L 20-34,,3,12,4.00,0,9,9,56,6.22,0,100.0%,6.22,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
19,1998,1998-10-18,7,23.194,NYG,,ARI,W 34-7,,1,2,2.00,0,5,3,40,13.33,0,60.0%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
20,1998,1998-11-01,8,23.208,NYG,@,WAS,L 14-21,,2,16,8.00,0,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
21,1998,1998-11-08,9,23.215,NYG,@,DAL,L 6-16,,6,17,2.83,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,16,16.00,0,0,0,,0,0,0
22,1998,1998-11-15,10,23.222,NYG,,GNB,L 3-37,,0,0,,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,,,7,135,19.29,0,0,0,,0,0,0
23,1998,1998-11-22,11,23.229,NYG,,PHI,W 20-0,,1,2,2.00,0,2,1,8,8.00,1,50.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
24,1998,1998-11-30,12,23.237,NYG,@,SFO,L 7-31,,2,9,4.50,0,4,4,13,3.25,0,100.0%,3.25,0,0,,0,0,0,,0,0,,,1,11,11.00,0,0,0,,0,0,0
25,1998,1998-12-06,13,23.243,NYG,@,ARI,W 23-19,,1,2,2.00,0,2,2,91,45.50,1,100.0%,45.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
26,1998,1998-12-13,14,23.250,NYG,,DEN,W 20-16,,0,0,,0,3,2,29,14.50,1,66.7%,9.67,0,0,,0,0,0,,0,0,,,1,20,20.00,0,0,0,,0,1,6
27,1998,1998-12-20,15,23.257,NYG,,KAN,W 28-7,,1,23,23.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,2,48,24.00,0,0,0,,0,0,0
28,1998,1998-12-27,16,23.264,NYG,@,PHI,W 20-10,,2,8,4.00,0,5,3,21,7.00,0,60.0%,4.20,0,0,,0,0,0,,0,0,,,2,20,10.00,0,0,0,,0,0,0
29,1999,1999-09-12,1,24.158,NYG,@,TAM,W 17-13,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,4,25,6.25,0,0,0
30,1999,1999-09-19,2,24.165,NYG,,WAS,L 21-50,,0,0,,0,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,,,,,2,47,23.50,0,2,8,4.00,0,0,0
31,1999,1999-09-26,3,24.172,NYG,@,NWE,L 14-16,,1,3,3.00,0,6,5,46,9.20,1,83.3%,7.67,0,0,,0,0,0,,,,,,2,50,25.00,0,0,0,,0,1,6
32,1999,1999-10-03,4,24.179,NYG,,PHI,W 16-15,,0,0,,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,5,58,11.60,0,0,0
33,1999,1999-10-10,5,24.186,NYG,@,ARI,L 3-14,,1,7,7.00,0,4,4,23,5.75,0,100.0%,5.75,0,0,,0,0,0,,,,,,1,25,25.00,0,6,72,12.00,0,0,0
34,1999,1999-10-18,6,24.194,NYG,,DAL,W 13-10,,10,35,3.50,0,6,5,73,14.60,0,83.3%,12.17,0,0,,0,0,0,,,,,,0,0,,0,5,123,24.60,1,1,6
35,1999,1999-10-24,7,24.200,NYG,,NOR,W 31-3,,1,9,9.00,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,3,25,8.33,0,0,0
36,1999,1999-10-31,8,24.207,NYG,@,PHI,W 23-17,,1,4,4.00,0,5,4,43,10.75,0,80.0%,8.60,0,0,,0,0,0,,,,,,0,0,,0,2,10,5.00,0,0,0
37,1999,1999-11-14,9,24.221,NYG,,IND,L 19-27,*,9,57,6.33,0,6,4,15,3.75,0,66.7%,2.50,0,0,,0,0,0,,,,,,0,0,,0,3,67,22.33,0,0,0
38,1999,1999-11-21,10,24.228,NYG,@,WAS,L 13-23,,10,44,4.40,0,5,4,46,11.50,0,80.0%,9.20,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
39,1999,1999-11-28,11,24.235,NYG,,ARI,L 24-34,,10,37,3.70,0,7,3,64,21.33,1,42.9%,9.14,0,0,,0,0,0,,,,,,1,19,19.00,0,3,8,2.67,0,1,6
40,1999,1999-12-05,12,24.242,NYG,,NYJ,W 41-28,,4,9,2.25,0,4,1,-7,-7.00,0,25.0%,-1.75,0,0,,0,0,0,,,,,,1,19,19.00,0,6,95,15.83,0,0,0
41,1999,1999-12-12,13,24.249,NYG,@,BUF,W 19-17,,4,6,1.50,0,11,8,90,11.25,0,72.7%,8.18,0,0,,0,0,0,,,,,,1,27,27.00,0,1,-2,-2.00,0,0,0
42,1999,1999-12-19,14,24.256,NYG,@,STL,L 10-31,,5,33,6.60,0,4,3,43,14.33,0,75.0%,10.75,0,0,,0,0,0,,,,,,2,42,21.00,0,1,2,2.00,0,0,0
43,1999,1999-12-26,15,24.263,NYG,,MIN,L 17-34,,5,11,2.20,0,12,8,56,7.00,0,66.7%,4.67,0,0,,0,0,0,,,,,,1,14,14.00,0,3,15,5.00,0,0,0
44,1999,2000-01-02,16,24.270,NYG,@,DAL,L 18-26,,1,3,3.00,0,14,13,100,7.69,0,92.9%,7.14,0,0,,0,0,0,,,,,,1,23,23.00,0,0,0,,0,0,0
45,2000,2000-09-03,1,25.149,NYG,,ARI,W 21-16,,13,144,11.08,2,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,3,18,6.00,0,2,12
46,2000,2000-09-10,2,25.156,NYG,@,PHI,W 33-18,*,11,96,8.73,1,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0,,,,,,0,0,,0,4,34,8.50,0,1,6
47,2000,2000-09-17,3,25.163,NYG,@,CHI,W 14-7,*,17,86,5.06,1,8,6,58,9.67,0,75.0%,7.25,0,0,,0,0,0,,,,,,0,0,,0,3,24,8.00,0,1,6
48,2000,2000-09-24,4,25.170,NYG,,WAS,L 6-16,*,16,65,4.06,0,9,6,41,6.83,0,66.7%,4.56,0,0,,0,0,0,,,,,,0,0,,0,1,6,6.00,0,0,0
49,2000,2000-10-01,5,25.177,NYG,@,TEN,L 14-28,*,5,2,0.40,0,6,5,49,9.80,0,83.3%,8.17,0,0,,0,0,0,,,,,,0,0,,0,2,18,9.00,0,0,0
50,2000,2000-10-08,6,25.184,NYG,@,ATL,W 13-6,,14,50,3.57,0,5,5,50,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,6.00,0,0,0
51,2000,2000-10-15,7,25.191,NYG,,DAL,W 19-14,,9,73,8.11,0,6,2,15,7.50,0,33.3%,2.50,0,0,,0,0,0,,,,,,0,0,,0,3,47,15.67,0,0,0
52,2000,2000-10-29,8,25.205,NYG,,PHI,W 24-7,*,14,52,3.71,0,5,4,71,17.75,0,80.0%,14.20,0,0,,0,0,0,,,,,,0,0,,0,4,2,0.50,0,0,0
53,2000,2000-11-05,9,25.212,NYG,@,CLE,W 24-3,*,15,53,3.53,0,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,,,,,,0,0,,0,3,30,10.00,0,0,0
54,2000,2000-11-12,10,25.219,NYG,,STL,L 24-38,,9,61,6.78,0,5,4,32,8.00,1,80.0%,6.40,0,0,,0,0,0,,,,,,0,0,,0,1,16,16.00,0,1,6
55,2000,2000-11-19,11,25.226,NYG,,DET,L 21-31,,8,30,3.75,0,11,8,99,12.38,0,72.7%,9.00,0,0,,0,0,0,,,,,,0,0,,0,3,37,12.33,0,0,0
56,2000,2000-11-26,12,25.233,NYG,@,ARI,W 31-7,,12,32,2.67,1,5,4,52,13.00,0,80.0%,10.40,0,0,,0,0,0,,,,,,0,0,,0,2,2,1.00,0,1,6
57,2000,2000-12-03,13,25.240,NYG,@,WAS,W 9-7,*,14,82,5.86,0,5,4,26,6.50,0,80.0%,5.20,0,0,,0,0,0,,,,,,1,28,28.00,0,2,25,12.50,0,0,0
58,2000,2000-12-10,14,25.247,NYG,,PIT,W 30-10,,12,22,1.83,1,7,6,75,12.50,0,85.7%,10.71,0,0,,0,0,0,,,,,,0,0,,0,3,27,9.00,0,1,6
59,2000,2000-12-17,15,25.254,NYG,@,DAL,W 17-13,*,20,80,4.00,1,5,4,47,11.75,0,80.0%,9.40,0,0,,0,0,0,,,,,,0,0,,0,2,31,15.50,0,1,6
60,2000,2000-12-23,16,25.260,NYG,,JAX,W 28-25,,24,78,3.25,1,5,4,35,8.75,0,80.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,2,9,4.50,0,1,6
61,2001,2001-09-10,1,26.156,NYG,@,DEN,L 20-31,*,10,28,2.80,0,4,3,53,17.67,0,75.0%,13.25,0,0,,0,0,0,,,,,,0,0,,0,3,24,8.00,0,0,0
62,2001,2001-09-23,2,26.169,NYG,@,KAN,W 13-3,,11,42,3.82,0,5,4,30,7.50,0,80.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,4,58,14.50,0,0,0
63,2001,2001-09-30,3,26.176,NYG,,NOR,W 21-13,,3,21,7.00,1,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,1,20,20.00,0,1,6
64,2001,2001-10-22,6,26.198,NYG,,PHI,L 9-10,,13,55,4.23,0,7,5,25,5.00,0,71.4%,3.57,0,0,,0,0,0,,,,,,0,0,,0,3,30,10.00,0,0,0
65,2001,2001-10-28,7,26.204,NYG,@,WAS,L 21-35,*,7,14,2.00,0,14,9,74,8.22,0,64.3%,5.29,0,0,,0,0,0,,,,,,0,0,,0,3,29,9.67,0,0,0
66,2001,2001-11-04,8,26.211,NYG,,DAL,W 27-24,*,7,30,4.29,0,10,8,60,7.50,0,80.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,1,22,22.00,0,0,0
67,2001,2001-11-11,9,26.218,NYG,@,ARI,W 17-10,*,17,118,6.94,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,3,30,10.00,0,0,0
68,2001,2001-11-19,10,26.226,NYG,@,MIN,L 16-28,*,8,55,6.88,1,5,4,52,13.00,0,80.0%,10.40,0,0,,0,0,0,,,,,,0,0,,0,1,5,5.00,0,1,6
69,2001,2001-11-25,11,26.232,NYG,,OAK,L 10-28,*,19,124,6.53,1,6,5,41,8.20,0,83.3%,6.83,0,0,,0,0,0,,,,,,0,0,,0,3,20,6.67,0,1,6
70,2001,2001-12-09,12,26.246,NYG,@,DAL,L 13-20,*,18,110,6.11,0,4,4,26,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,0,0,,0,3,17,5.67,0,0,0
71,2001,2001-12-15,13,26.252,NYG,,ARI,W 17-13,*,16,85,5.31,0,9,5,35,7.00,0,55.6%,3.89,0,0,,0,0,0,,,,,,0,0,,0,2,0,0.00,0,0,0
72,2001,2001-12-23,14,26.260,NYG,,SEA,W 27-24,*,12,47,3.92,0,9,6,24,4.00,0,66.7%,2.67,0,0,,0,0,0,,,,,,0,0,,0,4,24,6.00,0,0,0
73,2001,2001-12-30,15,26.267,NYG,@,PHI,L 21-24,,16,71,4.44,0,13,10,87,8.70,0,76.9%,6.69,0,0,,0,0,0,,,,,,0,0,,0,4,50,12.50,0,0,0
74,2001,2002-01-06,16,26.274,NYG,,GNB,L 25-34,,9,65,7.22,1,8,6,53,8.83,0,75.0%,6.63,0,0,,0,0,0,,,,,,0,0,,0,3,9,3.00,0,1,6
75,2002,2002-09-05,1,27.151,NYG,,SFO,L 13-16,*,15,29,1.93,1,10,5,37,7.40,0,50.0%,3.70,0,0,,0,0,0,,,,,,0,0,,0,1,5,5.00,0,1,6
76,2002,2002-09-15,2,27.161,NYG,@,STL,W 26-21,,19,80,4.21,0,6,6,30,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
77,2002,2002-09-22,3,27.168,NYG,,SEA,W 9-6,*,21,50,2.38,0,10,7,59,8.43,0,70.0%,5.90,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
78,2002,2002-09-29,4,27.175,NYG,@,ARI,L 7-21,*,13,55,4.23,1,8,6,48,8.00,0,75.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
79,2002,2002-10-06,5,27.182,NYG,@,DAL,W 21-17,*,17,94,5.53,0,5,4,29,7.25,0,80.0%,5.80,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
