ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2010,2010-09-12,1,20.310,NWE,,CIN,W 38-24,*,2,1,45,45.00,0,50.0%,22.50,0,0,,0,0,0
2,2010,2010-09-19,2,20.317,NWE,@,NYJ,L 14-28,*,6,6,101,16.83,0,100.0%,16.83,0,0,,0,0,0
3,2010,2010-09-26,3,20.324,NWE,,BUF,W 38-30,*,7,6,65,10.83,0,85.7%,9.29,1,13,13.00,0,0,0
4,2010,2010-10-04,4,20.332,NWE,@,MIA,W 41-14,,5,5,29,5.80,0,100.0%,5.80,0,0,,0,0,0
5,2010,2010-10-17,5,20.345,NWE,,BAL,W 23-20,*,6,4,61,15.25,0,66.7%,10.17,1,18,18.00,0,0,0
6,2010,2010-10-24,6,20.352,NWE,@,SDG,W 23-20,*,8,5,54,10.80,0,62.5%,6.75,0,0,,0,0,0
7,2010,2010-10-31,7,20.359,NWE,,MIN,W 28-18,*,3,2,33,16.50,0,66.7%,11.00,0,0,,0,0,0
8,2010,2010-11-07,8,21.001,NWE,@,CLE,L 14-34,,9,5,48,9.60,2,55.6%,5.33,0,0,,0,2,12
9,2010,2010-11-14,9,21.008,NWE,@,PIT,W 39-26,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
10,2010,2010-11-21,10,21.015,NWE,,IND,W 31-28,,1,1,8,8.00,1,100.0%,8.00,0,0,,0,1,6
11,2010,2010-11-25,11,21.019,NWE,@,DET,W 45-24,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0
12,2010,2010-12-06,12,21.030,NWE,,NYJ,W 45-3,*,5,3,51,17.00,1,60.0%,10.20,0,0,,0,1,6
13,2010,2010-12-12,13,21.036,NWE,@,CHI,W 36-7,,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0
14,2010,2010-12-19,14,21.043,NWE,,GNB,W 31-27,,5,4,31,7.75,2,80.0%,6.20,1,16,16.00,0,2,12
15,2011,2011-09-12,1,21.310,NWE,@,MIA,W 38-24,*,10,7,103,14.71,1,70.0%,10.30,0,0,,0,1,6
16,2011,2011-09-18,2,21.316,NWE,,SDG,W 35-21,*,8,7,62,8.86,1,87.5%,7.75,0,0,,0,1,6
17,2011,2011-10-09,5,21.337,NWE,,NYJ,W 30-21,*,9,5,56,11.20,0,55.6%,6.22,0,0,,0,0,0
18,2011,2011-10-16,6,21.344,NWE,,DAL,W 20-16,*,14,8,68,8.50,1,57.1%,4.86,0,0,,0,1,6
19,2011,2011-10-30,7,21.358,NWE,@,PIT,L 17-25,*,4,2,9,4.50,1,50.0%,2.25,1,2,2.00,0,1,6
20,2011,2011-11-06,8,22.000,NWE,,NYG,L 20-24,,5,4,35,8.75,1,80.0%,7.00,0,0,,0,1,6
21,2011,2011-11-13,9,22.007,NWE,@,NYJ,W 37-16,*,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0
22,2011,2011-11-21,10,22.015,NWE,,KAN,W 34-3,*,7,4,44,11.00,0,57.1%,6.29,0,0,,0,0,0
23,2011,2011-11-27,11,22.021,NWE,@,PHI,W 38-20,,7,6,62,10.33,0,85.7%,8.86,0,0,,0,0,0
24,2011,2011-12-04,12,22.028,NWE,,IND,W 31-24,*,9,7,43,6.14,0,77.8%,4.78,0,0,,0,0,0
25,2011,2011-12-11,13,22.035,NWE,@,WAS,W 34-27,*,7,5,84,16.80,0,71.4%,12.00,0,0,,0,0,0
26,2011,2011-12-18,14,22.042,NWE,@,DEN,W 41-23,*,11,9,129,14.33,1,81.8%,11.73,1,16,16.00,0,1,6
27,2011,2011-12-24,15,22.048,NWE,,MIA,W 27-24,*,6,4,36,9.00,0,66.7%,6.00,1,1,1.00,0,0,0
28,2011,2012-01-01,16,22.056,NWE,,BUF,W 49-21,*,11,7,138,19.71,1,63.6%,12.55,2,26,13.00,0,1,6
29,2012,2012-09-09,1,22.308,NWE,@,TEN,W 34-13,*,7,6,59,9.83,1,85.7%,8.43,1,5,5.00,0,1,6
30,2012,2012-09-16,2,22.315,NWE,,ARI,L 18-20,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
31,2012,2012-10-14,6,22.343,NWE,@,SEA,L 23-24,*,9,6,30,5.00,1,66.7%,3.33,0,0,,0,1,6
32,2012,2012-10-21,7,22.350,NWE,,NYJ,W 29-26,*,7,5,54,10.80,0,71.4%,7.71,0,0,,0,0,0
33,2012,2012-11-22,11,23.016,NWE,@,NYJ,W 49-19,*,3,2,36,18.00,0,66.7%,12.00,0,0,,0,0,0
34,2012,2012-12-02,12,23.026,NWE,@,MIA,W 23-16,*,13,8,97,12.13,0,61.5%,7.46,0,0,,0,0,0
35,2012,2012-12-10,13,23.034,NWE,,HOU,W 42-14,*,11,8,58,7.25,2,72.7%,5.27,0,0,,0,2,12
36,2012,2012-12-16,14,23.040,NWE,,SFO,L 34-41,*,19,10,92,9.20,1,52.6%,4.84,0,0,,0,1,6
37,2012,2012-12-23,15,23.047,NWE,@,JAX,W 23-16,*,5,1,13,13.00,0,20.0%,2.60,0,0,,0,0,0
38,2012,2012-12-30,16,23.054,NWE,,MIA,W 28-0,*,8,5,44,8.80,0,62.5%,5.50,0,0,,0,0,0
