ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,23.360,DAL,@,NYJ,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,17,8.50,0,,0,0,0.0,0,0
2,2011,2011-09-18,2,24.002,DAL,@,SFO,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,25,12.50,0,,0,0,0.0,0,0
3,2011,2011-09-26,3,24.010,DAL,,WAS,W 18-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,10,5.00,0,,0,0,0.0,0,0
4,2011,2011-10-02,4,24.016,DAL,,DET,L 30-34,,0,0,0,,0,0.0%,,0,0,,0,2,56,28.00,0,3,18,6.00,0,,0,0,0.0,0,0
5,2011,2011-10-16,5,24.030,DAL,@,NWE,L 16-20,,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,2,3,1.50,0,,0,0,0.0,0,0
6,2011,2011-12-24,15,24.099,DAL,,PHI,L 7-20,,0,0,0,,0,0.0%,,0,0,,0,2,85,42.50,0,3,3,1.00,0,,0,0,0.0,0,0
7,2011,2012-01-01,16,24.107,DAL,@,NYG,L 14-31,,0,0,0,,0,0.0%,,0,0,,0,3,72,24.00,0,1,4,4.00,0,,0,0,0.0,0,0
8,2012,2012-09-05,1,24.355,DAL,@,NYG,W 24-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,3,3.00,0,,0,0,0.0,0,0
9,2012,2012-09-16,2,25.000,DAL,@,SEA,L 7-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
10,2012,2012-09-23,3,25.007,DAL,,TAM,W 16-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
11,2012,2012-10-01,4,25.015,DAL,,CHI,L 18-34,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
12,2012,2012-10-14,5,25.028,DAL,@,BAL,L 29-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0
13,2012,2012-10-21,6,25.035,DAL,@,CAR,W 19-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
14,2012,2012-10-28,7,25.042,DAL,,NYG,L 24-29,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,14,14.00,0,,0,0,0.0,0,0
15,2012,2012-11-04,8,25.049,DAL,@,ATL,L 13-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,37,37.00,0,,0,0,0.0,0,0
16,2012,2012-11-11,9,25.056,DAL,@,PHI,W 38-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,97,24.25,1,,0,6,0.0,0,0
17,2012,2012-11-18,10,25.063,DAL,,CLE,W 23-20,,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,2,27,13.50,0,,0,0,0.0,0,0
18,2012,2012-11-22,11,25.067,DAL,,WAS,L 31-38,,7,4,71,17.75,0,57.1%,10.14,0,0,,0,2,47,23.50,0,3,17,5.67,0,,0,0,0.0,0,0
19,2012,2012-12-02,12,25.077,DAL,,PHI,W 38-33,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,1,22,22.00,0,0,0,,0,,0,0,0.0,0,0
20,2012,2012-12-09,13,25.084,DAL,@,CIN,W 20-19,,8,3,33,11.00,0,37.5%,4.13,0,0,,0,1,14,14.00,0,2,4,2.00,0,,0,0,0.0,0,0
21,2012,2012-12-16,14,25.091,DAL,,PIT,W 27-24,,4,4,46,11.50,0,100.0%,11.50,0,0,,0,1,25,25.00,0,2,38,19.00,0,,0,0,0.0,0,0
22,2012,2012-12-23,15,25.098,DAL,,NOR,L 31-34,,3,1,16,16.00,1,33.3%,5.33,0,0,,0,2,29,14.50,0,2,39,19.50,0,,1,6,0.0,0,0
23,2012,2012-12-30,16,25.105,DAL,@,WAS,L 18-28,,4,1,25,25.00,0,25.0%,6.25,0,0,,0,4,73,18.25,0,3,78,26.00,0,1,0,2,0.0,0,0
24,2013,2013-09-08,1,25.357,DAL,,NYG,W 36-31,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,2,19,9.50,0,,0,0,0.0,3,0
25,2013,2013-09-15,2,25.364,DAL,@,KAN,L 16-17,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,1,35,35.00,0,1,22,22.00,0,,0,0,0.0,1,0
26,2013,2013-09-22,3,26.006,DAL,,STL,W 31-7,*,1,1,24,24.00,1,100.0%,24.00,0,0,,0,0,0,,0,2,1,0.50,0,,1,6,0.0,0,0
27,2013,2013-09-29,4,26.013,DAL,@,SDG,L 21-30,*,2,1,13,13.00,0,50.0%,6.50,0,0,,0,3,85,28.33,0,1,38,38.00,0,,0,0,0.0,0,0
28,2013,2013-10-06,5,26.020,DAL,,DEN,L 48-51,*,2,1,13,13.00,0,50.0%,6.50,0,0,,0,3,79,26.33,0,0,0,,0,,0,0,0.0,0,0
29,2013,2013-10-13,6,26.027,DAL,,WAS,W 31-16,,0,0,0,,0,0.0%,,0,0,,0,2,113,56.50,0,2,109,54.50,1,,0,6,0.0,1,0
30,2013,2013-10-20,7,26.034,DAL,@,PHI,W 17-3,,0,0,0,,0,0.0%,,1,6,6.00,0,1,39,39.00,0,5,23,4.60,0,,0,0,0.0,0,0
31,2013,2013-10-27,8,26.041,DAL,@,DET,L 30-31,,2,0,0,,0,0.0%,0.00,0,0,,0,3,113,37.67,0,2,25,12.50,0,,0,0,0.0,0,0
32,2013,2013-11-03,9,26.048,DAL,,MIN,W 27-23,,2,2,13,6.50,1,100.0%,6.50,0,0,,0,2,60,30.00,0,1,5,5.00,0,,1,6,0.0,2,0
33,2013,2013-11-10,10,26.055,DAL,@,NOR,L 17-49,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,5,121,24.20,0,0,0,,0,,0,0,0.0,1,0
34,2013,2013-11-24,11,26.069,DAL,@,NYG,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,2,44,22.00,0,1,-4,-4.00,0,,0,0,0.0,0,0
35,2013,2013-12-09,13,26.084,DAL,@,CHI,L 28-45,,0,0,0,,0,0.0%,,0,0,,0,4,103,25.75,0,0,0,,0,,0,0,0.0,0,0
36,2013,2013-12-29,16,26.104,DAL,,PHI,L 22-24,,0,0,0,,0,0.0%,,0,0,,0,2,65,32.50,0,3,18,6.00,0,,0,0,0.0,1,0
37,2014,2014-09-07,1,26.356,DAL,,SFO,L 17-28,,2,1,56,56.00,0,50.0%,28.00,1,9,9.00,0,2,58,29.00,0,2,0,0.00,0,,0,0,0.0,0,0
38,2014,2014-09-14,2,26.363,DAL,@,TEN,W 26-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,15,15.00,0,,0,0,0.0,1,0
39,2014,2014-09-21,3,27.005,DAL,@,STL,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,3,74,24.67,0,0,0,,0,,0,0,0.0,1,0
