ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
17,2014,2014-10-12,6,24.339,MIN,,DET,L 3-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,
18,2014,2014-10-19,7,24.346,MIN,@,BUF,L 16-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0
19,2014,2014-10-26,8,24.353,MIN,@,TAM,W 19-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,
20,2014,2014-11-02,9,24.360,MIN,,WAS,W 29-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0.0,0,0
21,2014,2014-11-30,12,25.023,BUF,,CLE,W 26-10,*,2,2,71,35.50,0,100.0%,35.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
22,2014,2014-12-07,13,25.030,BUF,@,DEN,L 17-24,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
23,2014,2014-12-14,14,25.037,BUF,,GNB,W 21-13,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
24,2014,2014-12-21,15,25.044,BUF,@,OAK,L 24-26,*,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
25,2014,2014-12-28,16,25.051,BUF,@,NWE,W 17-9,*,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
26,2015,2015-09-13,1,25.310,BUF,,IND,W 27-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
27,2015,2015-09-20,2,25.317,BUF,,NWE,L 32-40,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
28,2015,2015-09-27,3,25.324,BUF,@,MIA,W 41-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
29,2015,2015-10-04,4,25.331,BUF,,NYG,L 10-24,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
30,2016,2016-09-11,1,26.309,MIA,@,SEA,L 10-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
31,2016,2016-09-18,2,26.316,MIA,@,NWE,L 24-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
32,2016,2016-09-25,3,26.323,MIA,,CLE,W 30-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
33,2016,2016-09-29,4,26.327,MIA,@,CIN,L 7-22,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
34,2016,2016-10-09,5,26.337,MIA,,TEN,L 17-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
35,2016,2016-10-16,6,26.344,MIA,,PIT,W 30-15,*,3,3,81,27.00,0,100.0%,27.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
36,2016,2016-10-23,7,26.351,MIA,,BUF,W 28-25,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
37,2016,2016-11-06,8,26.365,MIA,,NYJ,W 27-23,*,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
38,2016,2016-11-13,9,27.006,MIA,@,SDG,W 31-24,,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
39,2016,2016-11-20,10,27.013,MIA,@,LAR,W 14-10,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
40,2016,2016-11-27,11,27.020,MIA,,SFO,W 31-24,*,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
41,2016,2016-12-04,12,27.027,MIA,@,BAL,L 6-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
42,2016,2016-12-11,13,27.034,MIA,,ARI,W 26-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
43,2016,2016-12-17,14,27.040,MIA,@,NYJ,W 34-13,*,3,3,28,9.33,0,100.0%,9.33,0,0,,0,0,0,,0,0,0,,0,0,,,1,11,11.00,0,0.0,0,0
44,2016,2016-12-24,15,27.047,MIA,@,BUF,W 34-31,*,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
45,2016,2017-01-01,16,27.055,MIA,,NWE,L 14-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
46,2017,2017-09-17,1,27.314,MIA,@,LAC,W 19-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
47,2017,2017-09-24,2,27.321,MIA,@,NYJ,L 6-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
48,2017,2017-10-01,3,27.328,MIA,,NOR,L 0-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
49,2017,2017-10-08,4,27.335,MIA,,TEN,W 16-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,0,0
50,2017,2017-10-15,5,27.342,MIA,@,ATL,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
51,2017,2017-10-22,6,27.349,MIA,,NYJ,W 31-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
52,2017,2017-10-26,7,27.353,MIA,@,BAL,L 0-40,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
53,2017,2017-11-05,8,27.363,MIA,,OAK,L 24-27,,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
54,2017,2017-11-13,9,28.006,MIA,@,CAR,L 21-45,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
55,2017,2017-11-19,10,28.012,MIA,,TAM,L 20-30,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
56,2017,2017-11-26,11,28.019,MIA,@,NWE,L 17-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
57,2017,2017-12-03,12,28.026,MIA,,DEN,W 35-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
58,2017,2017-12-11,13,28.034,MIA,,NWE,W 27-20,,1,1,10,10.00,0,100.0%,10.00,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
59,2017,2017-12-17,14,28.040,MIA,@,BUF,L 16-24,,0,0,0,,0,0.0%,,2,7,3.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
60,2017,2017-12-24,15,28.047,MIA,@,KAN,L 13-29,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
61,2017,2017-12-31,16,28.054,MIA,,BUF,L 16-22,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
