ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2013,2013-09-22,3,23.319,CLE,@,MIN,W 31-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,
2,2013,2013-09-29,4,23.326,CLE,,CIN,W 17-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,
3,2013,2013-10-03,5,23.330,CLE,,BUF,W 37-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,
4,2013,2013-10-13,6,23.340,CLE,,DET,L 17-31,,0,0,0,,0,0.0%,,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
5,2013,2013-10-20,7,23.347,CLE,@,GNB,L 13-31,,1,0,0,,0,0.0%,0.00,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
6,2013,2013-10-27,8,23.354,CLE,@,KAN,L 17-23,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0
7,2013,2013-11-03,9,23.361,CLE,,BAL,W 24-18,,0,0,0,,0,0.0%,,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
8,2013,2013-12-01,12,24.024,CLE,,JAX,L 28-32,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,
9,2013,2013-12-08,13,24.031,CLE,@,NWE,L 26-27,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
10,2013,2013-12-15,14,24.038,CLE,,CHI,L 31-38,,0,0,0,,0,0.0%,,2,30,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
11,2013,2013-12-22,15,24.045,CLE,@,NYJ,L 13-24,*,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0
12,2013,2013-12-29,16,24.052,CLE,@,PIT,L 7-20,*,1,0,0,,0,0.0%,0.00,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
13,2014,2014-09-14,2,24.311,MIN,,NWE,L 7-30,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,
14,2014,2014-09-21,3,24.318,MIN,@,NOR,L 9-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,
15,2014,2014-09-28,4,24.325,MIN,,ATL,W 41-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0
16,2014,2014-10-02,5,24.329,MIN,@,GNB,L 10-42,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
