ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1984,1984-09-02,1,25.294,NYJ,@,IND,W 23-14,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
2,1984,1984-09-06,2,25.298,NYJ,,PIT,L 17-23,0,0,,0,2,14,7.00,0,1,17,17.00,0,0,0,,0,0,0
3,1984,1984-09-30,5,25.322,NYJ,,NWE,L 21-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
4,1984,1984-10-21,8,25.343,NYJ,,KAN,W 28-7,3,4,1.33,0,3,51,17.00,1,0,0,,0,0,0,,0,1,6
5,1984,1984-11-26,13,26.013,NYJ,@,MIA,L 17-28,6,20,3.33,0,1,9,9.00,0,0,0,,0,0,0,,0,0,0
6,1984,1984-12-02,14,26.019,NYJ,,NYG,L 10-20,0,0,,0,2,21,10.50,0,2,29,14.50,0,0,0,,0,0,0
7,1984,1984-12-08,15,26.025,NYJ,,BUF,W 21-17,14,58,4.14,1,1,11,11.00,0,2,71,35.50,0,3,36,12.00,0,1,6
8,1984,1984-12-16,16,26.033,NYJ,@,TAM,L 21-41,10,44,4.40,0,1,3,3.00,0,5,107,21.40,0,1,8,8.00,0,0,0
9,1985,1985-09-08,1,26.299,NYJ,@,RAI,L 0-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
10,1985,1985-09-15,2,26.306,NYJ,,BUF,W 42-3,5,13,2.60,0,1,13,13.00,0,1,14,14.00,0,1,5,5.00,0,0,0
11,1985,1985-09-22,3,26.313,NYJ,@,GNB,W 24-3,3,10,3.33,0,0,0,,0,0,0,,0,1,20,20.00,0,0,0
