ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1988,1988-10-30,9,23.259,ATL,@,PHI,W 27-24,,0,0,,0,,,,
2,1988,1988-11-06,10,23.266,ATL,,GNB,W 20-0,,1,7,7.00,0,,,0,0
3,1988,1988-11-20,12,23.280,ATL,@,RAI,W 12-6,,1,3,3.00,0,,,0,0
4,1988,1988-11-27,13,23.287,ATL,,TAM,W 17-10,,1,9,9.00,0,,,0,0
5,1988,1988-12-04,14,23.294,ATL,,SFO,L 3-13,,1,13,13.00,0,,,0,0
6,1988,1988-12-11,15,23.301,ATL,@,RAM,L 7-22,,1,34,34.00,0,,,0,0
7,1990,1990-09-09,1,25.207,ATL,,HOU,W 47-27,,0,0,,0,,,,
8,1990,1990-09-16,2,25.214,ATL,@,DET,L 14-21,,0,0,,0,,,,
9,1990,1990-09-23,3,25.221,ATL,@,SFO,L 13-19,,1,9,9.00,0,,,0,0
10,1990,1990-10-07,4,25.235,ATL,,NOR,W 28-27,,0,0,,0,,,,
11,1990,1990-10-14,5,25.242,ATL,,SFO,L 35-45,,3,20,6.67,1,,,1,6
12,1990,1990-10-21,6,25.249,ATL,@,RAM,L 24-44,,5,48,9.60,0,,,0,0
13,1990,1990-10-28,7,25.256,ATL,,CIN,W 38-17,,0,0,,0,,,,
14,1990,1990-11-04,8,25.263,ATL,@,PIT,L 9-21,,6,65,10.83,0,,,0,0
15,1990,1990-11-11,9,25.270,ATL,@,CHI,L 24-30,,2,11,5.50,0,,,0,0
16,1990,1990-11-18,10,25.277,ATL,,PHI,L 23-24,,0,0,,0,,,,
17,1990,1990-11-25,11,25.284,ATL,@,NOR,L 7-10,,0,0,,0,,,,
18,1990,1990-12-02,12,25.291,ATL,@,TAM,L 17-23,,1,8,8.00,0,,,0,0
19,1990,1990-12-09,13,25.298,ATL,,PHO,L 13-24,,0,0,,0,,,,
20,1992,1992-10-11,6,27.240,ATL,@,MIA,L 17-21,,0,0,,0,0.0%,,,
21,1992,1992-10-18,7,27.247,ATL,@,SFO,L 17-56,2,1,15,15.00,0,50.0%,7.50,0,0
22,1992,1992-11-29,12,27.289,ATL,,NWE,W 34-0,,0,0,,0,0.0%,,,
23,1992,1992-12-13,14,27.303,ATL,@,TAM,W 35-7,1,1,5,5.00,0,100.0%,5.00,0,0
24,1992,1992-12-21,15,27.311,ATL,,DAL,L 17-41,1,1,5,5.00,0,100.0%,5.00,0,0
