ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1992,1992-10-04,5,23.327,TAM,,IND,L 14-24,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0
2,1992,1992-10-18,6,23.341,TAM,@,CHI,L 14-31,2,0,0,,0,0.0%,0.00,0,0,,0,0,
3,1992,1992-10-25,7,23.348,TAM,,DET,L 7-38,4,2,25,12.50,0,50.0%,6.25,2,18,9.00,0,0,0
4,1992,1992-11-01,8,23.355,TAM,@,NOR,L 21-23,1,1,9,9.00,0,100.0%,9.00,1,5,5.00,0,0,0
5,1992,1992-11-08,9,23.362,TAM,,MIN,L 7-35,6,4,36,9.00,0,66.7%,6.00,0,0,,0,0,0
6,1992,1992-11-15,10,24.003,TAM,,CHI,W 20-17,2,2,1,0.50,0,100.0%,0.50,1,1,1.00,0,0,0
7,1992,1992-11-22,11,24.010,TAM,@,SDG,L 14-29,5,4,24,6.00,0,80.0%,4.80,0,0,,0,0,0
8,1992,1992-11-29,12,24.017,TAM,@,GNB,L 14-19,2,1,15,15.00,1,50.0%,7.50,1,3,3.00,0,1,6
9,1992,1992-12-06,13,24.024,TAM,,RAM,L 27-31,3,3,10,3.33,0,100.0%,3.33,3,9,3.00,0,0,0
10,1992,1992-12-13,14,24.031,TAM,,ATL,L 7-35,4,4,30,7.50,0,100.0%,7.50,3,36,12.00,0,0,0
11,1992,1992-12-19,15,24.037,TAM,@,SFO,L 14-21,3,2,55,27.50,1,66.7%,18.33,1,2,2.00,0,1,6
12,1992,1992-12-27,16,24.045,TAM,@,PHO,W 7-3,4,3,42,14.00,0,75.0%,10.50,2,7,3.50,0,0,0
13,1993,1993-09-05,1,24.297,TAM,,KAN,L 3-27,4,4,17,4.25,0,100.0%,4.25,0,0,,0,0,0
14,1993,1993-09-12,2,24.304,TAM,@,NYG,L 7-23,3,3,6,2.00,0,100.0%,2.00,0,0,,0,0,0
15,1993,1993-09-26,3,24.318,TAM,@,CHI,L 17-47,5,1,3,3.00,1,20.0%,0.60,2,6,3.00,0,1,6
16,1993,1993-11-07,8,24.360,TAM,@,DET,L 0-23,1,0,0,,0,0.0%,0.00,0,0,,0,0,
17,1994,1994-09-04,1,25.296,TAM,@,CHI,L 9-21,4,4,42,10.50,0,100.0%,10.50,2,-5,-2.50,0,0,0
18,1994,1994-09-11,2,25.303,TAM,,IND,W 24-10,3,2,8,4.00,0,66.7%,2.67,2,3,1.50,0,0,0
19,1994,1994-10-02,5,25.324,TAM,,DET,W 24-14,1,0,0,,0,0.0%,0.00,3,12,4.00,0,0,0
20,1994,1994-10-09,6,25.331,TAM,@,ATL,L 13-34,4,4,27,6.75,0,100.0%,6.75,0,0,,0,0,0
21,1994,1994-10-23,7,25.345,TAM,@,SFO,L 16-41,3,3,10,3.33,0,100.0%,3.33,5,23,4.60,0,0,0
22,1994,1994-10-30,8,25.352,TAM,,MIN,L 13-36,2,2,8,4.00,0,100.0%,4.00,2,6,3.00,0,0,0
23,1994,1994-11-06,9,25.359,TAM,,CHI,L 6-20,3,2,27,13.50,0,66.7%,9.00,1,3,3.00,0,0,0
24,1994,1994-11-13,10,26.001,TAM,@,DET,L 9-14,2,1,6,6.00,0,50.0%,3.00,1,2,2.00,0,0,0
25,1994,1994-11-20,11,26.008,TAM,@,SEA,L 21-22,1,1,3,3.00,0,100.0%,3.00,1,0,0.00,0,0,0
26,1994,1994-11-27,12,26.015,TAM,@,MIN,W 20-17,2,1,4,4.00,0,50.0%,2.00,2,3,1.50,0,0,0
27,1994,1994-12-04,13,26.022,TAM,,WAS,W 26-21,5,3,28,9.33,1,60.0%,5.60,1,3,3.00,0,1,6
28,1994,1994-12-11,14,26.029,TAM,,RAM,W 24-14,2,0,0,,0,0.0%,0.00,0,0,,0,0,
29,1994,1994-12-18,15,26.036,TAM,@,WAS,W 17-14,5,3,16,5.33,0,60.0%,3.20,0,0,,0,0,0
30,1994,1994-12-24,16,26.042,TAM,,GNB,L 19-34,4,3,14,4.67,0,75.0%,3.50,1,8,8.00,0,0,0
