ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,27.262,WAS,@,BAL,W 38-14,4,19,4.75,0,0,0,,0
2,1950,1950-09-24,2,27.269,WAS,@,GNB,L 21-35,4,17,4.25,0,1,6,6.00,0
3,1950,1950-10-01,3,27.276,WAS,,PIT,L 7-26,6,18,3.00,0,0,0,,0
4,1951,1951-10-14,3,28.289,WAS,@,CLE,L 0-45,2,7,3.50,0,0,0,,0
5,1951,1951-10-28,5,28.303,WAS,@,PHI,W 27-23,1,1,1.00,0,1,48,48.00,0
6,1951,1951-11-18,8,28.324,WAS,@,PIT,W 22-7,9,44,4.89,0,0,0,,0
7,1951,1951-11-25,9,28.331,WAS,,RAM,W 31-21,4,44,11.00,0,0,0,,0
8,1951,1951-12-02,10,28.338,WAS,,PHI,L 21-35,2,5,2.50,0,0,0,,0
9,1952,1952-09-29,1,29.275,WAS,@,CRD,W 23-7,5,7,1.40,0,1,2,2.00,1
10,1952,1952-10-12,3,29.288,WAS,,CRD,L 6-17,1,-2,-2.00,0,0,0,,0
11,1952,1952-10-19,4,29.295,WAS,@,PIT,W 28-24,0,0,,0,1,12,12.00,0
12,1953,1953-10-18,4,30.293,WAS,,CLE,L 14-30,1,3,3.00,0,0,0,,0
