ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2001,2001-09-10,1,24.039,NYG,@,DEN,L 20-31,,,,,,1,0.0,0,0
2,2001,2002-01-06,16,24.157,NYG,,GNB,L 25-34,,,,,,1,0.0,0,0
3,2003,2003-09-21,3,26.050,SFO,,CLE,L 12-13,,,,,4,4,100.0,0,12
4,2003,2003-09-28,4,26.057,SFO,@,MIN,L 7-35,,1,1,100.0,,,,0,1
5,2003,2003-10-05,5,26.064,SFO,,DET,W 24-17,,3,3,100.0,1,2,50.0,0,6
6,2003,2003-10-12,6,26.071,SFO,@,SEA,L 19-20,,1,2,50.0,2,3,66.7,0,7
7,2003,2003-10-19,7,26.078,SFO,,TAM,W 24-7,,3,3,100.0,1,4,25.0,0,6
8,2003,2003-10-26,8,26.085,SFO,@,ARI,L 13-16,,1,1,100.0,,2,0.0,0,1
