ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1955,1955-10-02,2,22.191,CRD,,NYG,W 28-17,3,5,1.67,0,1,42,42.00,0,,,,,,,,,,,
2,1955,1955-10-16,4,22.205,CRD,@,NYG,L 0-10,2,7,3.50,0,0,0,,0,,,,,,,,,,,
3,1955,1955-10-23,5,22.212,CRD,,PHI,T 24-24,3,26,8.67,0,0,0,,0,,,,,,,,,,,
4,1955,1955-10-30,6,22.219,CRD,,CLE,L 20-26,1,3,3.00,0,2,33,16.50,0,,,,,,,,,,,
5,1955,1955-11-05,7,22.225,CRD,,PIT,W 27-13,0,0,,0,3,3,1.00,0,,,,,,,,,,,
6,1955,1955-11-13,8,22.233,CRD,@,GNB,L 14-31,3,27,9.00,0,1,18,18.00,0,,,,,,,,,,,
7,1955,1955-11-27,10,22.247,CRD,,CHI,W 53-14,0,38,,0,2,61,30.50,0,,,,,,,,,,,
8,1955,1955-12-11,12,22.261,CRD,@,CLE,L 24-35,6,8,1.33,0,0,0,,0,,,,,,,,,,,
9,1960,1960-12-04,10,27.254,PHI,@,STL,W 20-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,4,0
10,1960,1960-12-11,11,27.261,PHI,@,PIT,L 21-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
11,1960,1960-12-18,12,27.268,PHI,@,WAS,W 38-28,0,0,,0,0,0,,0,1,5,5.00,0,0,0,,0,0,0,0
12,1961,1961-09-24,2,28.183,PHI,,WAS,W 14-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,20,0
13,1961,1961-12-03,12,28.253,PHI,@,PIT,W 35-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
14,1962,1962-11-18,10,29.238,PHI,@,NYG,L 14-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,20,0
15,1962,1962-12-02,12,29.252,PHI,@,WAS,W 37-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,14,0
16,1962,1962-12-09,13,29.259,PHI,,PIT,L 17-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,25,0
17,1963,1963-10-13,5,30.202,PHI,@,WAS,W 37-24,,,,,,,,,,,,,,,,,0,10,0
18,1963,1963-12-01,12,30.251,PHI,@,PIT,T 20-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,15,0
19,1964,1964-09-20,2,31.179,WAS,@,DAL,L 18-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
20,1964,1964-10-11,5,31.200,WAS,,PHI,W 35-20,0,0,,0,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0
21,1964,1964-10-18,6,31.207,WAS,@,STL,L 24-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,13,0
22,1964,1964-11-22,11,31.242,WAS,,DAL,W 28-16,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
