ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,22.143,DAL,@,JAX,L 17-24,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
2,2006,2006-09-17,2,22.150,DAL,,WAS,W 27-10,*,4,3,39,13.00,0,75.0%,9.75,0,0,,0,,0,0,0.0,,
3,2006,2006-10-01,3,22.164,DAL,@,TEN,W 45-14,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
4,2006,2006-10-08,4,22.171,DAL,@,PHI,L 24-38,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
5,2006,2006-10-15,5,22.178,DAL,,HOU,W 34-6,,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
6,2006,2006-10-23,6,22.186,DAL,,NYG,L 22-36,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,,0,0,0.0,,
7,2006,2006-10-29,7,22.192,DAL,@,CAR,W 35-14,,3,3,11,3.67,0,100.0%,3.67,0,0,,0,,0,0,0.0,,
8,2006,2006-11-05,8,22.199,DAL,@,WAS,L 19-22,*,3,2,16,8.00,0,66.7%,5.33,0,0,,0,,0,0,0.0,,
9,2006,2006-11-12,9,22.206,DAL,@,ARI,W 27-10,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
10,2006,2006-11-19,10,22.213,DAL,,IND,W 21-14,,1,1,22,22.00,0,100.0%,22.00,0,0,,0,,0,0,0.0,,
11,2006,2006-11-23,11,22.217,DAL,,TAM,W 38-10,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,,
12,2006,2006-12-03,12,22.227,DAL,@,NYG,W 23-20,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
13,2006,2006-12-10,13,22.234,DAL,,NOR,L 17-42,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
14,2006,2006-12-16,14,22.240,DAL,@,ATL,W 38-28,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
15,2006,2006-12-25,15,22.249,DAL,,PHI,L 7-23,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,0,0,0.0,,
16,2006,2006-12-31,16,22.255,DAL,,DET,L 31-39,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
17,2007,2007-09-09,1,23.142,DAL,,NYG,W 45-35,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
