ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,22.222,SFO,@,ARI,L 27-34,*,8,5,37,7.40,1,62.5%,4.63,0,0,,0,,1,6,0.0,,
2,2006,2006-09-17,2,22.229,SFO,,STL,W 20-13,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
3,2006,2006-09-24,3,22.236,SFO,,PHI,L 24-38,,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
4,2006,2006-11-19,10,22.292,SFO,,SEA,W 20-14,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
5,2006,2006-11-26,11,22.299,SFO,@,STL,L 17-20,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,,
6,2006,2006-12-03,12,22.306,SFO,@,NOR,L 10-34,*,2,1,21,21.00,0,50.0%,10.50,0,0,,0,,0,0,0.0,,
7,2006,2006-12-10,13,22.313,SFO,,GNB,L 19-30,*,8,3,74,24.67,1,37.5%,9.25,1,9,9.00,0,,1,6,0.0,,
8,2006,2006-12-14,14,22.317,SFO,@,SEA,W 24-14,*,5,3,15,5.00,1,60.0%,3.00,0,0,,0,,1,6,0.0,,
9,2006,2006-12-24,15,22.327,SFO,,ARI,L 20-26,*,9,4,91,22.75,0,44.4%,10.11,0,0,,0,,0,0,0.0,,
10,2006,2006-12-31,16,22.334,SFO,@,DEN,W 26-23,*,4,3,16,5.33,0,75.0%,4.00,1,-4,-4.00,0,,0,0,0.0,,
11,2007,2007-09-10,1,23.222,SFO,,ARI,W 20-17,*,5,2,4,2.00,0,40.0%,0.80,0,0,,0,,0,0,0.0,,
12,2007,2007-09-16,2,23.228,SFO,@,STL,W 17-16,*,2,2,23,11.50,0,100.0%,11.50,0,0,,0,,0,0,0.0,,
13,2007,2007-09-23,3,23.235,SFO,@,PIT,L 16-37,*,8,4,56,14.00,0,50.0%,7.00,0,0,,0,,0,0,0.0,,
14,2007,2007-10-21,6,23.263,SFO,@,NYG,L 15-33,*,6,4,22,5.50,0,66.7%,3.67,0,0,,0,,0,0,0.0,,
15,2007,2007-10-28,7,23.270,SFO,,NOR,L 10-31,*,9,6,71,11.83,1,66.7%,7.89,0,0,,0,,1,6,0.0,,
16,2007,2007-11-04,8,23.277,SFO,@,ATL,L 16-20,*,10,7,77,11.00,0,70.0%,7.70,0,0,,0,,0,0,0.0,,
17,2007,2007-11-12,9,23.285,SFO,@,SEA,L 0-24,*,2,1,4,4.00,0,50.0%,2.00,0,0,,0,,0,0,0.0,,
