ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1951,1951-10-14,3,22.211,SFO,@,PIT,W 28-24,2,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
2,1951,1951-11-11,7,22.239,SFO,,NYY,W 19-14,1,26,26.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
3,1951,1951-11-18,8,22.246,SFO,,CRD,L 21-27,2,20,10.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
4,1951,1951-12-02,10,22.260,SFO,@,DET,W 20-10,2,53,26.50,1,0,0,,0,0,0,,0,0,,,,,,,1,
5,1952,1952-09-28,1,23.195,SFO,,DET,W 17-3,3,31,10.33,0,0,0,,0,0,0,,0,0,,,,,,,0,
6,1952,1952-10-05,2,23.202,SFO,@,DTX,W 37-14,1,9,9.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
7,1952,1952-11-30,10,23.258,SFO,,RAM,L 21-34,2,68,34.00,1,0,0,,0,0,0,,0,0,,,,,,,1,
8,1954,1954-09-26,1,25.193,SFO,,WAS,W 41-7,4,73,18.25,0,0,0,,0,0,0,,0,0,,,,,,,0,
9,1954,1954-10-03,2,25.200,SFO,@,RAM,T 24-24,4,95,23.75,0,0,0,,0,0,0,,0,0,,,,,,,0,
10,1954,1954-10-17,4,25.214,SFO,@,CHI,W 31-24,4,48,12.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
11,1954,1954-10-24,5,25.221,SFO,,DET,W 37-31,2,19,9.50,0,0,0,,0,0,0,,0,0,,,,,,,0,
12,1954,1954-11-07,7,25.235,SFO,,RAM,L 34-42,3,20,6.67,0,0,0,,0,0,0,,0,0,,,,,,,0,
13,1954,1954-11-14,8,25.242,SFO,@,DET,L 7-48,1,13,13.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
14,1954,1954-11-20,9,25.248,SFO,@,PIT,W 31-3,4,87,21.75,2,1,-5,-5.00,0,0,0,,0,0,,,,,,,2,
15,1954,1954-11-28,10,25.256,SFO,@,BAL,L 13-17,2,43,21.50,0,0,0,,0,0,0,,0,0,,,,,,,0,
16,1954,1954-12-05,11,25.263,SFO,,GNB,W 35-0,2,88,44.00,1,0,0,,0,0,0,,0,0,,,,,,,1,
17,1954,1954-12-11,12,25.269,SFO,,BAL,W 10-7,4,79,19.75,0,0,0,,0,0,0,,0,0,,,,,,,0,
18,1956,1956-09-30,1,27.197,SFO,,NYG,L 21-38,2,7,3.50,0,0,0,,0,0,0,,0,0,,,,,,,0,
19,1957,1957-09-29,1,28.196,SFO,,CRD,L 10-20,2,29,14.50,0,0,0,,0,0,0,,0,0,,,,,,,0,
20,1958,1958-10-12,3,29.209,SFO,@,CHI,L 6-28,2,7,3.50,0,0,0,,0,0,0,,0,0,,,,,,,0,
21,1958,1958-10-19,4,29.216,SFO,@,PHI,W 30-24,0,0,,0,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,
22,1958,1958-12-07,11,29.265,SFO,,GNB,W 48-21,3,59,19.67,1,0,0,,0,0,0,,0,0,,,,,,,1,
23,1960,1960-09-18,2,31.185,DEN,@,BUF,W 27-21,2,32,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
24,1960,1960-10-16,5,31.213,DEN,,LAC,L 19-23,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
25,1960,1960-10-23,6,31.220,DEN,,BOS,W 31-24,2,36,18.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
26,1960,1960-11-06,8,31.234,DEN,,HOU,L 25-45,4,49,12.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
