ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1996,1996-10-27,8,24.219,TAM,@,GNB,L 7-13,,,,,,0.0%,,,
2,1996,1996-12-01,13,24.254,BUF,@,IND,L 10-13,,,,,,0.0%,,,
3,1996,1996-12-08,14,24.261,PIT,,SDG,W 16-3,,,,,,0.0%,,,
4,1996,1996-12-15,15,24.268,PIT,,SFO,L 15-25,,,,,,0.0%,,,
5,1996,1996-12-22,16,24.275,PIT,@,CAR,L 14-18,,,,,,0.0%,,,
6,1997,1997-09-21,4,25.183,NOR,,DET,W 35-17,1,1,23,23.00,0,100.0%,23.00,0,0
7,1997,1997-09-28,5,25.190,NOR,@,NYG,L 9-14,5,4,82,20.50,0,80.0%,16.40,0,0
8,1997,1997-10-05,6,25.197,NOR,@,CHI,W 20-17,5,2,51,25.50,0,40.0%,10.20,0,0
9,1997,1997-10-12,7,25.204,NOR,,ATL,L 17-23,5,4,40,10.00,0,80.0%,8.00,0,0
10,1997,1997-10-19,8,25.211,NOR,,CAR,L 0-13,3,2,14,7.00,0,66.7%,4.67,0,0
11,1997,1997-10-26,9,25.218,NOR,,SFO,L 0-23,0,0,0,,0,0.0%,,,
12,1997,1997-11-09,10,25.232,NOR,@,OAK,W 13-10,1,0,0,,0,0.0%,0.00,,
13,1997,1997-11-16,11,25.239,NOR,,SEA,W 20-17,,0,0,,0,0.0%,,,
14,1997,1997-12-07,14,25.260,NOR,,STL,L 27-34,3,3,35,11.67,0,100.0%,11.67,0,0
15,1997,1997-12-14,15,25.267,NOR,,ARI,W 27-10,1,1,8,8.00,1,100.0%,8.00,1,6
16,1997,1997-12-21,16,25.274,NOR,@,KAN,L 13-25,2,0,0,,0,0.0%,0.00,,
17,1998,1998-11-15,10,26.238,NOR,,STL,W 24-3,2,,,,,0.0%,,,
18,1998,1998-11-22,11,26.245,NOR,@,SFO,L 20-31,2,1,13,13.00,0,50.0%,6.50,0,0
19,1998,1998-11-29,12,26.252,NOR,@,MIA,L 10-30,,,,,,0.0%,,,
20,1998,1998-12-06,13,26.259,NOR,,DAL,W 22-3,1,,,,,0.0%,,,
21,1998,1998-12-20,15,26.273,NOR,@,ARI,L 17-19,,,,,,0.0%,,,
